inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
198.18.0.1,60076,198.18.0.9,443,192.168.5.2,60077,103.166.52.49,2011,198.18.0.1,60076,198.18.0.9,443,35,14428,3,1.458143,4.74863,7,clientservices.googleapis.com,192.168.5.2,60077,103.166.52.49,2011,32,17502,2,1.46028,4.785586,7
198.18.0.1,60090,198.18.0.13,443,192.168.5.2,60095,218.92.216.53,443,198.18.0.1,60090,198.18.0.13,443,266,144393,13,3.493148,2.729815,10,infinity-permanent.infinitynewtab.com,192.168.5.2,60095,218.92.216.53,443,140,90997,8,3.557192,2.665785,10
198.18.0.1,60086,198.18.0.12,443,192.168.5.2,60110,122.205.109.41,443,198.18.0.1,60086,198.18.0.12,443,20,9842,9,3.487874,0.1167759999999997,4,infinityicon.infinitynewtab.com,192.168.5.2,60110,122.205.109.41,443,23,8804,16,3.557505,0.0492410000000003,4
198.18.0.1,60083,198.18.0.12,443,192.168.5.2,60101,122.205.109.41,443,198.18.0.1,60083,198.18.0.12,443,1404,1108512,6,3.487247,2.736871,22,infinityicon.infinitynewtab.com,192.168.5.2,60101,122.205.109.41,443,745,656476,9,3.557209,2.666986,22
198.18.0.1,60087,198.18.0.12,443,192.168.5.2,60099,122.205.109.41,443,198.18.0.1,60087,198.18.0.12,443,20,9812,10,3.488159,0.1181839999999998,4,infinityicon.infinitynewtab.com,192.168.5.2,60099,122.205.109.41,443,21,8666,10,3.557211,0.0495749999999999,4
198.18.0.1,60088,198.18.0.12,443,192.168.5.2,60097,122.205.109.41,443,198.18.0.1,60088,198.18.0.12,443,20,9842,11,3.488423,0.1178449999999999,4,infinityicon.infinitynewtab.com,192.168.5.2,60097,122.205.109.41,443,22,8750,7,3.557192,0.0499329999999997,4
198.18.0.1,60084,198.18.0.12,443,192.168.5.2,60104,122.205.109.41,443,198.18.0.1,60084,198.18.0.12,443,21,9942,7,3.487461,0.1187559999999998,4,infinityicon.infinitynewtab.com,192.168.5.2,60104,122.205.109.41,443,22,8782,13,3.557365,0.0497279999999999,4
198.18.0.1,60085,198.18.0.12,443,192.168.5.2,60098,122.205.109.41,443,198.18.0.1,60085,198.18.0.12,443,20,9842,8,3.487662,0.11863,4,infinityicon.infinitynewtab.com,192.168.5.2,60098,122.205.109.41,443,22,8750,11,3.55731,0.0507539999999999,4
198.18.0.1,60091,198.18.0.14,443,192.168.5.2,60107,183.60.150.17,443,198.18.0.1,60091,198.18.0.14,443,73,39994,14,3.51289,2.7197210000000003,4,infinitypro-img.infinitynewtab.com,192.168.5.2,60107,183.60.150.17,443,52,35032,14,3.557406,2.675234,4
198.18.0.1,60089,198.18.0.14,443,192.168.5.2,60096,183.60.150.17,443,198.18.0.1,60089,198.18.0.14,443,177,84945,12,3.492877,2.743964,6,infinitypro-img.infinitynewtab.com,192.168.5.2,60096,183.60.150.17,443,85,66085,6,3.557192,2.6796899999999995,6
