inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
198.18.0.1,63431,198.18.0.9,443,192.168.5.2,63432,120.232.217.159,2011,198.18.0.1,63431,198.18.0.9,443,35,14496,2,1.038046,12.570377,7,clientservices.googleapis.com,192.168.5.2,63432,120.232.217.159,2011,32,16048,2,1.040342,12.613432,7
198.18.0.1,63433,198.18.0.12,443,192.168.5.2,63441,112.82.180.41,443,198.18.0.1,63433,198.18.0.12,443,1612,1250761,8,3.036147,10.584588,20,infinityicon.infinitynewtab.com,192.168.5.2,63441,112.82.180.41,443,736,656604,5,3.03984,10.580565,20
198.18.0.1,63435,198.18.0.12,443,192.168.5.2,63452,112.82.180.41,443,198.18.0.1,63435,198.18.0.12,443,11,5237,10,3.038385,0.0219599999999999,2,infinityicon.infinitynewtab.com,192.168.5.2,63452,112.82.180.41,443,15,7656,10,3.04448,0.0214919999999998,2
198.18.0.1,63439,198.18.0.12,443,192.168.5.2,63455,112.82.180.41,443,198.18.0.1,63439,198.18.0.12,443,12,6529,14,3.039939,0.0263580000000001,2,infinityicon.infinitynewtab.com,192.168.5.2,63455,112.82.180.41,443,16,7678,12,3.044707,0.0230380000000001,2
198.18.0.1,63437,198.18.0.12,443,192.168.5.2,63447,112.82.180.41,443,198.18.0.1,63437,198.18.0.12,443,12,6497,12,3.038839,0.025849,2,infinityicon.infinitynewtab.com,192.168.5.2,63447,112.82.180.41,443,16,7646,8,3.044275,0.0263870000000001,2
198.18.0.1,63438,198.18.0.12,443,192.168.5.2,63449,112.82.180.41,443,198.18.0.1,63438,198.18.0.12,443,12,6465,13,3.039557,0.0250829999999999,2,infinityicon.infinitynewtab.com,192.168.5.2,63449,112.82.180.41,443,17,7668,9,3.044305,0.0251999999999998,2
198.18.0.1,63442,198.18.0.12,443,192.168.5.2,63453,112.82.180.41,443,198.18.0.1,63442,198.18.0.12,443,13,6613,15,3.04024,0.029322,2,infinityicon.infinitynewtab.com,192.168.5.2,63453,112.82.180.41,443,16,7710,11,3.044498,0.026545,2
198.18.0.1,63446,198.18.0.14,443,192.168.5.2,63459,101.69.128.51,443,198.18.0.1,63446,198.18.0.14,443,93,45904,17,3.044436,10.581295999999998,4,infinitypro-img.infinitynewtab.com,192.168.5.2,63459,101.69.128.51,443,63,35773,14,3.046901,10.578379,4
198.18.0.1,63445,198.18.0.13,443,192.168.5.2,63457,27.152.182.60,443,198.18.0.1,63445,198.18.0.13,443,222,124859,16,3.043515,10.601685,10,infinity-permanent.infinitynewtab.com,192.168.5.2,63457,27.152.182.60,443,118,88058,13,3.045798,10.599103,10
198.18.0.1,63460,198.18.0.14,443,192.168.5.2,63462,101.69.128.51,443,198.18.0.1,63460,198.18.0.14,443,221,115894,18,3.055124,10.57058,6,infinitypro-img.infinitynewtab.com,192.168.5.2,63462,101.69.128.51,443,90,66391,15,3.058674,10.566653,6
