inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
198.18.0.1,54937,198.18.0.26,443,192.168.5.2,54941,221.5.100.174,2061,198.18.0.1,54937,198.18.0.26,443,27,14732,45,5.651936,0.4551540000000003,3,android.clients.google.com,192.168.5.2,54941,221.5.100.174,2061,28,14733,37,5.923776,0.6711229999999997,3
198.18.0.1,54944,198.18.0.27,443,192.168.5.2,54945,221.5.100.174,2061,198.18.0.1,54944,198.18.0.27,443,79,35750,49,6.182148,68.73003200000001,11,optimizationguide-pa.googleapis.com,192.168.5.2,54945,221.5.100.174,2061,68,34861,40,6.453962,68.952432,11
198.18.0.1,54946,198.18.0.28,443,192.168.5.2,54947,221.5.100.174,2061,198.18.0.1,54946,198.18.0.28,443,8408,6628129,50,6.185978,68.726261,83,www.youtube.com,192.168.5.2,54947,221.5.100.174,2061,4476,3645732,41,6.457568,68.947916,83
198.18.0.1,54948,198.18.0.28,443,192.168.5.2,54949,221.5.100.174,2061,198.18.0.1,54948,198.18.0.28,443,37,16228,51,6.189261,63.219672,4,www.youtube.com,192.168.5.2,54949,221.5.100.174,2061,38,15334,42,6.460702,63.438410000000005,4
198.18.0.1,54950,198.18.0.29,443,192.168.5.2,54952,221.5.100.174,2061,198.18.0.1,54950,198.18.0.29,443,10,2321,53,6.974123,0.4523540000000006,1,i.ytimg.com,192.168.5.2,54952,221.5.100.174,2061,16,4467,43,7.245725,1.4746559999999995,1
198.18.0.1,54951,198.18.0.29,443,192.168.5.2,54953,221.5.100.174,2061,198.18.0.1,54951,198.18.0.29,443,495,345542,54,6.974366,67.93731199999999,25,i.ytimg.com,192.168.5.2,54953,221.5.100.174,2061,393,254770,44,7.245725,68.15699599999999,25
198.18.0.1,54954,198.18.0.30,443,192.168.5.2,54955,221.5.100.174,2061,198.18.0.1,54954,198.18.0.30,443,102,50427,55,7.174925,67.73729,10,fonts.googleapis.com,192.168.5.2,54955,221.5.100.174,2061,76,39161,45,7.446031,67.956661,10
198.18.0.1,54956,198.18.0.31,443,192.168.5.2,54958,221.5.100.174,2061,198.18.0.1,54956,198.18.0.31,443,34,11733,56,7.1772,67.730997,4,rr1---sn-n4v7snse.googlevideo.com,192.168.5.2,54958,221.5.100.174,2061,36,12480,46,7.448222,67.949158,4
198.18.0.1,54957,198.18.0.31,443,192.168.5.2,54959,221.5.100.174,2061,198.18.0.1,54957,198.18.0.31,443,34,11805,57,7.177374,67.730487,4,rr1---sn-n4v7snse.googlevideo.com,192.168.5.2,54959,221.5.100.174,2061,36,13345,47,7.448243,67.951079,4
198.18.0.1,54960,198.18.0.22,443,192.168.5.2,54961,221.5.100.174,2061,198.18.0.1,54960,198.18.0.22,443,69,23968,58,7.372663,67.538928,13,clients4.google.com,192.168.5.2,54961,221.5.100.174,2061,74,31268,48,7.643608,67.75303,13
198.18.0.1,54962,198.18.0.32,443,192.168.5.2,54963,221.5.100.174,2061,198.18.0.1,54962,198.18.0.32,443,378,272796,61,7.882509,67.027671,14,fonts.gstatic.com,192.168.5.2,54963,221.5.100.174,2061,278,183006,49,8.153494,67.243913,13
198.18.0.1,54966,198.18.0.33,443,192.168.5.2,54967,221.5.100.174,2061,198.18.0.1,54966,198.18.0.33,443,70706,56219667,63,8.347771,66.68519400000001,34,rr1---sn-n4v7snee.googlevideo.com,192.168.5.2,54967,221.5.100.174,2061,27485,26423300,51,8.618791,66.90443499999999,34
198.18.0.1,54915,198.18.0.21,443,192.168.5.2,54968,221.5.100.174,2061,198.18.0.1,54915,198.18.0.21,443,10,2348,31,3.590206,5.03655,1,basic-static-server.infinitynewtab.com,192.168.5.2,54968,221.5.100.174,2061,15,3364,52,8.86116,0.5032859999999992,1
198.18.0.1,54924,198.18.0.21,443,192.168.5.2,54969,221.5.100.174,2061,198.18.0.1,54924,198.18.0.21,443,10,2380,37,5.583925,3.0440700000000005,1,basic-static-server.infinitynewtab.com,192.168.5.2,54969,221.5.100.174,2061,14,3546,53,8.861566,0.5005260000000007,1
198.18.0.1,54935,198.18.0.21,443,192.168.5.2,54970,221.5.100.174,2061,198.18.0.1,54935,198.18.0.21,443,13,2440,43,5.651576,48.442835,1,basic-static-server.infinitynewtab.com,192.168.5.2,54970,221.5.100.174,2061,17,4536,54,8.86158,0.5351239999999997,1
198.18.0.1,54971,198.18.0.14,443,192.168.5.2,54972,221.5.100.174,2061,198.18.0.1,54971,198.18.0.14,443,86,49361,65,8.811438,66.10100700000001,9,www.google.com,192.168.5.2,54972,221.5.100.174,2061,77,43780,55,9.082646,66.321875,9
198.18.0.1,54975,198.18.0.35,443,192.168.5.2,54976,221.5.100.174,2061,198.18.0.1,54975,198.18.0.35,443,50,16208,68,8.96095,65.947221,9,content-autofill.googleapis.com,192.168.5.2,54976,221.5.100.174,2061,49,24547,56,9.232213,66.168065,9
198.18.0.1,54977,198.18.0.36,443,192.168.5.2,54978,221.5.100.174,2061,198.18.0.1,54977,198.18.0.36,443,247,153947,69,9.049152,65.86317199999999,23,www.gstatic.com,192.168.5.2,54978,221.5.100.174,2061,201,123864,57,9.320511,66.099586,23
198.18.0.1,54979,198.18.0.21,443,192.168.5.2,54980,221.5.100.174,2061,198.18.0.1,54979,198.18.0.21,443,13,2504,70,9.093354,45.457039,1,basic-static-server.infinitynewtab.com,192.168.5.2,54980,221.5.100.174,2061,18,4982,58,9.365021,0.4874510000000001,1
198.18.0.1,54981,198.18.0.37,443,192.168.5.2,54982,221.5.100.174,2061,198.18.0.1,54981,198.18.0.37,443,171,101395,71,9.136573,65.775691,15,jnn-pa.googleapis.com,192.168.5.2,54982,221.5.100.174,2061,135,78377,59,9.408268,65.998784,15
198.18.0.1,54985,198.18.0.36,443,192.168.5.2,54986,221.5.100.174,2061,198.18.0.1,54985,198.18.0.36,443,10,2325,74,9.449098,0.0535940000000003,1,www.gstatic.com,192.168.5.2,54986,221.5.100.174,2061,17,4612,60,9.720917,0.4408239999999992,1
198.18.0.1,54987,198.18.0.36,443,192.168.5.2,54988,221.5.100.174,2061,198.18.0.1,54987,198.18.0.36,443,56,21274,75,9.463471,65.448955,8,www.gstatic.com,192.168.5.2,54988,221.5.100.174,2061,57,26322,61,9.734857,65.66963799999999,8
198.18.0.1,54989,198.18.0.39,443,192.168.5.2,54990,221.5.100.174,2061,198.18.0.1,54989,198.18.0.39,443,79,37005,76,9.496127,65.415524,9,yt3.ggpht.com,192.168.5.2,54990,221.5.100.174,2061,69,33076,62,9.767393,65.638276,9
198.18.0.1,54991,198.18.0.39,443,192.168.5.2,54992,221.5.100.174,2061,198.18.0.1,54991,198.18.0.39,443,10,2323,78,9.71057,0.2439569999999999,1,yt3.ggpht.com,192.168.5.2,54992,221.5.100.174,2061,25,16186,63,9.982043,0.4452749999999987,2
198.18.0.1,54993,198.18.0.40,443,192.168.5.2,54994,221.5.100.174,2061,198.18.0.1,54993,198.18.0.40,443,56,17748,79,9.935885,64.976497,8,play.google.com,192.168.5.2,54994,221.5.100.174,2061,53,22179,64,10.207273,65.199096,8
198.18.0.1,54997,198.18.0.40,443,192.168.5.2,54998,221.5.100.174,2061,198.18.0.1,54997,198.18.0.40,443,92,35416,82,10.626253,64.283898,15,play.google.com,192.168.5.2,54998,221.5.100.174,2061,92,42309,66,10.897463,64.500775,15
198.18.0.1,55001,198.18.0.41,443,192.168.5.2,55002,221.5.100.174,2061,198.18.0.1,55001,198.18.0.41,443,50,19086,85,10.732142,64.180254,7,youtube.com,192.168.5.2,55002,221.5.100.174,2061,48,21886,67,11.003421,64.402902,7
198.18.0.1,55003,198.18.0.42,443,192.168.5.2,55004,221.5.100.174,2061,198.18.0.1,55003,198.18.0.42,443,57,21879,86,10.800649,64.11176,9,accounts.youtube.com,192.168.5.2,55004,221.5.100.174,2061,67,29487,68,11.072153,64.3333,9
198.18.0.1,55005,198.18.0.40,443,192.168.5.2,55006,221.5.100.174,2061,198.18.0.1,55005,198.18.0.40,443,10,2261,88,10.943479,0.1374560000000002,1,play.google.com,192.168.5.2,55006,221.5.100.174,2061,16,3862,69,11.215157,0.444255,1
198.18.0.1,55007,198.18.0.40,443,192.168.5.2,55008,221.5.100.174,2061,198.18.0.1,55007,198.18.0.40,443,10,2261,89,10.95476,0.1262119999999988,1,play.google.com,192.168.5.2,55008,221.5.100.174,2061,16,4175,70,11.226512,0.4451180000000008,1
198.18.0.1,55009,198.18.0.43,443,192.168.5.2,55011,112.21.164.39,443,198.18.0.1,55009,198.18.0.43,443,164,106731,92,12.102561,62.83114,6,config.immersivetranslate.com,192.168.5.2,55011,112.21.164.39,443,107,73437,71,12.385444,62.817413,6
198.18.0.1,55012,198.18.0.32,443,192.168.5.2,55013,221.5.100.174,2061,198.18.0.1,55012,198.18.0.32,443,42,14973,93,12.375557,62.536779,7,fonts.gstatic.com,192.168.5.2,55013,221.5.100.174,2061,43,17441,72,12.646877,62.756389,7
198.18.0.1,55018,198.18.0.27,443,192.168.5.2,55019,221.5.100.174,2061,198.18.0.1,55018,198.18.0.27,443,15337,12345369,96,12.545309,62.366416,10,optimizationguide-pa.googleapis.com,192.168.5.2,55019,221.5.100.174,2061,7652,6297906,74,12.817047,62.60435799999999,10
198.18.0.1,55021,198.18.0.45,443,192.168.5.2,55023,112.21.164.39,443,198.18.0.1,55021,198.18.0.45,443,50,19347,99,13.71659,61.21442400000001,6,ai.immersivetranslate.com,192.168.5.2,55023,112.21.164.39,443,40,14429,75,13.999696,61.200347,6
198.18.0.1,55027,198.18.0.46,443,192.168.5.2,55028,221.5.100.174,2061,198.18.0.1,55027,198.18.0.46,443,47,20064,101,14.104403,60.803541,5,suggestqueries-clients6.youtube.com,192.168.5.2,55028,221.5.100.174,2061,52,22600,77,14.375643,61.02289900000001,5
198.18.0.1,55037,198.18.0.18,443,192.168.5.2,55038,221.5.100.174,2061,198.18.0.1,55037,198.18.0.18,443,873,666870,105,32.285783,42.626566,7,www.googleapis.com,192.168.5.2,55038,221.5.100.174,2061,534,375010,82,32.557083,42.86430000000001,7
198.18.0.1,55057,198.18.0.9,443,192.168.5.2,55058,221.5.100.174,2061,198.18.0.1,55057,198.18.0.9,443,184,140317,110,60.633441,14.272681,13,clientservices.googleapis.com,192.168.5.2,55058,221.5.100.174,2061,259,157987,87,60.904583,14.493630999999992,13
198.18.0.1,55059,198.18.0.24,443,192.168.5.2,55060,221.5.100.174,2061,198.18.0.1,55059,198.18.0.24,443,67,32012,111,60.758567,14.391617999999994,10,update.googleapis.com,192.168.5.2,55060,221.5.100.174,2061,71,38031,88,61.0304,14.605799000000005,10
198.18.0.1,55065,198.18.0.22,443,192.168.5.2,55066,103.216.253.85,2061,198.18.0.1,55065,198.18.0.22,443,47,24660,114,62.314004,12.592190000000002,7,clients4.google.com,192.168.5.2,55066,103.216.253.85,2061,49,26190,91,62.585152,12.820071000000006,7
198.18.0.1,55073,198.18.0.49,443,192.168.5.2,55076,103.216.253.85,2061,198.18.0.1,55073,198.18.0.49,443,22,10932,118,69.732069,0.5462030000000055,3,beacons.gcp.gvt2.com,192.168.5.2,55076,103.216.253.85,2061,25,10924,96,70.003092,0.7621990000000096,3
198.18.0.1,55071,198.18.0.49,443,192.168.5.2,55074,103.216.253.85,2061,198.18.0.1,55071,198.18.0.49,443,50,17871,116,69.731708,5.1806569999999965,9,beacons.gcp.gvt2.com,192.168.5.2,55074,103.216.253.85,2061,45,22014,95,70.002988,5.413381999999999,9
198.18.0.1,55072,198.18.0.49,443,192.168.5.2,55075,103.216.253.85,2061,198.18.0.1,55072,198.18.0.49,443,10,2298,117,69.731904,1.036686000000003,1,beacons.gcp.gvt2.com,192.168.5.2,55075,103.216.253.85,2061,18,5486,94,70.002986,1.4774989999999946,1
198.18.0.1,55083,198.18.0.28,443,192.168.5.2,55084,103.216.253.85,2061,198.18.0.1,55083,198.18.0.28,443,581,375164,121,78.344648,168.96991699999998,47,www.youtube.com,192.168.5.2,55084,103.216.253.85,2061,569,315987,99,78.615693,169.03053,48
198.18.0.1,55085,198.18.0.49,443,192.168.5.2,55086,103.216.253.85,2061,198.18.0.1,55085,198.18.0.49,443,13,2422,122,79.04803,46.420466000000005,1,beacons.gcp.gvt2.com,192.168.5.2,55086,103.216.253.85,2061,17,4416,100,79.319085,1.449144000000004,1
198.18.0.1,55089,198.18.0.49,443,192.168.5.2,55090,103.216.253.85,2061,198.18.0.1,55089,198.18.0.49,443,80,17128,124,80.468061,166.846475,9,beacons.gcp.gvt2.com,192.168.5.2,55090,103.216.253.85,2061,73,23364,102,80.739041,167.06728099999998,9
