inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
198.18.0.1,59021,198.18.0.175,443,192.168.5.2,59022,221.5.100.174,2011,198.18.0.1,59021,198.18.0.175,443,37,14584,2,0.743887,4.465566,7,clientservices.googleapis.com,192.168.5.2,59022,221.5.100.174,2011,32,15506,3,0.749252,4.49979,7
198.18.0.1,59031,198.18.0.176,443,192.168.5.2,59037,122.205.109.41,443,198.18.0.1,59031,198.18.0.176,443,19,8396,15,2.553444,0.0492500000000002,4,infinityicon.infinitynewtab.com,192.168.5.2,59037,122.205.109.41,443,21,8570,9,2.558109,0.0464959999999998,4
198.18.0.1,59030,198.18.0.176,443,192.168.5.2,59039,122.205.109.41,443,198.18.0.1,59030,198.18.0.176,443,1680,1292225,14,2.553133,2.6741270000000004,20,infinityicon.infinitynewtab.com,192.168.5.2,59039,122.205.109.41,443,719,655156,10,2.558306,2.670756,20
198.18.0.1,59029,198.18.0.176,443,192.168.5.2,59043,122.205.109.41,443,198.18.0.1,59029,198.18.0.176,443,11,5237,13,2.552836,0.0358419999999997,2,infinityicon.infinitynewtab.com,192.168.5.2,59043,122.205.109.41,443,13,7548,12,2.558867,0.0358009999999997,2
198.18.0.1,59034,198.18.0.176,443,192.168.5.2,59040,122.205.109.41,443,198.18.0.1,59034,198.18.0.176,443,14,7546,18,2.554372,0.0351889999999999,2,infinityicon.infinitynewtab.com,192.168.5.2,59040,122.205.109.41,443,17,7764,11,2.558802,0.0456099999999999,2
198.18.0.1,59033,198.18.0.176,443,192.168.5.2,59046,122.205.109.41,443,198.18.0.1,59033,198.18.0.176,443,13,6549,17,2.554064,0.0387870000000001,2,infinityicon.infinitynewtab.com,192.168.5.2,59046,122.205.109.41,443,16,7646,14,2.559275,0.0450409999999998,2
198.18.0.1,59032,198.18.0.176,443,192.168.5.2,59047,122.205.109.41,443,198.18.0.1,59032,198.18.0.176,443,15,7889,16,2.553771,0.0345509999999995,2,infinityicon.infinitynewtab.com,192.168.5.2,59047,122.205.109.41,443,16,7614,15,2.559368,0.045007,2
198.18.0.1,59050,198.18.0.178,443,192.168.5.2,59054,101.69.128.53,443,198.18.0.1,59050,198.18.0.178,443,105,53812,21,2.558549,2.66761,4,infinitypro-img.infinitynewtab.com,192.168.5.2,59054,101.69.128.53,443,53,35137,17,2.563055,2.6648090000000004,4
198.18.0.1,59051,198.18.0.178,443,192.168.5.2,59055,101.69.128.53,443,198.18.0.1,59051,198.18.0.178,443,254,118287,22,2.558768,2.669181,6,infinitypro-img.infinitynewtab.com,192.168.5.2,59055,101.69.128.53,443,86,66073,18,2.563088,2.6666830000000004,6
198.18.0.1,59027,198.18.0.7,443,192.168.5.2,59028,221.5.100.174,2011,198.18.0.1,59027,198.18.0.7,443,28,10016,12,2.54018,2.672381,6,weatheroffer.com,192.168.5.2,59028,221.5.100.174,2011,30,13466,8,2.54361,2.7088149999999995,6
198.18.0.1,59052,198.18.0.177,443,192.168.5.2,59057,183.131.178.88,443,198.18.0.1,59052,198.18.0.177,443,222,134381,23,2.558998,2.671575,10,infinity-permanent.infinitynewtab.com,192.168.5.2,59057,183.131.178.88,443,115,87819,19,2.563182,2.669196,10
198.18.0.1,59035,198.18.0.19,443,192.168.5.2,59044,221.5.100.174,2011,198.18.0.1,59035,198.18.0.19,443,34,12888,19,2.554758,2.658953,7,accounts.google.com,192.168.5.2,59044,221.5.100.174,2011,33,17914,13,2.558902,2.694986,7
198.18.0.1,59049,198.18.0.6,443,192.168.5.2,59053,221.5.100.174,2011,198.18.0.1,59049,198.18.0.6,443,35,14239,20,2.557526,2.6563349999999994,7,www.google.com,192.168.5.2,59053,221.5.100.174,2011,33,15361,16,2.560904,2.6930050000000003,7
198.18.0.1,59060,198.18.0.157,443,192.168.5.2,59061,221.5.100.174,2011,198.18.0.1,59060,198.18.0.157,443,41,15544,24,2.642287,2.5710650000000004,7,www.googleapis.com,192.168.5.2,59061,221.5.100.174,2011,35,17860,20,2.647423,2.607206,7
198.18.0.1,59062,198.18.0.19,443,192.168.5.2,59063,221.5.100.174,2011,198.18.0.1,59062,198.18.0.19,443,32,12087,25,2.734513,2.479171,7,accounts.google.com,192.168.5.2,59063,221.5.100.174,2011,35,19412,21,2.739089,2.513634,7
198.18.0.1,59068,198.18.0.9,443,192.168.5.2,59069,121.43.167.86,443,198.18.0.1,59068,198.18.0.9,443,38,13871,29,2.842211,2.388395,10,api.infinitynewtab.com,192.168.5.2,59069,121.43.167.86,443,31,12760,23,2.845912,2.386502,10
198.18.0.1,59066,198.18.0.78,443,192.168.5.2,59067,221.5.100.174,2011,198.18.0.1,59066,198.18.0.78,443,42,19025,28,2.828033,2.385215,9,clients4.google.com,192.168.5.2,59067,221.5.100.174,2011,43,27177,22,2.832476,2.4230020000000003,9
198.18.0.1,59071,198.18.0.161,443,192.168.5.2,59073,221.5.100.174,2011,198.18.0.1,59071,198.18.0.161,443,44,19243,31,2.923269,2.2903880000000005,7,accounts.youtube.com,192.168.5.2,59073,221.5.100.174,2011,38,21231,24,2.942745,2.310604,7
198.18.0.1,59074,198.18.0.10,443,192.168.5.2,59075,221.5.100.174,2011,198.18.0.1,59074,198.18.0.10,443,13,2440,33,3.248081,45.088315,1,basic-static-server.infinitynewtab.com,192.168.5.2,59075,221.5.100.174,2011,17,5406,25,3.251485,0.120981,1
198.18.0.1,59076,198.18.0.10,443,192.168.5.2,59077,221.5.100.174,2011,198.18.0.1,59076,198.18.0.10,443,13,2536,34,3.336413,45.168118,1,basic-static-server.infinitynewtab.com,192.168.5.2,59077,221.5.100.174,2011,17,4001,26,3.340101,0.1999700000000004,1
198.18.0.1,59078,198.18.0.179,443,192.168.5.2,59079,221.5.100.174,2011,198.18.0.1,59078,198.18.0.179,443,10,2329,37,5.160671,0.0517460000000005,1,clients2.google.com,192.168.5.2,59079,221.5.100.174,2011,16,4330,28,5.164981,0.0876840000000003,1
198.18.0.1,59080,198.18.0.180,443,192.168.5.2,59081,221.5.100.174,2011,198.18.0.1,59080,198.18.0.180,443,10,2363,38,5.163717,0.0488140000000001,1,update.googleapis.com,192.168.5.2,59081,221.5.100.174,2011,16,4472,29,5.168446,0.0842539999999996,1
198.18.0.1,59082,198.18.0.179,443,192.168.5.2,59084,221.5.100.174,2011,198.18.0.1,59082,198.18.0.179,443,40,17868,39,5.212747,0.2842209999999996,6,clients2.google.com,192.168.5.2,59084,221.5.100.174,2011,36,19206,31,5.216902,0.3196760000000003,6
198.18.0.1,59083,198.18.0.180,443,192.168.5.2,59085,221.5.100.174,2011,198.18.0.1,59083,198.18.0.180,443,43,19538,40,5.213022,0.300618,6,update.googleapis.com,192.168.5.2,59085,221.5.100.174,2011,41,20755,30,5.216901,0.3372359999999998,6
198.18.0.1,59087,198.18.0.181,443,192.168.5.2,59089,221.5.100.174,2011,198.18.0.1,59087,198.18.0.181,443,10,2304,42,5.258419,0.0608360000000001,1,android.clients.google.com,192.168.5.2,59089,221.5.100.174,2011,21,12775,33,5.26193,0.0919160000000003,2
198.18.0.1,59086,198.18.0.14,5228,192.168.5.2,59088,221.5.100.174,2011,198.18.0.1,59086,198.18.0.14,5228,72,17406,41,5.258259,241.652583,4,mtalk.google.com,192.168.5.2,59088,221.5.100.174,2011,65,18407,32,5.261137,241.697263,4
198.18.0.1,59090,198.18.0.181,443,192.168.5.2,59091,221.5.100.174,2011,198.18.0.1,59090,198.18.0.181,443,117,24114,43,5.31929,241.621464,13,android.clients.google.com,192.168.5.2,59091,221.5.100.174,2011,93,29293,34,5.323114,241.663008,13
198.18.0.1,59095,198.18.0.81,443,192.168.5.2,59097,221.5.100.174,2011,198.18.0.1,59095,198.18.0.81,443,142,47878,48,7.09497,239.845316,11,open.spotify.com,192.168.5.2,59097,221.5.100.174,2011,118,49013,36,7.098861,239.885932,11
198.18.0.1,59092,198.18.0.11,443,192.168.5.2,59093,221.5.100.174,2011,198.18.0.1,59092,198.18.0.11,443,118,45450,46,7.089289,239.851319,9,optimizationguide-pa.googleapis.com,192.168.5.2,59093,221.5.100.174,2011,79,34066,35,7.093156,239.892913,9
198.18.0.1,59094,198.18.0.81,443,192.168.5.2,59096,221.5.100.174,2011,198.18.0.1,59094,198.18.0.81,443,28,6945,47,7.094745,61.262483,3,open.spotify.com,192.168.5.2,59096,221.5.100.174,2011,29,8543,37,7.098863,61.300803,3
198.18.0.1,59101,198.18.0.83,443,192.168.5.2,59108,221.5.100.174,2011,198.18.0.1,59101,198.18.0.83,443,10,2324,54,7.68305,0.0868080000000004,1,encore.scdn.co,192.168.5.2,59108,221.5.100.174,2011,18,9021,41,7.686179,0.0873210000000002,2
198.18.0.1,59099,198.18.0.83,443,192.168.5.2,59106,221.5.100.174,2011,198.18.0.1,59099,198.18.0.83,443,1629,1275518,52,7.682619,120.167741,4,encore.scdn.co,192.168.5.2,59106,221.5.100.174,2011,618,609746,39,7.685874,120.200155,6
198.18.0.1,59098,198.18.0.85,443,192.168.5.2,59104,221.5.100.174,2011,198.18.0.1,59098,198.18.0.85,443,81,13642,51,7.681773,239.260063,11,apresolve.spotify.com,192.168.5.2,59104,221.5.100.174,2011,72,20609,38,7.685559,239.300786,11
198.18.0.1,59100,198.18.0.87,443,192.168.5.2,59107,221.5.100.174,2011,198.18.0.1,59100,198.18.0.87,443,78,12691,53,7.682866,239.258989,9,clienttoken.spotify.com,192.168.5.2,59107,221.5.100.174,2011,67,19561,40,7.686096,239.300428,9
198.18.0.1,59105,198.18.0.86,443,192.168.5.2,59112,221.5.100.174,2011,198.18.0.1,59105,198.18.0.86,443,258,74965,57,7.683737,239.257679,67,api-partner.spotify.com,192.168.5.2,59112,221.5.100.174,2011,234,111767,44,7.686908,239.29932,67
198.18.0.1,59109,198.18.0.83,443,192.168.5.2,59113,221.5.100.174,2011,198.18.0.1,59109,198.18.0.83,443,11,2312,58,7.68437,0.0856729999999998,1,encore.scdn.co,192.168.5.2,59113,221.5.100.174,2011,17,8466,45,7.687446,0.0844710000000006,2
198.18.0.1,59103,198.18.0.83,443,192.168.5.2,59111,221.5.100.174,2011,198.18.0.1,59103,198.18.0.83,443,10,2292,56,7.683489,0.0864539999999998,1,encore.scdn.co,192.168.5.2,59111,221.5.100.174,2011,16,8092,43,7.68666,0.089175,2
198.18.0.1,59102,198.18.0.83,443,192.168.5.2,59110,221.5.100.174,2011,198.18.0.1,59102,198.18.0.83,443,11,2408,55,7.683256,0.0866730000000002,1,encore.scdn.co,192.168.5.2,59110,221.5.100.174,2011,17,8331,42,7.68649,0.0895029999999996,2
198.18.0.1,59114,198.18.0.88,443,192.168.5.2,59121,221.5.100.174,2011,198.18.0.1,59114,198.18.0.88,443,555,205100,59,7.687081,239.254937,120,gae2-spclient.spotify.com,192.168.5.2,59121,221.5.100.174,2011,495,269982,46,7.690536,239.295713,120
198.18.0.1,59117,198.18.0.84,443,192.168.5.2,59124,221.5.100.174,2011,198.18.0.1,59117,198.18.0.84,443,5375,4183430,62,7.687711,239.253189,27,open.spotifycdn.com,192.168.5.2,59124,221.5.100.174,2011,2186,2098357,49,7.691,239.293879,27
198.18.0.1,59119,198.18.0.6,443,192.168.5.2,59126,221.5.100.174,2011,198.18.0.1,59119,198.18.0.6,443,88,19299,64,7.688051,239.252879,9,www.google.com,192.168.5.2,59126,221.5.100.174,2011,71,20817,51,7.691187,239.294838,9
198.18.0.1,59115,198.18.0.84,443,192.168.5.2,59122,221.5.100.174,2011,198.18.0.1,59115,198.18.0.84,443,22,10355,60,7.687372,0.0897060000000005,3,open.spotifycdn.com,192.168.5.2,59122,221.5.100.174,2011,23,10784,47,7.690626,0.1270480000000002,3
198.18.0.1,59120,198.18.0.101,443,192.168.5.2,59127,221.5.100.174,2011,198.18.0.1,59120,198.18.0.101,443,233,137628,65,7.688285,239.252972,7,www.googleoptimize.com,192.168.5.2,59127,221.5.100.174,2011,139,95580,52,7.691567,239.294642,7
198.18.0.1,59118,198.18.0.84,443,192.168.5.2,59125,221.5.100.174,2011,198.18.0.1,59118,198.18.0.84,443,4169,3066164,63,7.687876,239.253193,266,open.spotifycdn.com,192.168.5.2,59125,221.5.100.174,2011,1652,1696093,50,7.691067,239.296126,266
198.18.0.1,59116,198.18.0.84,443,192.168.5.2,59123,221.5.100.174,2011,198.18.0.1,59116,198.18.0.84,443,10,2297,61,7.687542,0.0896550000000004,1,open.spotifycdn.com,192.168.5.2,59123,221.5.100.174,2011,18,9415,48,7.690908999999999,0.0899870000000007,2
198.18.0.1,59128,198.18.0.90,443,192.168.5.2,59132,221.5.100.174,2011,198.18.0.1,59128,198.18.0.90,443,28,7212,66,7.691065,60.665995,3,gae2-dealer.spotify.com,192.168.5.2,59132,221.5.100.174,2011,30,9986,53,7.694876,60.703741,3
198.18.0.1,59131,198.18.0.92,443,192.168.5.2,59136,221.5.100.174,2011,198.18.0.1,59131,198.18.0.92,443,28,7963,69,7.69281,60.664446000000005,4,pixel-static.spotify.com,192.168.5.2,59136,221.5.100.174,2011,31,11518,56,7.696134,60.702269,4
198.18.0.1,59130,198.18.0.91,443,192.168.5.2,59135,221.5.100.174,2011,198.18.0.1,59130,198.18.0.91,443,28,7956,68,7.692489,60.664859,4,pixel.spotify.com,192.168.5.2,59135,221.5.100.174,2011,29,9771,55,7.696134,60.702508,4
198.18.0.1,59129,198.18.0.89,443,192.168.5.2,59133,221.5.100.174,2011,198.18.0.1,59129,198.18.0.89,443,28,8289,67,7.69128,60.666054,3,pl.scdn.co,192.168.5.2,59133,221.5.100.174,2011,31,11571,54,7.694883,60.708963,3
198.18.0.1,59134,198.18.0.93,443,192.168.5.2,59138,221.5.100.174,2011,198.18.0.1,59134,198.18.0.93,443,33,10888,70,7.694229,60.662896,3,open-exp.spotifycdn.com,192.168.5.2,59138,221.5.100.174,2011,30,10834,57,7.697866,60.704839,3
198.18.0.1,59137,198.18.0.94,443,192.168.5.2,59140,221.5.100.174,2011,198.18.0.1,59137,198.18.0.94,443,32,10761,71,7.695589,60.661506,3,mosaic.scdn.co,192.168.5.2,59140,221.5.100.174,2011,32,11842,58,7.699058,60.70482499999999,3
198.18.0.1,59141,198.18.0.95,443,192.168.5.2,59145,221.5.100.174,2011,198.18.0.1,59141,198.18.0.95,443,24,8134,73,7.698,55.632397,4,i.scdn.co,192.168.5.2,59145,221.5.100.174,2011,26,10349,60,7.701348,10.663554,4
198.18.0.1,59144,198.18.0.84,443,192.168.5.2,59148,221.5.100.174,2011,198.18.0.1,59144,198.18.0.84,443,10,2361,75,7.699099,0.0781899999999993,1,open.spotifycdn.com,192.168.5.2,59148,221.5.100.174,2011,19,10175,62,7.702373,0.0834489999999998,2
198.18.0.1,59146,198.18.0.96,443,192.168.5.2,59149,221.5.100.174,2011,198.18.0.1,59146,198.18.0.96,443,28,8035,76,7.700191,60.656821,4,exp.wg.spotify.com,192.168.5.2,59149,221.5.100.174,2011,31,9442,63,7.703369,60.694976,4
198.18.0.1,59139,198.18.0.97,443,192.168.5.2,59143,221.5.100.174,2011,198.18.0.1,59139,198.18.0.97,443,32,10736,72,7.697013,60.660067,3,lineup-images.scdn.co,192.168.5.2,59143,221.5.100.174,2011,31,11097,59,7.700768,60.703135,3
198.18.0.1,59142,198.18.0.84,443,192.168.5.2,59147,221.5.100.174,2011,198.18.0.1,59142,198.18.0.84,443,10,2265,74,7.698829,0.0784310000000001,1,open.spotifycdn.com,192.168.5.2,59147,221.5.100.174,2011,19,10258,61,7.702173,0.0894319999999995,2
198.18.0.1,59150,198.18.0.100,443,192.168.5.2,59154,221.5.100.174,2011,198.18.0.1,59150,198.18.0.100,443,128,21238,77,7.70695,239.235416,29,spclient.wg.spotify.com,192.168.5.2,59154,221.5.100.174,2011,113,40531,64,7.7109,239.275504,29
198.18.0.1,59151,198.18.0.99,443,192.168.5.2,59153,221.5.100.174,2011,198.18.0.1,59151,198.18.0.99,443,119,20072,78,7.707255,239.235379,21,api.spotify.com,192.168.5.2,59153,221.5.100.174,2011,101,36624,65,7.7109,239.275527,21
198.18.0.1,59152,198.18.0.98,443,192.168.5.2,59155,221.5.100.174,2011,198.18.0.1,59152,198.18.0.98,443,32,10732,79,7.708191,60.648841,3,daily-mix.scdn.co,192.168.5.2,59155,221.5.100.174,2011,32,12147,66,7.711394,60.68745,3
198.18.0.1,59156,198.18.0.12,443,192.168.5.2,59157,221.5.100.174,2011,198.18.0.1,59156,198.18.0.12,443,648,479545,81,7.849496,239.090741,7,www.gstatic.com,192.168.5.2,59157,221.5.100.174,2011,319,263741,67,7.85284,239.133303,7
198.18.0.1,59158,198.18.0.102,443,192.168.5.2,59159,221.5.100.174,2011,198.18.0.1,59158,198.18.0.102,443,79,12844,83,8.445601,238.495748,8,o22381.ingest.sentry.io,192.168.5.2,59159,221.5.100.174,2011,67,20534,69,8.449133,238.537032,8
198.18.0.1,59161,198.18.0.26,443,192.168.5.2,59163,221.5.100.174,2011,198.18.0.1,59161,198.18.0.26,443,103,22833,85,8.512113,238.42939,17,content-autofill.googleapis.com,192.168.5.2,59163,221.5.100.174,2011,88,30705,71,8.515444,238.470825,17
198.18.0.1,59160,198.18.0.6,443,192.168.5.2,59162,221.5.100.174,2011,198.18.0.1,59160,198.18.0.6,443,151,77819,84,8.511918,238.429229,10,www.google.com,192.168.5.2,59162,221.5.100.174,2011,110,63827,70,8.515444,238.470848,10
198.18.0.1,59164,198.18.0.90,443,192.168.5.2,59165,221.5.100.174,2011,198.18.0.1,59164,198.18.0.90,443,682,498531,86,8.609859,238.165018,21,gae2-dealer.spotify.com,192.168.5.2,59165,221.5.100.174,2011,373,319814,72,8.61434,238.204022,21
198.18.0.1,59167,198.18.0.12,443,192.168.5.2,59168,221.5.100.174,2011,198.18.0.1,59167,198.18.0.12,443,705,536541,88,8.698528,238.242518,8,www.gstatic.com,192.168.5.2,59168,221.5.100.174,2011,320,306669,74,8.703034,238.28179,8
198.18.0.1,59166,198.18.0.12,443,192.168.5.2,59169,221.5.100.174,2011,198.18.0.1,59166,198.18.0.12,443,13,7821,87,8.698227,0.0997010000000013,2,www.gstatic.com,192.168.5.2,59169,221.5.100.174,2011,19,10242,73,8.703034,0.1363969999999987,2
