inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
198.18.0.1,63314,198.18.0.7,443,192.168.5.2,63315,221.5.100.174,2061,198.18.0.1,63314,198.18.0.7,443,38,14617,0,0.004285,13.045254,7,clientservices.googleapis.com,192.168.5.2,63315,221.5.100.174,2061,38,16650,4,0.190128,13.133464,7
198.18.0.1,63324,198.18.0.10,443,192.168.5.2,63332,150.138.157.41,443,198.18.0.1,63324,198.18.0.10,443,1354,1071862,8,1.201827,11.865194,20,infinityicon.infinitynewtab.com,192.168.5.2,63332,150.138.157.41,443,703,653150,9,1.273577,11.851401,20
198.18.0.1,63322,198.18.0.10,443,192.168.5.2,63337,150.138.157.41,443,198.18.0.1,63322,198.18.0.10,443,14,7482,6,1.186315,0.0690459999999999,2,infinityicon.infinitynewtab.com,192.168.5.2,63337,150.138.157.41,443,16,7646,12,1.273947,0.0559420000000001,2
198.18.0.1,63326,198.18.0.10,443,192.168.5.2,63330,150.138.157.41,443,198.18.0.1,63326,198.18.0.10,443,12,6465,10,1.202755,0.054775,2,infinityicon.infinitynewtab.com,192.168.5.2,63330,150.138.157.41,443,16,7614,7,1.27338,0.0586649999999999,2
198.18.0.1,63327,198.18.0.10,443,192.168.5.2,63329,150.138.157.41,443,198.18.0.1,63327,198.18.0.10,443,10,3709,11,1.203724,0.0552269999999999,2,infinityicon.infinitynewtab.com,192.168.5.2,63329,150.138.157.41,443,13,7484,8,1.27339,0.046448,2
198.18.0.1,63325,198.18.0.10,443,192.168.5.2,63336,150.138.157.41,443,198.18.0.1,63325,198.18.0.10,443,12,6529,9,1.202288,0.0579979999999999,2,infinityicon.infinitynewtab.com,192.168.5.2,63336,150.138.157.41,443,16,7678,11,1.273945,0.0603839999999999,2
198.18.0.1,63323,198.18.0.10,443,192.168.5.2,63335,150.138.157.41,443,198.18.0.1,63323,198.18.0.10,443,12,6465,7,1.191344,0.075722,2,infinityicon.infinitynewtab.com,192.168.5.2,63335,150.138.157.41,443,16,7614,10,1.273939,0.063145,2
198.18.0.1,63320,198.18.0.8,443,192.168.5.2,63340,221.5.100.174,2061,198.18.0.1,63320,198.18.0.8,443,39,18110,4,1.171609,11.879864,7,accounts.google.com,192.168.5.2,63340,221.5.100.174,2061,44,23990,13,1.332539,11.993593,7
198.18.0.1,63321,198.18.0.9,443,192.168.5.2,63341,221.5.100.174,2061,198.18.0.1,63321,198.18.0.9,443,42,18994,5,1.171845,11.87975,7,www.google.com,192.168.5.2,63341,221.5.100.174,2061,46,21402,14,1.332539,11.995213,7
198.18.0.1,63343,198.18.0.12,443,192.168.5.2,63347,61.156.44.221,443,198.18.0.1,63343,198.18.0.12,443,225,129525,13,1.320904,11.751849,10,infinity-permanent.infinitynewtab.com,192.168.5.2,63347,61.156.44.221,443,113,87716,15,1.407852,11.722794,10
198.18.0.1,63345,198.18.0.13,443,192.168.5.2,63349,101.69.128.55,443,198.18.0.1,63345,198.18.0.13,443,119,63779,15,1.325799,11.73977,4,infinitypro-img.infinitynewtab.com,192.168.5.2,63349,101.69.128.55,443,53,35053,16,1.6310639999999998,11.492385,4
198.18.0.1,63344,198.18.0.13,443,192.168.5.2,63348,101.69.128.55,443,198.18.0.1,63344,198.18.0.13,443,147,78624,14,1.325548,11.74005,6,infinitypro-img.infinitynewtab.com,192.168.5.2,63348,101.69.128.55,443,93,66533,17,1.6310639999999998,11.492446,6
198.18.0.1,63342,198.18.0.11,443,192.168.5.2,63350,120.232.217.159,2061,198.18.0.1,63342,198.18.0.11,443,28,10081,12,1.318706,11.732169,6,weatheroffer.com,192.168.5.2,63350,120.232.217.159,2061,32,13917,18,1.645008,11.810389,6
198.18.0.1,63351,198.18.0.14,443,192.168.5.2,63352,120.232.217.159,2061,198.18.0.1,63351,198.18.0.14,443,35,12203,16,1.655907,11.395756,7,www.googleapis.com,192.168.5.2,63352,120.232.217.159,2061,41,19070,19,1.816784,11.511033,7
198.18.0.1,63355,198.18.0.16,443,192.168.5.2,63356,121.43.167.86,443,198.18.0.1,63355,198.18.0.16,443,33,13582,19,1.828624,11.238676,6,api.infinitynewtab.com,192.168.5.2,63356,121.43.167.86,443,30,12665,20,2.125687,10.999578,6
198.18.0.1,63357,198.18.0.16,443,192.168.5.2,63358,121.43.167.86,443,198.18.0.1,63357,198.18.0.16,443,13,6453,20,2.073421,0.2325219999999999,2,api.infinitynewtab.com,192.168.5.2,63358,121.43.167.86,443,14,6725,21,2.333585,0.0302779999999995,1
198.18.0.1,63360,198.18.0.18,443,192.168.5.2,63361,120.232.217.159,2061,198.18.0.1,63360,198.18.0.18,443,186,113223,23,2.698208,10.353796,29,clients4.google.com,192.168.5.2,63361,120.232.217.159,2061,214,123156,22,2.858095,10.466814,29
198.18.0.1,63369,198.18.0.20,443,192.168.5.2,63372,120.232.217.159,2061,198.18.0.1,63369,198.18.0.20,443,5637,4511740,28,4.110451,9.165761,46,www.youtube.com,192.168.5.2,63372,120.232.217.159,2061,3417,2515912,26,4.270679,9.277891,46
198.18.0.1,63368,198.18.0.19,443,192.168.5.2,63371,120.232.217.159,2061,198.18.0.1,63368,198.18.0.19,443,74,35182,27,4.10641,8.945504,9,optimizationguide-pa.googleapis.com,192.168.5.2,63371,120.232.217.159,2061,62,33079,25,4.26705,9.190321,9
198.18.0.1,63370,198.18.0.20,443,192.168.5.2,63373,120.232.217.159,2061,198.18.0.1,63370,198.18.0.20,443,29,15759,29,4.114623,8.936296,4,www.youtube.com,192.168.5.2,63373,120.232.217.159,2061,28,15585,27,4.274951,9.051921,4
198.18.0.1,63378,198.18.0.21,443,192.168.5.2,63381,120.232.217.159,2061,198.18.0.1,63378,198.18.0.21,443,304,209090,32,5.023029,8.029703999999999,22,i.ytimg.com,192.168.5.2,63381,120.232.217.159,2061,264,170490,29,5.0836,8.244199000000002,22
198.18.0.1,63379,198.18.0.21,443,192.168.5.2,63380,120.232.217.159,2061,198.18.0.1,63379,198.18.0.21,443,10,2321,33,5.023286,0.4488260000000004,1,i.ytimg.com,192.168.5.2,63380,120.232.217.159,2061,20,10225,30,5.0836,0.4731100000000001,2
198.18.0.1,63383,198.18.0.23,443,192.168.5.2,63386,120.232.217.159,2061,198.18.0.1,63383,198.18.0.23,443,26,11372,35,5.231616,7.81909,4,rr5---sn-a5mekn6z.googlevideo.com,192.168.5.2,63386,120.232.217.159,2061,29,12260,32,5.291283,8.034821,4
198.18.0.1,63384,198.18.0.23,443,192.168.5.2,63387,120.232.217.159,2061,198.18.0.1,63384,198.18.0.23,443,26,11378,36,5.231841,7.818914,4,rr5---sn-a5mekn6z.googlevideo.com,192.168.5.2,63387,120.232.217.159,2061,31,12725,33,5.29134,8.037461,4
198.18.0.1,63382,198.18.0.22,443,192.168.5.2,63385,120.232.217.159,2061,198.18.0.1,63382,198.18.0.22,443,78,40265,34,5.230868,7.822444,10,fonts.googleapis.com,192.168.5.2,63385,120.232.217.159,2061,72,38448,31,5.290819,8.040246,10
198.18.0.1,63388,198.18.0.24,443,192.168.5.2,63389,120.232.217.159,2061,198.18.0.1,63388,198.18.0.24,443,369,262619,38,5.942728,7.110373,14,fonts.gstatic.com,192.168.5.2,63389,120.232.217.159,2061,286,181239,34,6.002696,7.326034,14
198.18.0.1,63390,198.18.0.25,443,192.168.5.2,63391,120.232.217.159,2061,198.18.0.1,63390,198.18.0.25,443,14587,11578303,39,6.32592,6.724753,8,rr1---sn-a5mekndz.googlevideo.com,192.168.5.2,63391,120.232.217.159,2061,8095,6107605,36,6.385986,6.943028000000001,8
198.18.0.1,63392,198.18.0.9,443,192.168.5.2,63393,120.232.217.159,2061,198.18.0.1,63392,198.18.0.9,443,102,62494,41,6.779104,6.273814,9,www.google.com,192.168.5.2,63393,120.232.217.159,2061,78,43451,37,6.839018,6.488762,9
198.18.0.1,63396,198.18.0.27,443,192.168.5.2,63399,120.232.217.159,2061,198.18.0.1,63396,198.18.0.27,443,37,14652,44,6.930902,6.120952000000001,7,content-autofill.googleapis.com,192.168.5.2,63399,120.232.217.159,2061,38,16606,40,7.067219,6.258933000000001,7
198.18.0.1,63397,198.18.0.28,443,192.168.5.2,63398,120.232.217.159,2061,198.18.0.1,63397,198.18.0.28,443,248,161736,45,6.971429,6.080941,16,www.gstatic.com,192.168.5.2,63398,120.232.217.159,2061,187,115697,39,7.067218,6.263824,16
198.18.0.1,63400,198.18.0.29,443,192.168.5.2,63403,120.232.217.159,2061,198.18.0.1,63400,198.18.0.29,443,171,104644,46,7.12858,5.924440999999999,13,jnn-pa.googleapis.com,192.168.5.2,63403,120.232.217.159,2061,134,76074,41,7.188937,6.139824999999999,13
198.18.0.1,63359,198.18.0.17,443,192.168.5.2,63404,120.232.217.159,2061,198.18.0.1,63359,198.18.0.17,443,13,2472,21,2.281178,50.704472,1,basic-static-server.infinitynewtab.com,192.168.5.2,63404,120.232.217.159,2061,18,5207,42,7.341226,0.7399200000000006,1
198.18.0.1,63405,198.18.0.28,443,192.168.5.2,63406,120.232.217.159,2061,198.18.0.1,63405,198.18.0.28,443,52,21232,50,7.535308,5.517366,8,www.gstatic.com,192.168.5.2,63406,120.232.217.159,2061,51,26856,43,7.595192,5.7373520000000005,8
198.18.0.1,63407,198.18.0.31,443,192.168.5.2,63408,120.232.217.159,2061,198.18.0.1,63407,198.18.0.31,443,66,38207,51,7.558515,5.493701,9,yt3.ggpht.com,192.168.5.2,63408,120.232.217.159,2061,63,34703,44,7.618927,5.828857999999999,9
