inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
198.18.0.1,59124,198.18.0.9,443,192.168.5.2,59125,221.5.100.174,2011,198.18.0.1,59124,198.18.0.9,443,39,14608,3,0.666137,11.654577,7,clientservices.googleapis.com,192.168.5.2,59125,221.5.100.174,2011,37,17594,5,0.665946,11.690061,7
198.18.0.1,59131,198.18.0.12,443,192.168.5.2,59142,112.82.180.41,443,198.18.0.1,59131,198.18.0.12,443,1329,1039613,7,2.500852,9.831912,34,infinityicon.infinitynewtab.com,192.168.5.2,59142,112.82.180.41,443,774,657671,10,2.508108,9.821305,34
198.18.0.1,59134,198.18.0.12,443,192.168.5.2,59140,112.82.180.41,443,198.18.0.1,59134,198.18.0.12,443,20,9810,9,2.505886,0.0357150000000001,4,infinityicon.infinitynewtab.com,192.168.5.2,59140,112.82.180.41,443,22,8718,9,2.507086,0.031511,4
198.18.0.1,59132,198.18.0.12,443,192.168.5.2,59145,112.82.180.41,443,198.18.0.1,59132,198.18.0.12,443,11,5141,8,2.501043,0.0338739999999999,2,infinityicon.infinitynewtab.com,192.168.5.2,59145,112.82.180.41,443,13,7452,11,2.511634,0.022237,2
198.18.0.1,59135,198.18.0.12,443,192.168.5.2,59150,112.82.180.41,443,198.18.0.1,59135,198.18.0.12,443,16,8822,10,2.507109,0.0280219999999999,2,infinityicon.infinitynewtab.com,192.168.5.2,59150,112.82.180.41,443,15,7560,13,2.513639,0.0249209999999999,2
198.18.0.1,59137,198.18.0.12,443,192.168.5.2,59147,112.82.180.41,443,198.18.0.1,59137,198.18.0.12,443,11,5237,11,2.508703,0.0264649999999999,2,infinityicon.infinitynewtab.com,192.168.5.2,59147,112.82.180.41,443,14,7602,12,2.512976,0.0209349999999997,2
198.18.0.1,59138,198.18.0.12,443,192.168.5.2,59151,112.82.180.41,443,198.18.0.1,59138,198.18.0.12,443,12,6529,12,2.50896,0.035063,2,infinityicon.infinitynewtab.com,192.168.5.2,59151,112.82.180.41,443,17,7732,14,2.514142,0.0294620000000001,2
198.18.0.1,59130,198.18.0.11,443,192.168.5.2,59136,183.240.139.64,2011,198.18.0.1,59130,198.18.0.11,443,48,19924,6,2.499664,9.824304,9,www.google.com,192.168.5.2,59136,183.240.139.64,2011,41,22995,8,2.504327,9.852218,9
198.18.0.1,59146,198.18.0.13,443,192.168.5.2,59154,61.156.44.221,443,198.18.0.1,59146,198.18.0.13,443,224,127985,14,2.515086,9.827499,10,infinity-permanent.infinitynewtab.com,192.168.5.2,59154,61.156.44.221,443,114,87819,16,2.516685,9.822622,10
198.18.0.1,59129,198.18.0.10,443,192.168.5.2,59133,183.240.139.64,2011,198.18.0.1,59129,198.18.0.10,443,2635,1948858,5,2.497808,10.11258,44,accounts.google.com,192.168.5.2,59133,183.240.139.64,2011,1161,1137407,7,2.500703,10.153787,44
