inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
198.18.0.1,62993,198.18.0.9,443,192.168.5.2,62994,221.5.100.174,2011,198.18.0.1,62993,198.18.0.9,443,37,14502,3,0.728053,11.673347,7,clientservices.googleapis.com,192.168.5.2,62994,221.5.100.174,2011,32,15927,3,0.730069,11.709623,7
198.18.0.1,62998,198.18.0.12,443,192.168.5.2,63005,112.82.180.41,443,198.18.0.1,62998,198.18.0.12,443,21,9870,9,2.761543,0.0390079999999999,4,infinityicon.infinitynewtab.com,192.168.5.2,63005,112.82.180.41,443,21,8664,9,2.768014,0.0322879999999998,4
198.18.0.1,62997,198.18.0.12,443,192.168.5.2,63008,112.82.180.41,443,198.18.0.1,62997,198.18.0.12,443,1368,1065794,8,2.761255,9.650744,26,infinityicon.infinitynewtab.com,192.168.5.2,63008,112.82.180.41,443,701,652116,10,2.770382,9.641306,28
198.18.0.1,63001,198.18.0.12,443,192.168.5.2,63010,112.82.180.41,443,198.18.0.1,63001,198.18.0.12,443,20,9794,10,2.765164,0.0332630000000002,4,infinityicon.infinitynewtab.com,192.168.5.2,63010,112.82.180.41,443,22,8686,11,2.771601,0.026774,4
198.18.0.1,63002,198.18.0.12,443,192.168.5.2,63013,112.82.180.41,443,198.18.0.1,63002,198.18.0.12,443,20,9477,11,2.765947,0.031644,4,infinityicon.infinitynewtab.com,192.168.5.2,63013,112.82.180.41,443,22,8750,12,2.772634,0.0258250000000002,4
198.18.0.1,63003,198.18.0.12,443,192.168.5.2,63015,112.82.180.41,443,198.18.0.1,63003,198.18.0.12,443,11,5205,12,2.767698,0.026586,2,infinityicon.infinitynewtab.com,192.168.5.2,63015,112.82.180.41,443,13,7516,13,2.773486,0.0237910000000001,2
198.18.0.1,63006,198.18.0.12,443,192.168.5.2,63018,112.82.180.41,443,198.18.0.1,63006,198.18.0.12,443,12,6465,13,2.769659,0.0256420000000003,2,infinityicon.infinitynewtab.com,192.168.5.2,63018,112.82.180.41,443,16,7614,14,2.774244,0.0270380000000001,2
198.18.0.1,63011,198.18.0.14,443,192.168.5.2,63021,101.69.128.53,443,198.18.0.1,63011,198.18.0.14,443,90,46169,14,2.772649,9.646298,4,infinitypro-img.infinitynewtab.com,192.168.5.2,63021,101.69.128.53,443,55,35127,16,2.776658,9.641936,4
198.18.0.1,63014,198.18.0.13,443,192.168.5.2,63020,61.156.44.221,443,198.18.0.1,63014,198.18.0.13,443,255,149411,15,2.772884,9.65291,10,infinity-permanent.infinitynewtab.com,192.168.5.2,63020,61.156.44.221,443,137,92611,15,2.776618,9.648831,10
198.18.0.1,62996,198.18.0.11,443,192.168.5.2,62999,221.5.100.174,2011,198.18.0.1,62996,198.18.0.11,443,37,16169,7,2.759328,9.645364,7,www.google.com,192.168.5.2,62999,221.5.100.174,2011,38,20070,7,2.762156,9.680129999999998,7
