,inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows,label
10,198.18.0.1,59114,198.18.0.88,443,192.168.5.2,59121,221.5.100.174,2011,198.18.0.1,59114,198.18.0.88,443,555,205100,59,7.687081,239.254937,120,gae2-spclient.spotify.com,192.168.5.2,59121,221.5.100.174,2011,495,269982,46,7.690536,239.295713,120,audio
11,198.18.0.1,59117,198.18.0.84,443,192.168.5.2,59124,221.5.100.174,2011,198.18.0.1,59117,198.18.0.84,443,5375,4183430,62,7.687711,239.253189,27,open.spotifycdn.com,192.168.5.2,59124,221.5.100.174,2011,2186,2098357,49,7.691,239.293879,27,audio
12,198.18.0.1,59115,198.18.0.84,443,192.168.5.2,59122,221.5.100.174,2011,198.18.0.1,59115,198.18.0.84,443,22,10355,60,7.687372,0.0897060000000005,3,open.spotifycdn.com,192.168.5.2,59122,221.5.100.174,2011,23,10784,47,7.690626,0.1270480000000002,3,audio
13,198.18.0.1,59118,198.18.0.84,443,192.168.5.2,59125,221.5.100.174,2011,198.18.0.1,59118,198.18.0.84,443,4169,3066164,63,7.687876,239.253193,266,open.spotifycdn.com,192.168.5.2,59125,221.5.100.174,2011,1652,1696093,50,7.691067,239.296126,266,audio
14,198.18.0.1,59116,198.18.0.84,443,192.168.5.2,59123,221.5.100.174,2011,198.18.0.1,59116,198.18.0.84,443,10,2297,61,7.687542,0.0896550000000004,1,open.spotifycdn.com,192.168.5.2,59123,221.5.100.174,2011,18,9415,48,7.690908999999999,0.0899870000000007,2,audio
15,198.18.0.1,59128,198.18.0.90,443,192.168.5.2,59132,221.5.100.174,2011,198.18.0.1,59128,198.18.0.90,443,28,7212,66,7.691065,60.665995,3,gae2-dealer.spotify.com,192.168.5.2,59132,221.5.100.174,2011,30,9986,53,7.694876,60.703741,3,audio
16,198.18.0.1,59131,198.18.0.92,443,192.168.5.2,59136,221.5.100.174,2011,198.18.0.1,59131,198.18.0.92,443,28,7963,69,7.69281,60.664446000000005,4,pixel-static.spotify.com,192.168.5.2,59136,221.5.100.174,2011,31,11518,56,7.696134,60.702269,4,audio
17,198.18.0.1,59130,198.18.0.91,443,192.168.5.2,59135,221.5.100.174,2011,198.18.0.1,59130,198.18.0.91,443,28,7956,68,7.692489,60.664859,4,pixel.spotify.com,192.168.5.2,59135,221.5.100.174,2011,29,9771,55,7.696134,60.702508,4,audio
18,198.18.0.1,59129,198.18.0.89,443,192.168.5.2,59133,221.5.100.174,2011,198.18.0.1,59129,198.18.0.89,443,28,8289,67,7.69128,60.666054,3,pl.scdn.co,192.168.5.2,59133,221.5.100.174,2011,31,11571,54,7.694883,60.708963,3,audio
19,198.18.0.1,59134,198.18.0.93,443,192.168.5.2,59138,221.5.100.174,2011,198.18.0.1,59134,198.18.0.93,443,33,10888,70,7.694229,60.662896,3,open-exp.spotifycdn.com,192.168.5.2,59138,221.5.100.174,2011,30,10834,57,7.697866,60.704839,3,audio
20,198.18.0.1,59137,198.18.0.94,443,192.168.5.2,59140,221.5.100.174,2011,198.18.0.1,59137,198.18.0.94,443,32,10761,71,7.695589,60.661506,3,mosaic.scdn.co,192.168.5.2,59140,221.5.100.174,2011,32,11842,58,7.699058,60.70482499999999,3,audio
21,198.18.0.1,59141,198.18.0.95,443,192.168.5.2,59145,221.5.100.174,2011,198.18.0.1,59141,198.18.0.95,443,24,8134,73,7.698,55.632397,4,i.scdn.co,192.168.5.2,59145,221.5.100.174,2011,26,10349,60,7.701348,10.663554,4,audio
22,198.18.0.1,59144,198.18.0.84,443,192.168.5.2,59148,221.5.100.174,2011,198.18.0.1,59144,198.18.0.84,443,10,2361,75,7.699099,0.0781899999999993,1,open.spotifycdn.com,192.168.5.2,59148,221.5.100.174,2011,19,10175,62,7.702373,0.0834489999999998,2,audio
23,198.18.0.1,59146,198.18.0.96,443,192.168.5.2,59149,221.5.100.174,2011,198.18.0.1,59146,198.18.0.96,443,28,8035,76,7.700191,60.656821,4,exp.wg.spotify.com,192.168.5.2,59149,221.5.100.174,2011,31,9442,63,7.703369,60.694976,4,audio
24,198.18.0.1,59139,198.18.0.97,443,192.168.5.2,59143,221.5.100.174,2011,198.18.0.1,59139,198.18.0.97,443,32,10736,72,7.697013,60.660067,3,lineup-images.scdn.co,192.168.5.2,59143,221.5.100.174,2011,31,11097,59,7.700768,60.703135,3,audio
25,198.18.0.1,59142,198.18.0.84,443,192.168.5.2,59147,221.5.100.174,2011,198.18.0.1,59142,198.18.0.84,443,10,2265,74,7.698829,0.0784310000000001,1,open.spotifycdn.com,192.168.5.2,59147,221.5.100.174,2011,19,10258,61,7.702173,0.0894319999999995,2,audio
26,198.18.0.1,59150,198.18.0.100,443,192.168.5.2,59154,221.5.100.174,2011,198.18.0.1,59150,198.18.0.100,443,128,21238,77,7.70695,239.235416,29,spclient.wg.spotify.com,192.168.5.2,59154,221.5.100.174,2011,113,40531,64,7.7109,239.275504,29,audio
27,198.18.0.1,59151,198.18.0.99,443,192.168.5.2,59153,221.5.100.174,2011,198.18.0.1,59151,198.18.0.99,443,119,20072,78,7.707255,239.235379,21,api.spotify.com,192.168.5.2,59153,221.5.100.174,2011,101,36624,65,7.7109,239.275527,21,audio
28,198.18.0.1,59152,198.18.0.98,443,192.168.5.2,59155,221.5.100.174,2011,198.18.0.1,59152,198.18.0.98,443,32,10732,79,7.708191,60.648841,3,daily-mix.scdn.co,192.168.5.2,59155,221.5.100.174,2011,32,12147,66,7.711394,60.68745,3,audio
29,198.18.0.1,59164,198.18.0.90,443,192.168.5.2,59165,221.5.100.174,2011,198.18.0.1,59164,198.18.0.90,443,682,498531,86,8.609859,238.165018,21,gae2-dealer.spotify.com,192.168.5.2,59165,221.5.100.174,2011,373,319814,72,8.61434,238.204022,21,audio
30,198.18.0.1,59183,198.18.0.109,443,192.168.5.2,59185,221.5.100.174,2011,198.18.0.1,59183,198.18.0.109,443,294,201940,97,10.233175,165.528782,6,misc.scdn.co,192.168.5.2,59185,221.5.100.174,2011,134,104634,82,10.236796,120.559942,6,audio
31,198.18.0.1,59182,198.18.0.95,443,192.168.5.2,59184,221.5.100.174,2011,198.18.0.1,59182,198.18.0.95,443,726,534316,96,10.231855,186.398938,18,i.scdn.co,192.168.5.2,59184,221.5.100.174,2011,316,297336,81,10.235442,126.433089,18,audio
32,198.18.0.1,59188,198.18.0.109,443,192.168.5.2,59189,221.5.100.174,2011,198.18.0.1,59188,198.18.0.109,443,18,7188,99,10.51468,0.1676920000000006,3,misc.scdn.co,192.168.5.2,59189,221.5.100.174,2011,22,8853,84,10.518675,0.2054179999999998,3,audio
33,198.18.0.1,59190,198.18.0.92,443,192.168.5.2,59193,221.5.100.174,2011,198.18.0.1,59190,198.18.0.92,443,72,13684,100,10.746241,236.194235,7,pixel-static.spotify.com,192.168.5.2,59193,221.5.100.174,2011,63,18615,85,10.750487,236.234277,7,audio
34,198.18.0.1,59206,198.18.0.111,443,192.168.5.2,59207,221.5.100.174,2011,198.18.0.1,59206,198.18.0.111,443,79,17341,111,10.941391,235.999107,9,www.spotify.com,192.168.5.2,59207,221.5.100.174,2011,72,26178,88,10.945883,236.040215,9,audio
