,Time,Direction,StreamID
0,3.458632,0,26.0
1,3.561358,1,26.0
2,3.566901,0,26.0
3,3.604781,1,26.0
4,3.604995,0,26.0
5,3.622517,1,26.0
6,3.623431,0,26.0
7,16.061476,0,96.0
8,16.15523,1,96.0
9,16.156431,0,96.0
10,16.209291,1,96.0
11,16.209534,0,96.0
12,16.210911,1,96.0
13,16.2271,0,96.0
14,256.225575,1,96.0
15,5.820739,0,36.0
16,5.92162,1,36.0
17,5.923224,0,36.0
18,5.964398,1,36.0
19,5.964575,0,36.0
20,5.965645,1,36.0
21,5.965858,0,36.0
22,5.96854,1,36.0
23,6.614061,0,36.0
24,6.657334,1,36.0
25,6.725166,0,36.0
26,8.577479,1,36.0
27,8.577926,0,36.0
28,8.637945,1,36.0
29,8.639136,0,36.0
30,8.682758,1,36.0
31,8.684003,0,36.0
32,8.718001,1,36.0
33,8.720554,0,36.0
34,8.763014,1,36.0
35,8.764585,0,36.0
36,9.741307,1,36.0
37,9.742188,0,36.0
38,6.544712,0,45.0
39,6.635839,1,45.0
40,6.637554,0,45.0
41,6.681922,1,45.0
42,7.356047,0,45.0
43,7.398038,1,45.0
44,13.591551,0,45.0
45,13.637349,1,45.0
46,15.714396,0,95.0
47,15.798229,1,95.0
48,15.799581,0,95.0
49,15.842904,1,95.0
50,15.997308,0,95.0
51,16.03882,1,95.0
52,16.124785,0,95.0
53,16.165709,1,95.0
54,16.197754,0,95.0
55,18.03597,1,95.0
56,20.234902,0,95.0
57,23.041867,1,95.0
58,23.144514,0,95.0
59,28.052535,1,95.0
60,28.278857,0,95.0
61,33.054375,1,95.0
62,33.425812,0,95.0
63,38.046396,1,95.0
64,38.305992,0,95.0
65,43.056937,1,95.0
66,43.269463,0,95.0
67,48.033607,1,95.0
68,48.196786,0,95.0
69,53.048858,1,95.0
70,53.276964,0,95.0
71,57.990732,1,95.0
72,58.154622,0,95.0
73,62.977265,1,95.0
74,63.086335,0,95.0
75,68.052614,1,95.0
76,68.345321,0,95.0
77,73.050422,1,95.0
78,73.281288,0,95.0
79,78.044525,1,95.0
80,78.270273,0,95.0
81,83.088235,1,95.0
82,83.292566,0,95.0
83,88.230173,1,95.0
84,88.551948,0,95.0
85,93.056231,1,95.0
86,93.121706,0,95.0
87,98.086906,1,95.0
88,98.213907,0,95.0
89,102.995923,1,95.0
90,103.114299,0,95.0
91,108.052787,1,95.0
92,108.197349,0,95.0
93,113.045263,1,95.0
94,113.188822,0,95.0
95,117.983457,1,95.0
96,118.122697,0,95.0
97,123.194891,1,95.0
98,123.319806,0,95.0
99,128.033973,1,95.0
100,128.401337,0,95.0
101,133.042117,1,95.0
102,133.230767,0,95.0
103,138.065102,1,95.0
104,138.316524,0,95.0
105,143.026882,1,95.0
106,143.435626,0,95.0
107,148.181385,1,95.0
108,148.417055,0,95.0
109,153.256361,1,95.0
110,153.476196,0,95.0
111,158.037216,1,95.0
112,158.259759,0,95.0
113,163.129788,1,95.0
114,163.580294,0,95.0
115,167.988273,1,95.0
116,168.158293,0,95.0
117,173.116994,1,95.0
118,173.263539,0,95.0
119,178.08058,1,95.0
120,178.242113,0,95.0
121,183.031639,1,95.0
122,183.17162,0,95.0
