Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Rel Start,Duration,Bits/s A to B,Bits/s B to A,Flows
192.168.5.2,62505,120.232.217.159,2011,6075,4983773,38,2583,1095248,3492,3888525,13.64609,305.064516,28721.0,101972.0,346
192.168.5.2,62532,221.5.100.174,2011,29661,30634699,50,8543,753062,21118,29881637,15.152681,303.488961,19850.0,787683.0,129
192.168.5.2,62533,221.5.100.174,2011,6198,5909811,49,1726,293808,4472,5616003,15.152681,303.49222100000003,7744.0,148036.0,129
192.168.5.2,59490,223.5.5.5,443,440,59176,1,199,20727,241,38449,1.716888,315.95233,524.0,973.0,106
192.168.5.2,62008,120.53.53.53,443,373,69301,0,177,18121,196,51180,1.716784,315.883269,458.0,1296.0,104
192.168.5.2,62611,221.5.100.174,2011,201,73774,78,89,56349,112,17425,74.307647,244.409321,1844.0,570.0,51
192.168.5.2,62522,120.232.217.159,2011,448,341315,46,195,72364,253,268951,14.188287,243.116214,2381.0,8850.0,26
192.168.5.2,62453,112.82.180.41,443,682,651306,14,164,16228,518,635078,4.862906,2.6420590000000006,49137.0,1922979.0,24
192.168.5.2,62751,52.98.71.50,443,101,29773,122,39,10791,62,18982,279.069054,33.12702200000001,2605.0,4584.0,22
192.168.5.2,62591,221.5.100.174,2011,446,260030,71,234,240385,212,19645,61.35634,257.330998,7473.0,610.0,22
192.168.5.2,62529,221.5.100.174,2011,173,115096,48,72,19739,101,95357,15.076375,242.265344,651.0,3148.0,20
192.168.5.2,62511,120.232.217.159,2011,248,181188,41,102,20023,146,161165,13.855174,242.935512,659.0,5307.0,18
192.168.5.2,62536,221.5.100.174,2011,126,75265,51,54,17485,72,57780,15.220412,240.673084,581.0,1920.0,16
192.168.5.2,62549,221.5.100.174,2011,104,40135,57,49,23003,55,17132,15.894843,271.962177,676.0,503.0,16
192.168.5.2,62539,221.5.100.174,2011,115,52530,52,53,22325,62,30205,15.637455,241.66503900000004,739.0,999.0,14
192.168.5.2,62499,120.232.217.159,2011,98,30513,35,47,15880,51,14633,7.611322,311.09938700000004,408.0,376.0,13
192.168.5.2,62547,221.5.100.174,2011,96,47102,56,43,13826,53,33276,15.822361,240.888634,459.0,1105.0,12
192.168.5.2,62501,120.232.217.159,2011,74,23442,36,36,12952,38,10490,12.022296,240.525372,430.0,348.0,10
192.168.5.2,62504,120.232.217.159,2011,86,35260,37,40,13100,46,22160,13.644957,240.547858,435.0,736.0,10
192.168.5.2,62513,120.232.217.159,2011,94,41085,42,45,12160,49,28925,13.933106,243.068954,400.0,951.0,10
192.168.5.2,62477,121.43.167.86,443,31,12756,25,17,4080,14,8676,5.168201,2.345562,13915.0,29591.0,10
192.168.5.2,62464,218.92.216.53,443,170,103708,19,89,10827,81,92881,4.865938,2.640591000000001,32801.0,281394.0,10
192.168.5.2,62541,221.5.100.174,2011,86,38978,53,39,11152,47,27826,15.68046,241.711343,369.0,920.0,10
192.168.5.2,62563,221.5.100.174,2011,76,30468,62,36,14521,40,15947,17.075337,240.56320700000003,482.0,530.0,10
192.168.5.2,62573,221.5.100.174,2011,82,32711,66,39,15727,43,16984,28.848022,240.544657,523.0,564.0,10
192.168.5.2,62716,120.232.217.159,2011,52,19983,111,25,10869,27,9114,228.773046,89.94917999999998,966.0,810.0,9
192.168.5.2,62756,20.189.173.17,443,33,12672,123,17,4716,16,7956,279.704467,33.01633899999996,1142.0,1927.0,8
192.168.5.2,62579,51.116.246.106,443,60,24905,68,31,15903,29,9002,38.042827,125.648451,1012.0,573.0,8
192.168.5.2,62527,120.232.217.159,2011,63,20233,47,31,9933,32,10300,15.059025,240.221161,330.0,343.0,8
192.168.5.2,62543,221.5.100.174,2011,69,21502,54,33,9804,36,11698,15.737355,240.198743,326.0,389.0,8
192.168.5.2,62551,221.5.100.174,2011,66,20657,58,33,10694,33,9963,16.222119,240.190889,356.0,331.0,8
192.168.5.2,62555,221.5.100.174,2011,66,21314,59,33,11252,33,10062,16.583625,240.20629,374.0,335.0,8
192.168.5.2,62559,221.5.100.174,2011,64,22633,61,30,9792,34,12841,17.01976,240.198139,326.0,427.0,8
192.168.5.2,62593,221.5.100.174,2011,81,32225,72,41,20436,40,11789,61.564163,240.34531,680.0,392.0,8
192.168.5.2,62595,221.5.100.174,2011,73,24752,73,36,12269,37,12483,64.088338,240.393049,408.0,415.0,8
192.168.5.2,62638,120.133.65.232,443,29,6481,87,15,1792,14,4689,121.447457,60.17234599999999,238.0,623.0,7
192.168.5.2,62434,120.232.217.159,2011,36,18318,2,18,9635,18,8683,1.716931,5.810657,13265.0,11954.0,7
192.168.5.2,62445,120.232.217.159,2011,36,16636,11,18,7076,18,9560,4.858806,2.6725320000000004,21181.0,28617.0,7
192.168.5.2,62448,120.232.217.159,2011,34,15723,12,18,7080,16,8643,4.859867,2.6745389999999998,21177.0,25852.0,7
192.168.5.2,62471,120.232.217.159,2011,35,17716,23,17,8712,18,9004,4.971007,2.5616449999999995,27207.0,28119.0,7
192.168.5.2,62473,120.232.217.159,2011,29,17805,24,15,8398,14,9407,5.02003,2.517132,26690.0,29897.0,7
192.168.5.2,62481,120.232.217.159,2011,37,19843,26,19,7859,18,11984,5.214662,2.3216400000000004,27080.0,41294.0,7
192.168.5.2,62662,121.36.25.6,443,41,9218,95,26,2938,15,6280,150.81984,115.69526100000002,203.0,434.0,7
192.168.5.2,62785,221.5.100.174,2011,30,13772,130,16,9423,14,4349,317.586491,1.131194999999991,66641.0,30756.0,7
192.168.5.2,62786,221.5.100.174,2011,34,20457,131,17,10100,17,10357,317.586501,1.1345460000000005,71217.0,73030.0,7
192.168.5.2,62565,39.107.193.14,443,31,12298,63,15,3559,16,8739,20.971997,60.194113,473.0,1161.0,6
192.168.5.2,62660,110.249.194.67,80,29,6870,94,13,5602,16,1268,150.748916,15.343784999999995,2920.0,661.0,6
192.168.5.2,62730,110.249.194.71,80,22,6082,116,11,5132,11,950,244.923675,15.271511999999973,2688.0,497.0,6
192.168.5.2,62726,112.83.133.193,443,31,9028,114,15,1900,16,7128,244.887034,75.05511499999997,202.0,759.0,6
192.168.5.2,62469,120.232.217.159,2011,32,14139,22,16,7219,16,6920,4.885441,2.649769,21795.0,20892.0,6
192.168.5.2,62492,120.232.217.159,2011,41,19626,31,19,8072,22,11554,7.500458,0.3198739999999995,201879.0,288963.0,6
192.168.5.2,62493,120.232.217.159,2011,42,22311,32,21,12350,21,9961,7.500462,0.3412130000000006,289555.0,233543.0,6
192.168.5.2,62468,122.228.207.55,443,97,67385,21,50,7160,47,60225,4.884199,2.6282070000000006,21794.0,183318.0,6
192.168.5.2,62732,124.71.231.148,443,25,6584,117,13,1957,12,4627,244.994326,75.138891,208.0,492.0,6
192.168.5.2,62656,153.101.158.3,443,32,9111,92,16,1949,16,7162,150.702756,90.085432,173.0,636.0,6
192.168.5.2,62696,221.5.100.174,2011,28,12181,104,13,6038,15,6143,194.755231,5.622144999999989,8591.0,8741.0,6
192.168.5.2,62698,120.232.217.159,2011,53,20855,105,27,11770,26,9085,195.565912,123.19051900000002,764.0,589.0,5
192.168.5.2,62708,120.232.217.159,2011,46,19221,108,22,9458,24,9763,219.220318,99.498792,760.0,784.0,5
192.168.5.2,60720,103.212.12.52,3000,6,400,76,4,266,2,134,68.521901,240.085412,8.0,4.0,4
192.168.5.2,62659,110.249.194.67,80,19,3886,93,9,3078,10,808,150.748894,15.142923999999994,1626.0,426.0,4
192.168.5.2,62729,110.249.194.71,80,20,4321,115,10,3513,10,808,244.923665,15.13854999999998,1856.0,426.0,4
192.168.5.2,62460,112.82.180.41,443,21,8602,17,10,2413,11,6189,4.863643,0.0278450000000001,693266.0,1778128.0,4
192.168.5.2,62461,112.82.180.41,443,21,8570,18,10,2381,11,6189,4.863791,0.0270539999999996,704073.0,1830117.0,4
192.168.5.2,62496,120.232.217.159,2011,72,17063,33,34,5784,38,11279,7.538351,299.71796500000005,154.0,301.0,4
192.168.5.2,62507,120.232.217.159,2011,36,15520,39,18,5283,18,10237,13.649253,60.692787,696.0,1349.0,4
192.168.5.2,62516,120.232.217.159,2011,42,13371,44,20,6323,22,7048,13.935883,120.990043,418.0,466.0,4
192.168.5.2,62517,120.232.217.159,2011,41,14392,43,20,7423,21,6969,13.935882,120.99028800000002,490.0,460.0,4
192.168.5.2,62775,120.232.217.159,2011,30,15729,127,13,6064,17,9665,307.214982,11.495556999999962,4220.0,6726.0,4
192.168.5.2,62465,122.228.207.55,443,56,35403,20,29,4728,27,30675,4.866143,2.648567,14280.0,92653.0,4
192.168.5.2,62616,101.201.70.77,80,17,1762,80,9,754,8,1008,80.307829,60.077833,100.0,134.0,2
192.168.5.2,62450,112.82.180.41,443,17,7764,13,7,2235,10,5529,4.861749,0.0322250000000003,554848.0,1372598.0,2
192.168.5.2,62456,112.82.180.41,443,16,7646,15,8,2225,8,5421,4.863435,0.0285719999999995,622987.0,1517849.0,2
192.168.5.2,62459,112.82.180.41,443,16,7614,16,8,2193,8,5421,4.863613,0.0303940000000002,577219.0,1426860.0,2
192.168.5.2,62497,120.232.217.159,2011,22,12884,34,9,3984,13,8900,7.539991,0.0808040000000005,394435.0,881144.0,2
192.168.5.2,62510,120.232.217.159,2011,21,10429,40,9,3632,12,6797,13.855022,0.0957969999999992,303308.0,567616.0,2
192.168.5.2,62545,221.5.100.174,2011,21,13267,55,10,4674,11,8593,15.740765,0.0951780000000006,392863.0,722267.0,2
192.168.5.2,62557,221.5.100.174,2011,20,10721,60,9,4429,11,6292,16.618613,0.0992390000000007,357037.0,507219.0,2
192.168.5.2,62632,10.203.168.228,7680,9,593,84,5,365,4,228,106.845022,0.0223989999999929,130362.0,81432.0,1
192.168.5.2,62777,10.203.168.228,7680,8,539,128,5,365,3,174,307.596169,0.0277690000000347,105153.0,50127.0,1
192.168.5.2,62686,10.203.199.2,7680,8,619,100,5,413,3,206,187.127683,0.0293660000000102,112511.0,56119.0,1
192.168.5.2,60627,20.197.71.89,443,2,121,85,1,55,1,66,112.690418,0.0937460000000101,4693.0,5632.0,1
192.168.5.2,60623,116.205.106.69,11112,8,531,3,4,231,4,300,1.975454,303.19728,6.0,7.0,1
192.168.5.2,62690,117.18.232.200,443,15,11596,102,14,11522,1,74,193.374323,45.36121599999999,2032.0,13.0,1
192.168.5.2,62483,120.232.217.159,2011,16,4966,27,9,4496,7,470,5.482539,0.1152939999999995,311967.0,32612.0,1
192.168.5.2,62485,120.232.217.159,2011,17,4198,28,9,3662,8,536,5.565517,0.1183019999999999,247637.0,36246.0,1
192.168.5.2,62488,120.232.217.159,2011,14,4190,29,8,3786,6,404,7.458564,0.0776950000000002,389832.0,41598.0,1
192.168.5.2,62489,120.232.217.159,2011,15,4565,30,9,4161,6,404,7.459734,0.0754390000000002,441257.0,42842.0,1
192.168.5.2,62571,121.248.49.141,7680,9,593,65,5,365,4,228,26.661055,0.0079689999999992,366419.0,228886.0,1
192.168.5.2,62714,121.248.49.141,7680,8,539,110,5,365,3,174,227.346019,0.0181519999999864,160863.0,76685.0,1
192.168.5.2,62605,10.201.3.133,7680,3,222,75,3,222,0,0,66.752415,3.016610999999997,588.0,0.0,0
192.168.5.2,62744,10.208.135.8,7680,3,222,120,3,222,0,0,267.552314,3.02212899999995,587.0,0.0,0
192.168.5.2,62613,20.37.198.118,443,3,222,79,3,222,0,0,78.690611,3.023652999999996,587.0,0.0,0
192.168.5.2,62598,110.242.68.4,80,9,526,74,5,290,4,236,64.165994,0.0735939999999999,31524.0,25654.0,0
192.168.5.2,62608,110.242.68.4,80,9,526,77,5,290,4,236,74.21690100000001,0.0720739999999864,32189.0,26195.0,0
192.168.5.2,62621,110.242.68.4,80,10,580,81,6,344,4,236,84.17021,0.396765000000002,6936.0,4758.0,0
192.168.5.2,62625,110.242.68.4,80,9,526,82,5,290,4,236,94.218653,0.0756739999999922,30657.0,24949.0,0
192.168.5.2,62629,110.242.68.4,80,9,526,83,5,290,4,236,104.172956,0.0737570000000005,31454.0,25597.0,0
192.168.5.2,62635,110.242.68.4,80,9,526,86,5,290,4,236,114.222427,0.0740980000000064,31309.0,25479.0,0
192.168.5.2,62641,110.242.68.4,80,10,580,88,6,344,4,236,124.182075,0.3974919999999997,6923.0,4749.0,0
192.168.5.2,62645,110.242.68.4,80,9,526,89,5,290,4,236,134.242347,0.0800900000000126,28967.0,23573.0,0
192.168.5.2,62651,110.242.68.4,80,10,580,90,6,344,4,236,144.188342,0.4035810000000026,6818.0,4678.0,0
192.168.5.2,62665,110.242.68.4,80,9,526,96,5,290,4,236,154.192627,0.0732930000000067,31653.0,25759.0,0
192.168.5.2,62688,117.18.232.200,443,3,222,101,3,222,0,0,188.372687,3.027413999999993,586.0,0.0,0
192.168.5.2,62669,180.101.50.188,80,9,526,97,5,290,4,236,164.234007,0.0146270000000185,158610.0,129076.0,0
192.168.5.2,62673,180.101.50.188,80,10,580,98,6,344,4,236,174.185211,0.3250189999999975,8467.0,5808.0,0
192.168.5.2,62679,180.101.50.188,80,9,526,99,5,290,4,236,184.234557,0.0118170000000077,196327.0,159769.0,0
192.168.5.2,62693,180.101.50.188,80,9,526,103,5,290,4,236,194.207303,0.0323759999999992,71658.0,58314.0,0
192.168.5.2,62701,180.101.50.188,80,10,580,106,6,344,4,236,204.279523,0.3202979999999797,8591.0,5894.0,0
192.168.5.2,62705,180.101.50.188,80,9,526,107,5,290,4,236,214.234616,0.0195989999999994,118373.0,96331.0,0
192.168.5.2,62711,180.101.50.188,80,9,526,109,5,290,4,236,224.305302,0.0218779999999867,106042.0,86296.0,0
192.168.5.2,62719,180.101.50.188,80,9,526,112,5,290,4,236,234.26396,0.0332119999999918,69854.0,56846.0,0
192.168.5.2,62723,180.101.50.188,80,9,526,113,5,290,4,236,244.317875,0.0209620000000256,110676.0,90067.0,0
192.168.5.2,62735,180.101.50.242,80,9,526,118,5,290,4,236,254.270888,0.0203409999999735,114055.0,92817.0,0
192.168.5.2,62741,180.101.50.242,80,9,526,119,5,290,4,236,264.33995,0.0150780000000168,153866.0,125215.0,0
192.168.5.2,62747,180.101.50.242,80,7,418,121,4,236,3,182,274.300045,0.011810999999966,159850.0,123274.0,0
192.168.5.2,62759,180.101.50.242,80,9,526,124,5,290,4,236,284.341233,0.0172310000000379,134641.0,109569.0,0
192.168.5.2,62763,180.101.50.242,80,10,580,125,6,344,4,236,294.29427,0.334619000000032,8224.0,5642.0,0
192.168.5.2,62769,180.101.50.242,80,9,526,126,5,290,4,236,304.341777,0.0244460000000117,94903.0,77231.0,0
192.168.5.2,62781,180.101.50.242,80,10,580,129,6,344,4,236,314.293184,0.322811999999999,8525.0,5848.0,0
192.168.5.2,62789,180.101.50.242,80,9,526,132,5,290,4,236,324.348208,0.0118959999999788,195023.0,158708.0,0
192.168.5.2,62424,183.2.172.185,80,1,54,4,1,54,0,0,3.126248,0.0,,,0
192.168.5.2,62431,183.2.172.185,80,3,163,5,3,163,0,0,3.541512,9.611457,135.0,0.0,0
