Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Rel Start,Duration,Bits/s A to B,Bits/s B to A,Flows
192.168.5.2,60254,221.5.100.174,2011,1305,1374067,46,372,90918,933,1283149,5.940811,7.714945999999999,94277,1330559,160
192.168.5.2,60360,221.5.100.174,2011,409,333517,94,170,59121,239,274396,13.82164,233.496265,2025,9401,106
192.168.5.2,59804,1.12.12.12,443,402,69805,2,200,20429,202,49376,0.059275,247.25946,660,1597,92
192.168.5.2,59487,223.6.6.6,443,359,52303,3,166,17560,193,34743,0.059313,247.173194,568,1124,92
192.168.5.2,60390,221.5.100.174,2011,298,157442,102,157,122547,141,34895,16.437468,230.881199,4246,1209,74
192.168.5.2,60248,221.5.100.174,2011,172,92101,40,82,61421,90,30680,5.939063,7.714621,63693,31814,55
192.168.5.2,60395,221.5.100.174,2011,4082,4302360,104,1190,118729,2892,4183631,17.302735,230.017763,4129,145506,54
192.168.5.2,60253,221.5.100.174,2011,152,87208,45,78,67108,74,20100,5.94068,7.718012999999999,69559,20834,33
192.168.5.2,60370,221.5.100.174,2011,151,72140,97,73,35414,78,36726,14.441176,232.878093,1216,1261,33
192.168.5.2,60276,221.5.100.174,2011,85,40436,57,41,27679,44,12757,5.9529060000000005,7.701227999999999,28752,13251,29
192.168.5.2,60197,223.68.10.200,443,666,650547,17,161,16306,505,634241,3.09805,10.530214,12387,481844,26
192.168.5.2,60476,52.98.90.2,443,105,30005,137,43,11075,62,18930,108.767431,63.964344,1385,2367,24
192.168.5.2,60298,221.5.100.174,2011,285,212756,68,112,19763,173,192993,7.166644,240.065759,658,6431,21
192.168.5.2,60251,221.5.100.174,2011,2059,2076760,43,642,93562,1417,1983198,5.940636,7.711798,97058,2057313,20
192.168.5.2,60334,221.5.100.174,2011,3884,3933862,81,1303,124771,2581,3809091,9.845403,3.8103260000000017,261963,7997407,20
192.168.5.2,60325,221.5.100.174,2011,271,254561,77,98,18721,173,235840,8.814607,4.844037999999999,30918,389493,18
192.168.5.2,60381,221.5.100.174,2011,80,22874,100,40,15188,40,7686,15.070519,232.248005,523,264,17
192.168.5.2,60291,221.5.100.174,2011,53,24508,64,25,13999,28,10509,6.7952,6.858951,16327,12257,15
192.168.5.2,60437,221.5.100.174,2011,271,153376,121,140,140205,131,13171,60.680636,186.638596,6009,564,15
192.168.5.2,60454,120.232.217.159,2011,80,31092,128,41,20973,39,10119,76.952469,170.36438500000003,984,475,13
192.168.5.2,60304,221.5.100.174,2011,95,72504,71,38,12335,57,60169,8.072108,5.586484,17664,86163,12
192.168.5.2,60380,221.5.100.174,2011,655,694801,99,183,27880,472,666921,15.068681,122.905395,1814,43410,12
192.168.5.2,60222,221.5.100.174,2011,57,31877,29,24,9794,33,22083,5.420768,8.235042,9514,21452,11
192.168.5.2,60242,221.5.100.174,2011,41,17580,36,21,10654,20,6926,5.938632,7.717212,11044,7179,11
192.168.5.2,60396,221.5.100.174,2011,69,17196,105,35,11910,34,5286,17.303635,230.013392,414,183,11
192.168.5.2,60417,221.5.100.174,2011,75,19658,113,37,12613,38,7045,34.209307,213.109266,473,264,11
192.168.5.2,60203,112.28.187.236,443,124,88437,21,40,6516,84,81921,3.099409,10.53359,4948,62216,10
192.168.5.2,60210,121.43.167.86,443,30,12744,23,16,4046,14,8698,3.421014,10.207971,3170,6816,10
192.168.5.2,60292,221.5.100.174,2011,94,63667,65,45,13098,49,50569,6.79521,6.858958,15276,58981,10
192.168.5.2,60300,221.5.100.174,2011,72,53305,69,31,13282,41,40023,7.699558,5.954907,17843,53768,10
192.168.5.2,60302,221.5.100.174,2011,159,153897,70,49,11237,110,142660,7.706877,5.947208,15115,191901,10
