Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Rel Start,Duration,Bits/s A to B,Bits/s B to A,Flows
192.168.5.2,61153,221.5.100.174,2011,45,26190,80,21,11223,24,14967,14.928306,26.417763,3398,4532,7
192.168.5.2,61157,221.5.100.174,2011,32,9463,82,17,5920,15,3543,15.360523,25.982792,1822,1090,7
192.168.5.2,61161,221.5.100.174,2011,45,24406,84,20,10113,25,14293,15.571705,25.769529,3139,4437,7
192.168.5.2,61163,221.5.100.174,2011,48,27559,85,23,12284,25,15275,15.892443,25.45082,3861,4801,7
192.168.5.2,61165,221.5.100.174,2011,31,16424,86,16,8143,15,8281,16.260982,25.082133,2597,2641,7
192.168.5.2,61167,221.5.100.174,2011,35,16676,87,17,8107,18,8569,18.274541,23.065040000000003,2811,2972,7
192.168.5.2,61171,221.5.100.174,2011,31,16315,89,16,7659,15,8656,18.56563,22.777718,2689,3040,7
192.168.5.2,61179,221.5.100.174,2011,60,40792,93,26,10262,34,30530,18.74416,22.599068000000003,3632,10807,7
192.168.5.2,61198,221.5.100.174,2011,49,29450,99,26,18306,23,11144,36.995419,4.328464000000004,33833,20596,7
192.168.5.2,61029,221.5.100.174,2011,32,13936,19,15,6941,17,6995,3.359021,8.276486,6709,6761,6
192.168.5.2,61088,221.5.100.174,2011,41,22397,45,20,12663,21,9734,11.600967,0.3316499999999998,305454,234801,6
192.168.5.2,61089,221.5.100.174,2011,34,18029,46,15,6805,19,11224,11.600984,0.3157300000000003,172425,284394,6
192.168.5.2,61023,222.134.1.28,443,59,39215,15,27,5066,32,34149,3.3428,8.276372,4896,33008,6
192.168.5.2,61125,221.5.100.174,2011,45,24487,65,22,9501,23,14986,14.279118,27.061441,2808,4430,5
192.168.5.2,61051,221.5.100.174,2011,27,15806,29,13,5879,14,9927,5.454683,6.18049,7609,12849,4
192.168.5.2,61091,221.5.100.174,2011,32,15648,47,14,5894,18,9754,11.640068,29.678566000000004,1588,2629,4
192.168.5.2,61101,221.5.100.174,2011,27,12639,51,13,4726,14,7913,11.828336,29.51543,1280,2144,4
192.168.5.2,61028,222.134.1.28,443,79,61751,18,32,4618,47,57133,3.35885,8.257401,4474,55352,4
192.168.5.2,61137,221.5.100.174,2011,28,16711,72,12,4547,16,12164,14.453314,0.1340399999999988,271381,725992,3
192.168.5.2,60900,20.37.198.118,443,9,1603,37,4,878,5,725,8.696194,30.338654,231,191,2
192.168.5.2,60992,20.52.64.201,443,11,5691,0,7,4981,4,710,0.0,5.515302,7224,1029,2
192.168.5.2,60075,20.189.173.27,443,11,3224,1,6,2740,5,484,0.001534,30.632837,715,126,2
192.168.5.2,61011,112.82.180.41,443,13,7548,10,7,2235,6,5313,3.339401,0.0240119999999999,744627,1770114,2
192.168.5.2,61013,112.82.180.41,443,16,7614,11,8,2193,8,5421,3.339533,0.030335,578341,1429635,2
192.168.5.2,61016,112.82.180.41,443,15,7560,12,7,2139,8,5421,3.339932,0.0284629999999999,601201,1523662,2
192.168.5.2,61019,112.82.180.41,443,16,7710,13,8,2289,8,5421,3.341016,0.02733,670032,1586827,2
192.168.5.2,61021,112.82.180.41,443,17,7732,14,8,2257,9,5475,3.341131,0.0260030000000002,694381,1684421,2
192.168.5.2,61196,121.199.251.28,80,10,1094,98,6,738,4,356,35.568179,0.8742230000000006,6753,3257,2
192.168.5.2,61067,221.5.100.174,2011,21,13051,35,9,4392,12,8659,8.444496000000001,0.1000689999999995,351117,692242,2
192.168.5.2,61084,221.5.100.174,2011,19,12447,43,8,3685,11,8762,11.524929,0.0974830000000004,302411,719058,2
192.168.5.2,61085,221.5.100.174,2011,19,11087,44,9,4479,10,6608,11.525896,0.0965559999999996,371100,547495,2
192.168.5.2,61093,221.5.100.174,2011,20,12512,48,9,3744,11,8768,11.642686,0.0994860000000006,301067,705064,2
192.168.5.2,61126,221.5.100.174,2011,23,15837,66,9,4238,14,11599,14.279128,0.1002650000000002,338143,925467,2
192.168.5.2,61127,221.5.100.174,2011,22,14688,67,8,3087,14,11601,14.279172,0.09938,248500,933869,2
192.168.5.2,61077,10.203.168.228,7680,8,539,41,5,365,3,174,9.74163,0.0170519999999996,171240,81632,1
192.168.5.2,60990,20.42.65.85,443,5,321,59,3,165,2,156,13.874601,30.517613000000004,43,40,1
192.168.5.2,60912,20.69.137.228,443,6,363,17,3,165,3,198,3.352091,30.435925999999995,43,52,1
192.168.5.2,60981,40.99.10.2,443,6,399,58,3,165,3,234,13.307734,30.196238,43,61,1
192.168.5.2,60906,101.126.24.53,443,6,363,2,3,165,3,198,0.264322,30.089238,43,52,1
192.168.5.2,60623,116.205.106.69,11112,2,133,25,1,55,1,78,4.138377,0.0257329999999997,17098,24249,1
192.168.5.2,61043,221.5.100.174,2011,17,4510,24,9,3974,8,536,4.084868,0.12108,262570,35414,1
192.168.5.2,61045,221.5.100.174,2011,15,4079,26,8,3609,7,470,4.174055,0.126176,228823,29799,1
192.168.5.2,61139,221.5.100.174,2011,16,4248,73,9,3778,7,470,14.495575,0.0936099999999999,322871,40166,1
192.168.5.2,60995,157.0.148.1,80,9,526,3,5,290,4,236,1.056538,0.0424539999999999,54647,44471,0
192.168.5.2,61080,157.0.148.1,80,9,526,42,5,290,4,236,11.119122,0.0485149999999983,47820,38915,0
192.168.5.2,61186,157.0.148.1,80,9,526,96,5,290,4,236,21.07481,0.0469110000000014,49455,40246,0
192.168.5.2,61190,157.0.148.1,80,9,526,97,5,290,4,236,31.140836,0.0392900000000011,59048,48052,0
192.168.5.2,61201,157.0.148.1,80,9,526,100,5,290,4,236,41.105719,0.0392209999999977,59151,48137,0
