inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort
198.18.0.1,59124,198.18.0.9,443,192.168.5.2,59125,221.5.100.174,2011
198.18.0.1,59131,198.18.0.12,443,192.168.5.2,59142,112.82.180.41,443
198.18.0.1,59134,198.18.0.12,443,192.168.5.2,59140,112.82.180.41,443
198.18.0.1,59132,198.18.0.12,443,192.168.5.2,59145,112.82.180.41,443
198.18.0.1,59135,198.18.0.12,443,192.168.5.2,59150,112.82.180.41,443
198.18.0.1,59137,198.18.0.12,443,192.168.5.2,59147,112.82.180.41,443
198.18.0.1,59138,198.18.0.12,443,192.168.5.2,59151,112.82.180.41,443
198.18.0.1,59130,198.18.0.11,443,192.168.5.2,59136,183.240.139.64,2011
198.18.0.1,59146,198.18.0.13,443,192.168.5.2,59154,61.156.44.221,443
198.18.0.1,59129,198.18.0.10,443,192.168.5.2,59133,183.240.139.64,2011
198.18.0.1,59143,198.18.0.14,443,192.168.5.2,59153,183.60.150.17,443
198.18.0.1,59156,198.18.0.14,443,192.168.5.2,59158,183.60.150.17,443
198.18.0.1,59157,198.18.0.15,443,192.168.5.2,59159,221.5.100.174,2011
198.18.0.1,59160,198.18.0.16,443,192.168.5.2,59161,221.5.100.174,2011
198.18.0.1,59162,198.18.0.10,443,192.168.5.2,59163,221.5.100.174,2011
198.18.0.1,59168,198.18.0.18,443,192.168.5.2,59169,121.43.167.86,443
198.18.0.1,59166,198.18.0.19,443,192.168.5.2,59167,221.5.100.174,2011
198.18.0.1,59171,198.18.0.72,443,192.168.5.2,59173,221.5.100.174,2011
198.18.0.1,59174,198.18.0.20,443,192.168.5.2,59175,221.5.100.174,2011
198.18.0.1,59176,198.18.0.20,443,192.168.5.2,59177,221.5.100.174,2011
198.18.0.1,59180,198.18.0.28,443,192.168.5.2,59181,221.5.100.174,2011
198.18.0.1,59178,198.18.0.27,443,192.168.5.2,59179,221.5.100.174,2011
198.18.0.1,59182,198.18.0.28,443,192.168.5.2,59183,221.5.100.174,2011
198.18.0.1,59184,198.18.0.33,443,192.168.5.2,59185,221.5.100.174,2011
198.18.0.1,59186,198.18.0.34,443,192.168.5.2,59187,221.5.100.174,2011
198.18.0.1,59188,198.18.0.32,443,192.168.5.2,59189,221.5.100.174,2011
198.18.0.1,59190,198.18.0.72,443,192.168.5.2,59191,221.5.100.174,2011
198.18.0.1,59192,198.18.0.41,443,192.168.5.2,59194,221.5.100.174,2011
198.18.0.1,59193,198.18.0.41,443,192.168.5.2,59195,221.5.100.174,2011
198.18.0.1,59196,198.18.0.36,443,192.168.5.2,59197,221.5.100.174,2011
198.18.0.1,59198,198.18.0.38,443,192.168.5.2,59199,221.5.100.174,2011
198.18.0.1,59200,198.18.0.41,443,192.168.5.2,59201,221.5.100.174,2011
198.18.0.1,59206,198.18.0.21,443,192.168.5.2,59208,221.5.100.174,2011
198.18.0.1,59207,198.18.0.22,443,192.168.5.2,59209,221.5.100.174,2011
198.18.0.1,59210,198.18.0.21,443,192.168.5.2,59213,221.5.100.174,2011
198.18.0.1,59211,198.18.0.22,443,192.168.5.2,59212,221.5.100.174,2011
198.18.0.1,59215,198.18.0.24,443,192.168.5.2,59217,221.5.100.174,2011
198.18.0.1,59214,198.18.0.23,5228,192.168.5.2,59216,221.5.100.174,2011
198.18.0.1,59218,198.18.0.24,443,192.168.5.2,59219,221.5.100.174,2011
198.18.0.1,59220,198.18.0.27,443,192.168.5.2,59221,221.5.100.174,2011
198.18.0.1,59222,198.18.0.10,443,192.168.5.2,59223,221.5.100.174,2011
198.18.0.1,59224,198.18.0.41,443,192.168.5.2,59225,221.5.100.174,2011
198.18.0.1,59226,198.18.0.36,443,192.168.5.2,59227,221.5.100.174,2011
198.18.0.1,59228,198.18.0.32,443,192.168.5.2,59229,221.5.100.174,2011
198.18.0.1,59230,198.18.0.16,443,192.168.5.2,59232,221.5.100.174,2011
