inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort
198.18.0.1,60764,198.18.0.175,443,192.168.5.2,60765,221.5.100.174,2011
198.18.0.1,60769,198.18.0.176,443,192.168.5.2,60778,223.68.10.200,443
198.18.0.1,60777,198.18.0.176,443,192.168.5.2,60788,223.68.10.200,443
198.18.0.1,60768,198.18.0.176,443,192.168.5.2,60776,223.68.10.200,443
198.18.0.1,60770,198.18.0.176,443,192.168.5.2,60783,223.68.10.200,443
198.18.0.1,60771,198.18.0.176,443,192.168.5.2,60781,223.68.10.200,443
198.18.0.1,60772,198.18.0.176,443,192.168.5.2,60786,223.68.10.200,443
198.18.0.1,60790,198.18.0.177,443,192.168.5.2,60794,112.28.187.236,443
198.18.0.1,60791,198.18.0.178,443,192.168.5.2,60795,112.16.229.51,443
198.18.0.1,60792,198.18.0.178,443,192.168.5.2,60796,112.16.229.51,443
198.18.0.1,60766,198.18.0.7,443,192.168.5.2,60767,221.5.100.174,2011
198.18.0.1,60773,198.18.0.19,443,192.168.5.2,60784,221.5.100.174,2011
198.18.0.1,60774,198.18.0.6,443,192.168.5.2,60787,221.5.100.174,2011
198.18.0.1,60797,198.18.0.157,443,192.168.5.2,60798,221.5.100.174,2011
198.18.0.1,60799,198.18.0.19,443,192.168.5.2,60800,221.5.100.174,2011
198.18.0.1,60801,198.18.0.9,443,192.168.5.2,60803,121.43.167.86,443
198.18.0.1,60804,198.18.0.9,443,192.168.5.2,60806,121.43.167.86,443
198.18.0.1,60807,198.18.0.161,443,192.168.5.2,60810,221.5.100.174,2011
198.18.0.1,60815,198.18.0.10,443,192.168.5.2,60816,221.5.100.174,2011
198.18.0.1,60817,198.18.0.10,443,192.168.5.2,60818,221.5.100.174,2011
198.18.0.1,60819,198.18.0.179,443,192.168.5.2,60821,221.5.100.174,2011
198.18.0.1,60820,198.18.0.180,443,192.168.5.2,60822,221.5.100.174,2011
198.18.0.1,60823,198.18.0.179,443,192.168.5.2,60826,221.5.100.174,2011
198.18.0.1,60824,198.18.0.180,443,192.168.5.2,60825,221.5.100.174,2011
198.18.0.1,60828,198.18.0.181,443,192.168.5.2,60830,221.5.100.174,2011
198.18.0.1,60827,198.18.0.14,5228,192.168.5.2,60829,221.5.100.174,2011
198.18.0.1,60832,198.18.0.179,443,192.168.5.2,60835,221.5.100.174,2011
198.18.0.1,60831,198.18.0.181,443,192.168.5.2,60836,221.5.100.174,2011
198.18.0.1,60833,198.18.0.180,443,192.168.5.2,60834,221.5.100.174,2011
198.18.0.1,60837,198.18.0.11,443,192.168.5.2,60838,221.5.100.174,2011
198.18.0.1,60839,198.18.0.81,443,192.168.5.2,60842,221.5.100.174,2011
198.18.0.1,60840,198.18.0.81,443,192.168.5.2,60841,221.5.100.174,2011
198.18.0.1,60847,198.18.0.85,443,192.168.5.2,60851,221.5.100.174,2011
198.18.0.1,60848,198.18.0.86,443,192.168.5.2,60856,221.5.100.174,2011
198.18.0.1,60849,198.18.0.87,443,192.168.5.2,60857,221.5.100.174,2011
198.18.0.1,60852,198.18.0.83,443,192.168.5.2,60859,221.5.100.174,2011
198.18.0.1,60850,198.18.0.83,443,192.168.5.2,60858,221.5.100.174,2011
198.18.0.1,60854,198.18.0.83,443,192.168.5.2,60862,221.5.100.174,2011
198.18.0.1,60853,198.18.0.83,443,192.168.5.2,60860,221.5.100.174,2011
198.18.0.1,60855,198.18.0.83,443,192.168.5.2,60861,221.5.100.174,2011
198.18.0.1,60864,198.18.0.90,443,192.168.5.2,60870,221.5.100.174,2011
198.18.0.1,60868,198.18.0.84,443,192.168.5.2,60876,221.5.100.174,2011
198.18.0.1,60865,198.18.0.84,443,192.168.5.2,60873,221.5.100.174,2011
198.18.0.1,60866,198.18.0.84,443,192.168.5.2,60875,221.5.100.174,2011
198.18.0.1,60872,198.18.0.101,443,192.168.5.2,60879,221.5.100.174,2011
198.18.0.1,60874,198.18.0.89,443,192.168.5.2,60880,221.5.100.174,2011
198.18.0.1,60871,198.18.0.6,443,192.168.5.2,60878,221.5.100.174,2011
198.18.0.1,60863,198.18.0.88,443,192.168.5.2,60869,221.5.100.174,2011
198.18.0.1,60867,198.18.0.84,443,192.168.5.2,60877,221.5.100.174,2011
198.18.0.1,60881,198.18.0.84,443,192.168.5.2,60886,221.5.100.174,2011
198.18.0.1,60883,198.18.0.92,443,192.168.5.2,60888,221.5.100.174,2011
198.18.0.1,60882,198.18.0.91,443,192.168.5.2,60885,221.5.100.174,2011
198.18.0.1,60884,198.18.0.84,443,192.168.5.2,60889,221.5.100.174,2011
198.18.0.1,60887,198.18.0.93,443,192.168.5.2,60890,221.5.100.174,2011
198.18.0.1,60892,198.18.0.94,443,192.168.5.2,60895,221.5.100.174,2011
198.18.0.1,60891,198.18.0.95,443,192.168.5.2,60894,221.5.100.174,2011
198.18.0.1,60893,198.18.0.97,443,192.168.5.2,60897,221.5.100.174,2011
198.18.0.1,60898,198.18.0.98,443,192.168.5.2,60902,221.5.100.174,2011
198.18.0.1,60899,198.18.0.99,443,192.168.5.2,60903,221.5.100.174,2011
198.18.0.1,60901,198.18.0.100,443,192.168.5.2,60904,221.5.100.174,2011
198.18.0.1,60896,198.18.0.96,443,192.168.5.2,60900,221.5.100.174,2011
198.18.0.1,60905,198.18.0.12,443,192.168.5.2,60906,221.5.100.174,2011
198.18.0.1,60907,198.18.0.102,443,192.168.5.2,60908,221.5.100.174,2011
198.18.0.1,60909,198.18.0.6,443,192.168.5.2,60912,221.5.100.174,2011
198.18.0.1,60910,198.18.0.26,443,192.168.5.2,60911,221.5.100.174,2011
198.18.0.1,60913,198.18.0.90,443,192.168.5.2,60914,221.5.100.174,2011
198.18.0.1,60915,198.18.0.12,443,192.168.5.2,60917,221.5.100.174,2011
198.18.0.1,60916,198.18.0.12,443,192.168.5.2,60918,221.5.100.174,2011
198.18.0.1,60919,198.18.0.12,443,192.168.5.2,60920,221.5.100.174,2011
198.18.0.1,60921,198.18.0.103,443,192.168.5.2,60922,221.5.100.174,2011
198.18.0.1,60923,198.18.0.103,443,192.168.5.2,60925,221.5.100.174,2011
198.18.0.1,60924,198.18.0.104,443,192.168.5.2,60926,221.5.100.174,2011
198.18.0.1,60927,198.18.0.105,443,192.168.5.2,60928,221.5.100.174,2011
198.18.0.1,60929,198.18.0.19,443,192.168.5.2,60930,221.5.100.174,2011
198.18.0.1,60931,198.18.0.104,443,192.168.5.2,60932,221.5.100.174,2011
198.18.0.1,60934,198.18.0.95,443,192.168.5.2,60936,221.5.100.174,2011
198.18.0.1,60933,198.18.0.95,443,192.168.5.2,60937,221.5.100.174,2011
198.18.0.1,60935,198.18.0.109,443,192.168.5.2,60938,221.5.100.174,2011
