inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort
198.18.0.1,63431,198.18.0.9,443,192.168.5.2,63432,120.232.217.159,2011
198.18.0.1,63433,198.18.0.12,443,192.168.5.2,63441,112.82.180.41,443
198.18.0.1,63435,198.18.0.12,443,192.168.5.2,63452,112.82.180.41,443
198.18.0.1,63439,198.18.0.12,443,192.168.5.2,63455,112.82.180.41,443
198.18.0.1,63437,198.18.0.12,443,192.168.5.2,63447,112.82.180.41,443
198.18.0.1,63438,198.18.0.12,443,192.168.5.2,63449,112.82.180.41,443
198.18.0.1,63442,198.18.0.12,443,192.168.5.2,63453,112.82.180.41,443
198.18.0.1,63446,198.18.0.14,443,192.168.5.2,63459,101.69.128.51,443
198.18.0.1,63445,198.18.0.13,443,192.168.5.2,63457,27.152.182.60,443
198.18.0.1,63460,198.18.0.14,443,192.168.5.2,63462,101.69.128.51,443
198.18.0.1,63434,198.18.0.11,443,192.168.5.2,63443,120.232.217.159,2011
198.18.0.1,63436,198.18.0.10,443,192.168.5.2,63444,120.232.217.159,2011
198.18.0.1,63461,198.18.0.15,443,192.168.5.2,63463,120.232.217.159,2011
198.18.0.1,63464,198.18.0.16,443,192.168.5.2,63465,120.232.217.159,2011
198.18.0.1,63467,198.18.0.10,443,192.168.5.2,63469,120.232.217.159,2011
198.18.0.1,63474,198.18.0.18,443,192.168.5.2,63475,121.43.167.86,443
198.18.0.1,63476,198.18.0.72,443,192.168.5.2,63479,120.232.217.159,2011
198.18.0.1,63480,198.18.0.20,443,192.168.5.2,63481,120.232.217.159,2011
198.18.0.1,63482,198.18.0.20,443,192.168.5.2,63483,120.232.217.159,2011
198.18.0.1,63484,198.18.0.27,443,192.168.5.2,63485,120.232.217.159,2011
198.18.0.1,63487,198.18.0.114,443,192.168.5.2,63488,120.232.217.159,2011
198.18.0.1,63486,198.18.0.114,443,192.168.5.2,63489,120.232.217.159,2011
198.18.0.1,63491,198.18.0.115,443,192.168.5.2,63492,120.232.217.159,2011
198.18.0.1,63490,198.18.0.115,443,192.168.5.2,63493,120.232.217.159,2011
198.18.0.1,63494,198.18.0.31,443,192.168.5.2,63497,120.232.217.159,2011
198.18.0.1,63496,198.18.0.156,443,192.168.5.2,63499,120.232.217.159,2011
198.18.0.1,63495,198.18.0.156,443,192.168.5.2,63498,120.232.217.159,2011
198.18.0.1,63500,198.18.0.34,443,192.168.5.2,63501,120.232.217.159,2011
198.18.0.1,63504,198.18.0.154,443,192.168.5.2,63505,120.232.217.159,2011
198.18.0.1,63506,198.18.0.10,443,192.168.5.2,63507,120.232.217.159,2011
198.18.0.1,63508,198.18.0.165,443,192.168.5.2,63510,120.232.217.159,2011
198.18.0.1,63509,198.18.0.165,443,192.168.5.2,63511,120.232.217.159,2011
198.18.0.1,63514,198.18.0.36,443,192.168.5.2,63515,120.232.217.159,2011
198.18.0.1,63516,198.18.0.38,443,192.168.5.2,63517,120.232.217.159,2011
198.18.0.1,63518,198.18.0.165,443,192.168.5.2,63519,120.232.217.159,2011
198.18.0.1,63520,198.18.0.165,443,192.168.5.2,63521,120.232.217.159,2011
198.18.0.1,63522,198.18.0.34,443,192.168.5.2,63523,120.232.217.159,2011
198.18.0.1,63524,198.18.0.119,443,192.168.5.2,63525,120.232.217.159,2011
198.18.0.1,63528,198.18.0.36,443,192.168.5.2,63529,120.232.217.159,2011
198.18.0.1,63530,198.18.0.121,443,192.168.5.2,63532,120.232.217.159,2011
198.18.0.1,63531,198.18.0.125,443,192.168.5.2,63533,120.232.217.159,2011
198.18.0.1,63534,198.18.0.41,443,192.168.5.2,63535,120.232.217.159,2011
198.18.0.1,63536,198.18.0.41,443,192.168.5.2,63538,120.232.217.159,2011
198.18.0.1,63537,198.18.0.165,443,192.168.5.2,63540,120.232.217.159,2011
198.18.0.1,63539,198.18.0.165,443,192.168.5.2,63541,120.232.217.159,2011
198.18.0.1,63542,198.18.0.11,443,192.168.5.2,63543,120.232.217.159,2011
198.18.0.1,63544,198.18.0.41,443,192.168.5.2,63545,120.232.217.159,2011
198.18.0.1,63546,198.18.0.11,443,192.168.5.2,63548,120.232.217.159,2011
