inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort
198.18.0.1,60997,198.18.0.9,443,192.168.5.2,60998,221.5.100.174,2011
198.18.0.1,60999,198.18.0.12,443,192.168.5.2,61008,112.82.180.41,443
198.18.0.1,61004,198.18.0.12,443,192.168.5.2,61016,112.82.180.41,443
198.18.0.1,61003,198.18.0.12,443,192.168.5.2,61013,112.82.180.41,443
198.18.0.1,61002,198.18.0.12,443,192.168.5.2,61011,112.82.180.41,443
198.18.0.1,61005,198.18.0.12,443,192.168.5.2,61021,112.82.180.41,443
198.18.0.1,61006,198.18.0.12,443,192.168.5.2,61019,112.82.180.41,443
198.18.0.1,61018,198.18.0.14,443,192.168.5.2,61023,222.134.1.28,443
198.18.0.1,61017,198.18.0.13,443,192.168.5.2,61025,61.156.44.221,443
198.18.0.1,61000,198.18.0.10,443,192.168.5.2,61009,221.5.100.174,2011
198.18.0.1,61001,198.18.0.11,443,192.168.5.2,61010,221.5.100.174,2011
198.18.0.1,61026,198.18.0.14,443,192.168.5.2,61028,222.134.1.28,443
198.18.0.1,61027,198.18.0.15,443,192.168.5.2,61029,221.5.100.174,2011
198.18.0.1,61030,198.18.0.10,443,192.168.5.2,61031,221.5.100.174,2011
198.18.0.1,61034,198.18.0.18,443,192.168.5.2,61035,121.43.167.86,443
198.18.0.1,61036,198.18.0.72,443,192.168.5.2,61039,221.5.100.174,2011
198.18.0.1,61040,198.18.0.16,443,192.168.5.2,61041,221.5.100.174,2011
198.18.0.1,61042,198.18.0.20,443,192.168.5.2,61043,221.5.100.174,2011
198.18.0.1,61044,198.18.0.20,443,192.168.5.2,61045,221.5.100.174,2011
198.18.0.1,61046,198.18.0.27,443,192.168.5.2,61047,221.5.100.174,2011
198.18.0.1,61049,198.18.0.28,443,192.168.5.2,61050,221.5.100.174,2011
198.18.0.1,61048,198.18.0.28,443,192.168.5.2,61051,221.5.100.174,2011
198.18.0.1,61055,198.18.0.33,443,192.168.5.2,61056,221.5.100.174,2011
198.18.0.1,61057,198.18.0.34,443,192.168.5.2,61058,221.5.100.174,2011
198.18.0.1,61059,198.18.0.32,443,192.168.5.2,61060,221.5.100.174,2011
198.18.0.1,61061,198.18.0.72,443,192.168.5.2,61062,221.5.100.174,2011
198.18.0.1,61065,198.18.0.41,443,192.168.5.2,61066,221.5.100.174,2011
198.18.0.1,61064,198.18.0.41,443,192.168.5.2,61067,221.5.100.174,2011
198.18.0.1,61068,198.18.0.36,443,192.168.5.2,61069,221.5.100.174,2011
198.18.0.1,61070,198.18.0.38,443,192.168.5.2,61071,221.5.100.174,2011
198.18.0.1,61072,198.18.0.19,443,192.168.5.2,61073,221.5.100.174,2011
198.18.0.1,61074,198.18.0.41,443,192.168.5.2,61075,221.5.100.174,2011
198.18.0.1,61082,198.18.0.21,443,192.168.5.2,61084,221.5.100.174,2011
198.18.0.1,61083,198.18.0.22,443,192.168.5.2,61085,221.5.100.174,2011
198.18.0.1,61087,198.18.0.22,443,192.168.5.2,61088,221.5.100.174,2011
198.18.0.1,61086,198.18.0.21,443,192.168.5.2,61089,221.5.100.174,2011
198.18.0.1,61090,198.18.0.23,5228,192.168.5.2,61091,221.5.100.174,2011
198.18.0.1,61092,198.18.0.24,443,192.168.5.2,61093,221.5.100.174,2011
198.18.0.1,61094,198.18.0.24,443,192.168.5.2,61095,221.5.100.174,2011
198.18.0.1,61096,198.18.0.10,443,192.168.5.2,61099,221.5.100.174,2011
198.18.0.1,61097,198.18.0.16,443,192.168.5.2,61100,221.5.100.174,2011
198.18.0.1,61098,198.18.0.80,443,192.168.5.2,61101,221.5.100.174,2011
198.18.0.1,61102,198.18.0.27,443,192.168.5.2,61103,221.5.100.174,2011
198.18.0.1,61104,198.18.0.28,443,192.168.5.2,61105,221.5.100.174,2011
198.18.0.1,61106,198.18.0.19,443,192.168.5.2,61107,221.5.100.174,2011
198.18.0.1,61108,198.18.0.72,443,192.168.5.2,61109,221.5.100.174,2011
198.18.0.1,61110,198.18.0.85,443,192.168.5.2,61111,221.5.100.174,2011
198.18.0.1,61112,198.18.0.41,443,192.168.5.2,61113,221.5.100.174,2011
198.18.0.1,61116,198.18.0.30,443,192.168.5.2,61120,221.5.100.174,2011
198.18.0.1,61117,198.18.0.31,443,192.168.5.2,61121,221.5.100.174,2011
198.18.0.1,61114,198.18.0.32,443,192.168.5.2,61118,221.5.100.174,2011
198.18.0.1,61115,198.18.0.33,443,192.168.5.2,61119,221.5.100.174,2011
198.18.0.1,61123,198.18.0.86,443,192.168.5.2,61125,221.5.100.174,2011
198.18.0.1,61122,198.18.0.86,443,192.168.5.2,61126,221.5.100.174,2011
198.18.0.1,61124,198.18.0.86,443,192.168.5.2,61127,221.5.100.174,2011
198.18.0.1,61128,198.18.0.35,443,192.168.5.2,61129,221.5.100.174,2011
198.18.0.1,61130,198.18.0.36,443,192.168.5.2,61131,221.5.100.174,2011
198.18.0.1,61132,198.18.0.34,443,192.168.5.2,61133,221.5.100.174,2011
198.18.0.1,61135,198.18.0.37,443,192.168.5.2,61136,221.5.100.174,2011
198.18.0.1,61134,198.18.0.37,443,192.168.5.2,61137,221.5.100.174,2011
198.18.0.1,61138,198.18.0.37,443,192.168.5.2,61139,221.5.100.174,2011
198.18.0.1,61140,198.18.0.38,443,192.168.5.2,61141,221.5.100.174,2011
198.18.0.1,61142,198.18.0.35,443,192.168.5.2,61143,221.5.100.174,2011
198.18.0.1,61144,198.18.0.39,443,192.168.5.2,61147,221.5.100.174,2011
198.18.0.1,61145,198.18.0.40,443,192.168.5.2,61146,221.5.100.174,2011
198.18.0.1,61148,198.18.0.37,443,192.168.5.2,61149,221.5.100.174,2011
198.18.0.1,61150,198.18.0.40,443,192.168.5.2,61151,221.5.100.174,2011
198.18.0.1,61152,198.18.0.39,443,192.168.5.2,61153,221.5.100.174,2011
198.18.0.1,61154,198.18.0.11,443,192.168.5.2,61155,221.5.100.174,2011
198.18.0.1,61156,198.18.0.41,443,192.168.5.2,61157,221.5.100.174,2011
198.18.0.1,61158,198.18.0.42,443,192.168.5.2,61159,221.5.100.174,2011
198.18.0.1,61160,198.18.0.43,443,192.168.5.2,61161,221.5.100.174,2011
198.18.0.1,61162,198.18.0.43,443,192.168.5.2,61163,221.5.100.174,2011
198.18.0.1,61164,198.18.0.34,443,192.168.5.2,61165,221.5.100.174,2011
198.18.0.1,61166,198.18.0.108,443,192.168.5.2,61167,221.5.100.174,2011
198.18.0.1,61168,198.18.0.45,443,192.168.5.2,61169,221.5.100.174,2011
198.18.0.1,61170,198.18.0.32,443,192.168.5.2,61171,221.5.100.174,2011
198.18.0.1,61172,198.18.0.46,443,192.168.5.2,61173,221.5.100.174,2011
198.18.0.1,61174,198.18.0.108,443,192.168.5.2,61175,221.5.100.174,2011
198.18.0.1,61176,198.18.0.47,443,192.168.5.2,61177,221.5.100.174,2011
198.18.0.1,61178,198.18.0.44,443,192.168.5.2,61179,221.5.100.174,2011
198.18.0.1,61180,198.18.0.48,443,192.168.5.2,61181,221.5.100.174,2011
198.18.0.1,61182,198.18.0.48,443,192.168.5.2,61183,221.5.100.174,2011
198.18.0.1,61197,198.18.0.109,443,192.168.5.2,61198,221.5.100.174,2011
