inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort
198.18.0.1,62433,198.18.0.9,443,192.168.5.2,62434,120.232.217.159,2011
198.18.0.1,62443,198.18.0.12,443,192.168.5.2,62453,112.82.180.41,443
198.18.0.1,62444,198.18.0.12,443,192.168.5.2,62461,112.82.180.41,443
198.18.0.1,62446,198.18.0.12,443,192.168.5.2,62460,112.82.180.41,443
198.18.0.1,62447,198.18.0.12,443,192.168.5.2,62456,112.82.180.41,443
198.18.0.1,62442,198.18.0.12,443,192.168.5.2,62450,112.82.180.41,443
198.18.0.1,62441,198.18.0.12,443,192.168.5.2,62459,112.82.180.41,443
198.18.0.1,62451,198.18.0.13,443,192.168.5.2,62464,218.92.216.53,443
198.18.0.1,62454,198.18.0.14,443,192.168.5.2,62465,122.228.207.55,443
198.18.0.1,62439,198.18.0.10,443,192.168.5.2,62445,120.232.217.159,2011
198.18.0.1,62440,198.18.0.11,443,192.168.5.2,62448,120.232.217.159,2011
198.18.0.1,62466,198.18.0.14,443,192.168.5.2,62468,122.228.207.55,443
198.18.0.1,62467,198.18.0.15,443,192.168.5.2,62469,120.232.217.159,2011
198.18.0.1,62470,198.18.0.16,443,192.168.5.2,62471,120.232.217.159,2011
198.18.0.1,62472,198.18.0.10,443,192.168.5.2,62473,120.232.217.159,2011
198.18.0.1,62476,198.18.0.18,443,192.168.5.2,62477,121.43.167.86,443
198.18.0.1,62480,198.18.0.72,443,192.168.5.2,62481,120.232.217.159,2011
198.18.0.1,62482,198.18.0.20,443,192.168.5.2,62483,120.232.217.159,2011
198.18.0.1,62484,198.18.0.20,443,192.168.5.2,62485,120.232.217.159,2011
198.18.0.1,62487,198.18.0.22,443,192.168.5.2,62489,120.232.217.159,2011
198.18.0.1,62486,198.18.0.21,443,192.168.5.2,62488,120.232.217.159,2011
198.18.0.1,62490,198.18.0.21,443,192.168.5.2,62492,120.232.217.159,2011
198.18.0.1,62491,198.18.0.22,443,192.168.5.2,62493,120.232.217.159,2011
198.18.0.1,62495,198.18.0.24,443,192.168.5.2,62497,120.232.217.159,2011
198.18.0.1,62494,198.18.0.23,5228,192.168.5.2,62496,120.232.217.159,2011
198.18.0.1,62498,198.18.0.24,443,192.168.5.2,62499,120.232.217.159,2011
198.18.0.1,62500,198.18.0.10,443,192.168.5.2,62501,120.232.217.159,2011
198.18.0.1,62503,198.18.0.114,443,192.168.5.2,62505,120.232.217.159,2011
198.18.0.1,62506,198.18.0.114,443,192.168.5.2,62507,120.232.217.159,2011
198.18.0.1,62502,198.18.0.27,443,192.168.5.2,62504,120.232.217.159,2011
198.18.0.1,62509,198.18.0.115,443,192.168.5.2,62511,120.232.217.159,2011
198.18.0.1,62508,198.18.0.115,443,192.168.5.2,62510,120.232.217.159,2011
198.18.0.1,62512,198.18.0.31,443,192.168.5.2,62513,120.232.217.159,2011
198.18.0.1,62515,198.18.0.156,443,192.168.5.2,62516,120.232.217.159,2011
198.18.0.1,62514,198.18.0.156,443,192.168.5.2,62517,120.232.217.159,2011
198.18.0.1,62518,198.18.0.34,443,192.168.5.2,62522,120.232.217.159,2011
198.18.0.1,62526,198.18.0.38,443,192.168.5.2,62527,120.232.217.159,2011
198.18.0.1,62528,198.18.0.36,443,192.168.5.2,62529,221.5.100.174,2011
198.18.0.1,62531,198.18.0.136,443,192.168.5.2,62532,221.5.100.174,2011
198.18.0.1,62530,198.18.0.136,443,192.168.5.2,62533,221.5.100.174,2011
198.18.0.1,62534,198.18.0.119,443,192.168.5.2,62536,221.5.100.174,2011
198.18.0.1,62538,198.18.0.36,443,192.168.5.2,62539,221.5.100.174,2011
198.18.0.1,62540,198.18.0.121,443,192.168.5.2,62541,221.5.100.174,2011
198.18.0.1,62542,198.18.0.41,443,192.168.5.2,62543,221.5.100.174,2011
198.18.0.1,62544,198.18.0.41,443,192.168.5.2,62545,221.5.100.174,2011
198.18.0.1,62546,198.18.0.11,443,192.168.5.2,62547,221.5.100.174,2011
198.18.0.1,62548,198.18.0.41,443,192.168.5.2,62549,221.5.100.174,2011
198.18.0.1,62550,198.18.0.34,443,192.168.5.2,62551,221.5.100.174,2011
198.18.0.1,62553,198.18.0.49,443,192.168.5.2,62555,221.5.100.174,2011
198.18.0.1,62556,198.18.0.49,443,192.168.5.2,62557,221.5.100.174,2011
198.18.0.1,62558,198.18.0.122,443,192.168.5.2,62559,221.5.100.174,2011
198.18.0.1,62562,198.18.0.72,443,192.168.5.2,62563,221.5.100.174,2011
198.18.0.1,62572,198.18.0.19,443,192.168.5.2,62573,221.5.100.174,2011
198.18.0.1,62590,198.18.0.9,443,192.168.5.2,62591,221.5.100.174,2011
198.18.0.1,62592,198.18.0.22,443,192.168.5.2,62593,221.5.100.174,2011
198.18.0.1,62594,198.18.0.19,443,192.168.5.2,62595,221.5.100.174,2011
198.18.0.1,62610,198.18.0.63,443,192.168.5.2,62611,221.5.100.174,2011
198.18.0.1,62695,198.18.0.158,443,192.168.5.2,62696,221.5.100.174,2011
198.18.0.1,62697,198.18.0.142,443,192.168.5.2,62698,120.232.217.159,2011
198.18.0.1,62707,198.18.0.139,443,192.168.5.2,62708,120.232.217.159,2011
198.18.0.1,62715,198.18.0.159,443,192.168.5.2,62716,120.232.217.159,2011
198.18.0.1,62774,198.18.0.23,5228,192.168.5.2,62775,120.232.217.159,2011
198.18.0.1,62783,198.18.0.36,443,192.168.5.2,62785,221.5.100.174,2011
198.18.0.1,62784,198.18.0.135,443,192.168.5.2,62786,221.5.100.174,2011
