inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort
198.18.0.1,62993,198.18.0.9,443,192.168.5.2,62994,221.5.100.174,2011
198.18.0.1,62998,198.18.0.12,443,192.168.5.2,63005,112.82.180.41,443
198.18.0.1,62997,198.18.0.12,443,192.168.5.2,63008,112.82.180.41,443
198.18.0.1,63001,198.18.0.12,443,192.168.5.2,63010,112.82.180.41,443
198.18.0.1,63002,198.18.0.12,443,192.168.5.2,63013,112.82.180.41,443
198.18.0.1,63003,198.18.0.12,443,192.168.5.2,63015,112.82.180.41,443
198.18.0.1,63006,198.18.0.12,443,192.168.5.2,63018,112.82.180.41,443
198.18.0.1,63011,198.18.0.14,443,192.168.5.2,63021,101.69.128.53,443
198.18.0.1,63014,198.18.0.13,443,192.168.5.2,63020,61.156.44.221,443
198.18.0.1,62996,198.18.0.11,443,192.168.5.2,62999,221.5.100.174,2011
198.18.0.1,63023,198.18.0.12,443,192.168.5.2,63027,112.82.180.41,443
198.18.0.1,63022,198.18.0.12,443,192.168.5.2,63025,112.82.180.41,443
198.18.0.1,62995,198.18.0.10,443,192.168.5.2,63000,221.5.100.174,2011
198.18.0.1,63028,198.18.0.14,443,192.168.5.2,63030,101.69.128.51,443
198.18.0.1,63029,198.18.0.15,443,192.168.5.2,63031,221.5.100.174,2011
198.18.0.1,63032,198.18.0.16,443,192.168.5.2,63033,221.5.100.174,2011
198.18.0.1,63036,198.18.0.18,443,192.168.5.2,63037,121.43.167.86,443
198.18.0.1,63038,198.18.0.18,443,192.168.5.2,63039,121.43.167.86,443
198.18.0.1,63040,198.18.0.20,443,192.168.5.2,63041,221.5.100.174,2011
198.18.0.1,63042,198.18.0.20,443,192.168.5.2,63043,221.5.100.174,2011
198.18.0.1,63044,198.18.0.27,443,192.168.5.2,63045,221.5.100.174,2011
198.18.0.1,63047,198.18.0.114,443,192.168.5.2,63049,221.5.100.174,2011
