inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort
198.18.0.1,60172,198.18.0.175,443,192.168.5.2,60173,103.166.52.49,2011
198.18.0.1,60176,198.18.0.176,443,192.168.5.2,60185,223.68.10.200,443
198.18.0.1,60178,198.18.0.176,443,192.168.5.2,60197,223.68.10.200,443
198.18.0.1,60177,198.18.0.176,443,192.168.5.2,60191,223.68.10.200,443
198.18.0.1,60181,198.18.0.176,443,192.168.5.2,60200,223.68.10.200,443
198.18.0.1,60179,198.18.0.176,443,192.168.5.2,60193,223.68.10.200,443
198.18.0.1,60174,198.18.0.7,443,192.168.5.2,60175,221.5.100.174,2011
198.18.0.1,60189,198.18.0.177,443,192.168.5.2,60203,112.28.187.236,443
198.18.0.1,60180,198.18.0.176,443,192.168.5.2,60195,223.68.10.200,443
198.18.0.1,60186,198.18.0.178,443,192.168.5.2,60201,112.16.229.54,443
198.18.0.1,60187,198.18.0.178,443,192.168.5.2,60202,112.16.229.54,443
198.18.0.1,60183,198.18.0.6,443,192.168.5.2,60188,221.5.100.174,2011
198.18.0.1,60182,198.18.0.19,443,192.168.5.2,60196,221.5.100.174,2011
198.18.0.1,60205,198.18.0.157,443,192.168.5.2,60206,221.5.100.174,2011
198.18.0.1,60209,198.18.0.9,443,192.168.5.2,60210,121.43.167.86,443
198.18.0.1,60211,198.18.0.78,443,192.168.5.2,60212,221.5.100.174,2011
198.18.0.1,60213,198.18.0.10,443,192.168.5.2,60214,221.5.100.174,2011
198.18.0.1,60215,198.18.0.10,443,192.168.5.2,60216,221.5.100.174,2011
198.18.0.1,60221,198.18.0.11,443,192.168.5.2,60222,221.5.100.174,2011
198.18.0.1,60224,198.18.0.81,443,192.168.5.2,60225,221.5.100.174,2011
198.18.0.1,60223,198.18.0.81,443,192.168.5.2,60226,221.5.100.174,2011
198.18.0.1,60228,198.18.0.83,443,192.168.5.2,60236,221.5.100.174,2011
198.18.0.1,60227,198.18.0.83,443,192.168.5.2,60235,221.5.100.174,2011
198.18.0.1,60229,198.18.0.83,443,192.168.5.2,60237,221.5.100.174,2011
198.18.0.1,60247,198.18.0.84,443,192.168.5.2,60254,221.5.100.174,2011
198.18.0.1,60239,198.18.0.90,443,192.168.5.2,60249,221.5.100.174,2011
198.18.0.1,60234,198.18.0.87,443,192.168.5.2,60243,221.5.100.174,2011
198.18.0.1,60241,198.18.0.84,443,192.168.5.2,60251,221.5.100.174,2011
198.18.0.1,60238,198.18.0.84,443,192.168.5.2,60250,221.5.100.174,2011
198.18.0.1,60230,198.18.0.83,443,192.168.5.2,60245,221.5.100.174,2011
198.18.0.1,60233,198.18.0.86,443,192.168.5.2,60248,221.5.100.174,2011
198.18.0.1,60240,198.18.0.84,443,192.168.5.2,60252,221.5.100.174,2011
198.18.0.1,60231,198.18.0.83,443,192.168.5.2,60246,221.5.100.174,2011
198.18.0.1,60232,198.18.0.85,443,192.168.5.2,60242,221.5.100.174,2011
198.18.0.1,60244,198.18.0.88,443,192.168.5.2,60253,221.5.100.174,2011
198.18.0.1,60256,198.18.0.91,443,192.168.5.2,60259,221.5.100.174,2011
198.18.0.1,60257,198.18.0.92,443,192.168.5.2,60260,221.5.100.174,2011
198.18.0.1,60262,198.18.0.94,443,192.168.5.2,60265,221.5.100.174,2011
198.18.0.1,60255,198.18.0.89,443,192.168.5.2,60258,221.5.100.174,2011
198.18.0.1,60263,198.18.0.97,443,192.168.5.2,60266,221.5.100.174,2011
198.18.0.1,60261,198.18.0.93,443,192.168.5.2,60264,221.5.100.174,2011
198.18.0.1,60268,198.18.0.98,443,192.168.5.2,60272,221.5.100.174,2011
