,inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
87,198.18.0.1,50873,198.18.0.27,443,192.168.5.2,50874,183.240.139.64,2011,198.18.0.1,50873,198.18.0.27,443,53,17255,19,6.270396,47.28195,11,optimizationguide-pa.googleapis.com,192.168.5.2,50874,183.240.139.64,2011,51,26773,19,6.272407,47.316547,11
88,198.18.0.1,50875,198.18.1.4,443,192.168.5.2,50876,183.240.139.64,2011,198.18.0.1,50875,198.18.1.4,443,35971,30365063,20,6.27657,47.27667,511,mail.google.com,192.168.5.2,50876,183.240.139.64,2011,29478,29643691,20,6.278773,47.316788,501
89,198.18.0.1,50877,198.18.0.38,443,192.168.5.2,50878,183.240.139.64,2011,198.18.0.1,50877,198.18.0.38,443,57,17523,21,6.495611,47.05669,13,content-autofill.googleapis.com,192.168.5.2,50878,183.240.139.64,2011,52,22148,21,6.496956,47.098425000000006,13
90,198.18.0.1,50883,198.18.0.32,443,192.168.5.2,50884,183.240.139.64,2011,198.18.0.1,50883,198.18.0.32,443,70,18466,29,7.516499,46.036506,16,ssl.gstatic.com,192.168.5.2,50884,183.240.139.64,2011,64,29882,24,7.517708,46.076192,16
91,198.18.0.1,50885,198.18.0.39,443,192.168.5.2,50886,183.240.139.64,2011,198.18.0.1,50885,198.18.0.39,443,53,21451,30,7.578786,45.974149,7,ogads-pa.clients6.google.com,192.168.5.2,50886,183.240.139.64,2011,47,22281,25,7.580438,46.008552,7
92,198.18.0.1,50887,198.18.0.40,443,192.168.5.2,50888,183.240.139.64,2011,198.18.0.1,50887,198.18.0.40,443,61,25024,31,7.580772,45.972324,9,waa-pa.clients6.google.com,192.168.5.2,50888,183.240.139.64,2011,48,24566,26,7.581813,46.015278,9
93,198.18.0.1,50889,198.18.0.39,443,192.168.5.2,50890,183.240.139.64,2011,198.18.0.1,50889,198.18.0.39,443,58,27729,32,7.754113999999999,45.79861,7,ogads-pa.clients6.google.com,192.168.5.2,50890,183.240.139.64,2011,49,26375,27,7.75507,45.845290000000006,7
94,198.18.0.1,50891,198.18.0.40,443,192.168.5.2,50892,183.240.139.64,2011,198.18.0.1,50891,198.18.0.40,443,140,89970,33,7.764721,45.787889,9,waa-pa.clients6.google.com,192.168.5.2,50892,183.240.139.64,2011,83,56840,28,7.765958,45.833221,9
95,198.18.0.1,50893,198.18.0.11,443,192.168.5.2,50894,183.240.139.64,2011,198.18.0.1,50893,198.18.0.11,443,39,10600,34,7.809705,45.743109,7,www.google.com,192.168.5.2,50894,183.240.139.64,2011,39,15459,29,7.811495,45.78237,7
96,198.18.0.1,50895,198.18.1.5,443,192.168.5.2,50896,183.240.139.64,2011,198.18.0.1,50895,198.18.1.5,443,57,24733,35,8.056615,45.496126,7,appsgrowthpromo-pa.clients6.google.com,192.168.5.2,50896,183.240.139.64,2011,47,22787,30,8.058584,45.53695,7
97,198.18.0.1,50897,198.18.0.41,443,192.168.5.2,50898,183.240.139.64,2011,198.18.0.1,50897,198.18.0.41,443,66,19098,36,8.160946,45.39275000000001,13,play.google.com,192.168.5.2,50898,183.240.139.64,2011,57,24387,31,8.163209,45.435834,11
98,198.18.0.1,50899,198.18.1.5,443,192.168.5.2,50900,183.240.139.64,2011,198.18.0.1,50899,198.18.1.5,443,49,24296,37,8.224284,45.328082,7,appsgrowthpromo-pa.clients6.google.com,192.168.5.2,50900,183.240.139.64,2011,45,26820,32,8.225986,45.374496,7
99,198.18.0.1,50901,198.18.0.41,443,192.168.5.2,50902,183.240.139.64,2011,198.18.0.1,50901,198.18.0.41,443,1070,807441,38,8.323208,45.230236,62,play.google.com,192.168.5.2,50902,183.240.139.64,2011,1302,972135,33,8.324557,45.271027,66
100,198.18.0.1,50903,198.18.0.43,443,192.168.5.2,50904,183.240.139.64,2011,198.18.0.1,50903,198.18.0.43,443,40,16918,39,8.479755,45.07198699999999,7,addons-pa.clients6.google.com,192.168.5.2,50904,183.240.139.64,2011,39,21142,34,8.481336,45.110291,7
101,198.18.0.1,50905,198.18.0.10,443,192.168.5.2,50906,183.240.139.64,2011,198.18.0.1,50905,198.18.0.10,443,35,12914,40,8.598928,44.954963,7,accounts.google.com,192.168.5.2,50906,183.240.139.64,2011,42,18595,35,8.600498,44.999941,7
102,198.18.0.1,50907,198.18.0.43,443,192.168.5.2,50908,183.240.139.64,2011,198.18.0.1,50907,198.18.0.43,443,56,27944,41,8.801864,44.75229,7,addons-pa.clients6.google.com,192.168.5.2,50908,183.240.139.64,2011,48,25791,36,8.803702,44.79994,7
103,198.18.0.1,50909,198.18.0.36,443,192.168.5.2,50910,183.240.139.64,2011,198.18.0.1,50909,198.18.0.36,443,34,11214,43,9.122157,44.430548,7,www.gstatic.com,192.168.5.2,50910,183.240.139.64,2011,38,17753,37,9.124099,44.472863,7
104,198.18.0.1,50911,198.18.0.48,443,192.168.5.2,50912,183.240.139.64,2011,198.18.0.1,50911,198.18.0.48,443,65,23057,45,9.216511,44.335727000000006,11,signaler-pa.clients6.google.com,192.168.5.2,50912,183.240.139.64,2011,59,27189,38,9.217992,44.375804,11
105,198.18.0.1,50913,198.18.1.6,443,192.168.5.2,50914,183.240.139.64,2011,198.18.0.1,50913,198.18.1.6,443,46,17795,46,9.226968,44.325802,7,mail-ads.google.com,192.168.5.2,50914,183.240.139.64,2011,42,19644,39,9.228701,44.373972,7
106,198.18.0.1,50915,198.18.0.111,443,192.168.5.2,50916,183.240.139.64,2011,198.18.0.1,50915,198.18.0.111,443,69,23071,47,9.247534,44.307097,13,peoplestack-pa.clients6.google.com,192.168.5.2,50916,183.240.139.64,2011,60,28603,40,9.24908,44.353778,13
107,198.18.0.1,50917,198.18.0.47,443,192.168.5.2,50918,183.240.139.64,2011,198.18.0.1,50917,198.18.0.47,443,70,43807,48,9.265571,44.289026,7,contacts.google.com,192.168.5.2,50918,183.240.139.64,2011,51,32610,41,9.267008,44.333271,7
108,198.18.0.1,50919,198.18.0.111,443,192.168.5.2,50920,183.240.139.64,2011,198.18.0.1,50919,198.18.0.111,443,85,45500,49,9.432853,44.120923,15,peoplestack-pa.clients6.google.com,192.168.5.2,50920,183.240.139.64,2011,75,48794,42,9.433982,44.16503,15
109,198.18.0.1,50921,198.18.0.48,443,192.168.5.2,50922,183.240.139.64,2011,198.18.0.1,50921,198.18.0.48,443,83,35451,50,9.502481,44.05194,13,signaler-pa.clients6.google.com,192.168.5.2,50922,183.240.139.64,2011,75,40519,43,9.503901,44.09504,13
110,198.18.0.1,50923,198.18.0.34,443,192.168.5.2,50924,183.240.139.64,2011,198.18.0.1,50923,198.18.0.34,443,28,12191,51,9.518331,44.037108,4,fonts.gstatic.com,192.168.5.2,50924,183.240.139.64,2011,27,12215,44,9.522704,44.072637,4
111,198.18.0.1,50925,198.18.1.6,443,192.168.5.2,50926,183.240.139.64,2011,198.18.0.1,50925,198.18.1.6,443,182,126651,52,9.599504,43.95318400000001,9,mail-ads.google.com,192.168.5.2,50926,183.240.139.64,2011,115,93938,45,9.601335,43.993228,9
