,W Flows
2,5
3,1
4,3
6,2
7,14
8,1
9,8
11,2
13,3
15,4
17,3
19,2
21,2
24,1
25,1
29,1
35,1
39,1
43,1
44,1
51,1
66,1
85,1
239,1
