,inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
0,198.18.0.1,51167,198.18.0.9,443,192.168.5.2,51168,221.5.100.174,2011,198.18.0.1,51167,198.18.0.9,443,39,14637,3,0.569134,11.718991,7,clientservices.googleapis.com,192.168.5.2,51168,221.5.100.174,2011,37,17651,4,0.572863,11.769324,7
9,198.18.0.1,51171,198.18.0.10,443,192.168.5.2,51182,103.216.253.85,2011,198.18.0.1,51171,198.18.0.10,443,2528,1862245,10,2.5561730000000003,10.360309,44,accounts.google.com,192.168.5.2,51182,103.216.253.85,2011,1118,1130444,8,2.560772,10.394679,42
11,198.18.0.1,51172,198.18.0.11,443,192.168.5.2,51179,103.216.253.85,2011,198.18.0.1,51172,198.18.0.11,443,44,16995,11,2.556356,9.734229,9,www.google.com,192.168.5.2,51179,103.216.253.85,2011,43,22344,6,2.559497,9.779428,9
13,198.18.0.1,51204,198.18.0.16,443,192.168.5.2,51205,103.216.253.85,2011,198.18.0.1,51204,198.18.0.16,443,39,15162,22,2.751302,9.539106,7,www.googleapis.com,192.168.5.2,51205,103.216.253.85,2011,32,17635,18,2.758214,9.571216,7
14,198.18.0.1,51206,198.18.0.10,443,192.168.5.2,51207,103.216.253.85,2011,198.18.0.1,51206,198.18.0.10,443,36,15112,23,2.785327,9.505571,7,accounts.google.com,192.168.5.2,51207,103.216.253.85,2011,33,17947,19,2.787194,9.539945,7
17,198.18.0.1,51212,198.18.0.19,443,192.168.5.2,51213,103.216.253.85,2011,198.18.0.1,51212,198.18.0.19,443,50,23442,27,2.94391,9.347632,9,clients4.google.com,192.168.5.2,51213,103.216.253.85,2011,53,27636,21,2.944826,9.392410000000002,9
21,198.18.0.1,51224,198.18.0.27,443,192.168.5.2,51226,103.216.253.85,2011,198.18.0.1,51224,198.18.0.27,443,92,30939,42,5.117521,7.173695,19,optimizationguide-pa.googleapis.com,192.168.5.2,51226,103.216.253.85,2011,78,40336,27,5.118091,7.212924000000001,19
22,198.18.0.1,51225,198.18.1.4,443,192.168.5.2,51227,103.216.253.85,2011,198.18.0.1,51225,198.18.1.4,443,39,15306,43,5.11887,7.172406,9,mail.google.com,192.168.5.2,51227,103.216.253.85,2011,40,19576,28,5.119031,7.207886,9
23,198.18.0.1,51228,198.18.1.4,443,192.168.5.2,51229,103.216.253.85,2011,198.18.0.1,51228,198.18.1.4,443,24,11983,44,5.12132,7.168889000000001,4,mail.google.com,192.168.5.2,51229,103.216.253.85,2011,25,12121,29,5.121828,7.204384999999999,4
24,198.18.0.1,51230,198.18.0.33,443,192.168.5.2,51231,103.216.253.85,2011,198.18.0.1,51230,198.18.0.33,443,117,80964,45,6.426601,5.863947,7,lh3.googleusercontent.com,192.168.5.2,51231,103.216.253.85,2011,77,61346,30,6.426863,5.905519000000001,7
25,198.18.0.1,51232,198.18.0.34,443,192.168.5.2,51233,103.216.253.85,2011,198.18.0.1,51232,198.18.0.34,443,162,116275,46,6.438786,5.852081999999999,7,fonts.gstatic.com,192.168.5.2,51233,103.216.253.85,2011,90,73068,31,6.439281,5.891708,7
26,198.18.0.1,51234,198.18.0.32,443,192.168.5.2,51235,103.216.253.85,2011,198.18.0.1,51234,198.18.0.32,443,155,102698,47,6.523537,5.767274,17,ssl.gstatic.com,192.168.5.2,51235,103.216.253.85,2011,104,80491,32,6.523898,5.8098160000000005,17
28,198.18.0.1,51239,198.18.0.41,443,192.168.5.2,51241,103.216.253.85,2011,198.18.0.1,51239,198.18.0.41,443,73,30350,50,8.739436,3.5523050000000005,13,play.google.com,192.168.5.2,51241,103.216.253.85,2011,64,34041,35,8.73957,3.588139,13
29,198.18.0.1,51238,198.18.0.41,443,192.168.5.2,51240,103.216.253.85,2011,198.18.0.1,51238,198.18.0.41,443,11,2345,49,8.739161,0.1037379999999998,1,play.google.com,192.168.5.2,51240,103.216.253.85,2011,20,13157,34,8.739569,0.1260659999999998,2
30,198.18.0.1,51242,198.18.0.36,443,192.168.5.2,51243,103.216.253.85,2011,198.18.0.1,51242,198.18.0.36,443,1335,1059323,51,8.75753,3.533425000000001,17,www.gstatic.com,192.168.5.2,51243,103.216.253.85,2011,577,569040,36,8.759423,3.574255000000001,17
31,198.18.0.1,51244,198.18.0.38,443,192.168.5.2,51245,103.216.253.85,2011,198.18.0.1,51244,198.18.0.38,443,33,11629,52,9.096738,3.194707,7,content-autofill.googleapis.com,192.168.5.2,51245,103.216.253.85,2011,33,17581,37,9.096994,3.233366,7
32,198.18.0.1,51246,198.18.0.41,443,192.168.5.2,51247,103.216.253.85,2011,198.18.0.1,51246,198.18.0.41,443,44,17204,53,9.874109,2.417726,7,play.google.com,192.168.5.2,51247,103.216.253.85,2011,36,18796,38,9.874131,2.464582,7
33,198.18.0.1,51252,198.18.0.23,5228,192.168.5.2,51253,103.216.253.85,2011,198.18.0.1,51252,198.18.0.23,5228,40,15814,56,12.341474,54.505721,4,mtalk.google.com,192.168.5.2,51253,103.216.253.85,2011,40,16678,40,12.342099,54.54078500000001,4
34,198.18.0.1,51255,198.18.0.22,443,192.168.5.2,51257,103.216.253.85,2011,198.18.0.1,51255,198.18.0.22,443,53,20210,58,12.519199,54.356876,7,update.googleapis.com,192.168.5.2,51257,103.216.253.85,2011,49,22007,41,12.520647,54.394912000000005,7
35,198.18.0.1,51254,198.18.0.21,443,192.168.5.2,51256,103.216.253.85,2011,198.18.0.1,51254,198.18.0.21,443,50,18404,57,12.518824,54.356999,7,clients2.google.com,192.168.5.2,51256,103.216.253.85,2011,48,20594,42,12.520647,54.399298,7
36,198.18.0.1,51258,198.18.0.24,443,192.168.5.2,51259,103.216.253.85,2011,198.18.0.1,51258,198.18.0.24,443,60,19316,59,12.648681,54.227911000000006,11,android.clients.google.com,192.168.5.2,51259,103.216.253.85,2011,50,22445,43,12.648898,54.27356,11
