,inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
0,198.18.0.1,60367,198.18.0.9,443,192.168.5.2,60368,221.5.100.174,2011,198.18.0.1,60367,198.18.0.9,443,39,14702,6,1.668415,4.412607,7,clientservices.googleapis.com,192.168.5.2,60368,221.5.100.174,2011,38,19246,4,1.454852,4.447638,7
9,198.18.0.1,60370,198.18.0.10,443,192.168.5.2,60382,221.5.100.174,2011,198.18.0.1,60370,198.18.0.10,443,30,12479,10,3.383931,2.6999150000000003,7,accounts.google.com,192.168.5.2,60382,221.5.100.174,2011,30,16660,10,3.172649,2.732908,7
10,198.18.0.1,60373,198.18.0.11,443,192.168.5.2,60381,221.5.100.174,2011,198.18.0.1,60373,198.18.0.11,443,36,14275,13,3.385295,2.698284,7,www.google.com,192.168.5.2,60381,221.5.100.174,2011,36,17125,9,3.172649,2.73194,7
13,198.18.0.1,60400,198.18.0.16,443,192.168.5.2,60401,221.5.100.174,2011,198.18.0.1,60400,198.18.0.16,443,39,15225,21,3.507853,2.575801,7,www.googleapis.com,192.168.5.2,60401,221.5.100.174,2011,35,18808,19,3.29384,2.610573,7
14,198.18.0.1,60402,198.18.0.10,443,192.168.5.2,60403,221.5.100.174,2011,198.18.0.1,60402,198.18.0.10,443,41,15825,22,3.588363,2.495658,7,accounts.google.com,192.168.5.2,60403,221.5.100.174,2011,34,19787,20,3.378087,2.528079,7
19,198.18.0.1,60417,198.18.0.22,443,192.168.5.2,60421,221.5.100.174,2011,198.18.0.1,60417,198.18.0.22,443,10,2267,37,6.034426,0.0483359999999999,1,update.googleapis.com,192.168.5.2,60421,221.5.100.174,2011,16,4748,26,5.820414,0.0839660000000002,1
20,198.18.0.1,60416,198.18.0.21,443,192.168.5.2,60418,221.5.100.174,2011,198.18.0.1,60416,198.18.0.21,443,10,2329,36,6.033371,0.0492990000000004,1,clients2.google.com,192.168.5.2,60418,221.5.100.174,2011,16,4156,25,5.820159,0.0862199999999999,1
21,198.18.0.1,60422,198.18.0.21,443,192.168.5.2,60425,221.5.100.174,2011,198.18.0.1,60422,198.18.0.21,443,10,2265,38,6.082987,0.0902229999999999,1,clients2.google.com,192.168.5.2,60425,221.5.100.174,2011,21,12469,28,5.868318,0.0950479999999993,2
22,198.18.0.1,60423,198.18.0.22,443,192.168.5.2,60424,221.5.100.174,2011,198.18.0.1,60423,198.18.0.22,443,10,2363,39,6.08314,0.0900340000000001,1,update.googleapis.com,192.168.5.2,60424,221.5.100.174,2011,20,10688,27,5.868309,0.0979049999999999,2
23,198.18.0.1,60427,198.18.0.24,443,192.168.5.2,60429,221.5.100.174,2011,198.18.0.1,60427,198.18.0.24,443,10,2304,41,6.123854,0.0493430000000003,1,android.clients.google.com,192.168.5.2,60429,221.5.100.174,2011,14,3813,30,5.909155,0.0859459999999998,1
24,198.18.0.1,60426,198.18.0.23,5228,192.168.5.2,60428,221.5.100.174,2011,198.18.0.1,60426,198.18.0.23,5228,38,15693,40,6.123671,32.170313,4,mtalk.google.com,192.168.5.2,60428,221.5.100.174,2011,33,15819,29,5.908245,32.205642,4
25,198.18.0.1,60432,198.18.0.22,443,192.168.5.2,60435,221.5.100.174,2011,198.18.0.1,60432,198.18.0.22,443,47,19839,44,6.173609,32.144888,7,update.googleapis.com,192.168.5.2,60435,221.5.100.174,2011,42,21059,33,5.959185,32.181274,7
26,198.18.0.1,60431,198.18.0.21,443,192.168.5.2,60434,221.5.100.174,2011,198.18.0.1,60431,198.18.0.21,443,48,18544,43,6.173443,32.14415,7,clients2.google.com,192.168.5.2,60434,221.5.100.174,2011,41,21565,32,5.958436,32.182045,7
27,198.18.0.1,60430,198.18.0.24,443,192.168.5.2,60433,221.5.100.174,2011,198.18.0.1,60430,198.18.0.24,443,51,18739,42,6.173254,32.144205,9,android.clients.google.com,192.168.5.2,60433,221.5.100.174,2011,44,22588,31,5.958312,32.181541,9
28,198.18.0.1,60436,198.18.0.27,443,192.168.5.2,60437,221.5.100.174,2011,198.18.0.1,60436,198.18.0.27,443,184,93027,45,6.831081,31.486351,33,optimizationguide-pa.googleapis.com,192.168.5.2,60437,221.5.100.174,2011,145,91956,34,6.616455,31.522039,33
29,198.18.0.1,60438,198.18.0.28,443,192.168.5.2,60439,221.5.100.174,2011,198.18.0.1,60438,198.18.0.28,443,27,14668,46,6.833633,0.1024130000000003,3,drive.google.com,192.168.5.2,60439,221.5.100.174,2011,25,13841,35,6.618378,0.1419040000000002,3
30,198.18.0.1,60440,198.18.0.28,443,192.168.5.2,60441,221.5.100.174,2011,198.18.0.1,60440,198.18.0.28,443,7651,6023185,47,6.836315,31.480983,99,drive.google.com,192.168.5.2,60441,221.5.100.174,2011,3044,3163711,36,6.621759,31.516801,103
31,198.18.0.1,60442,198.18.0.10,443,192.168.5.2,60443,221.5.100.174,2011,198.18.0.1,60442,198.18.0.10,443,2980,2172553,48,7.319333,30.998545,49,accounts.google.com,192.168.5.2,60443,221.5.100.174,2011,1151,1156096,37,7.104088,31.035674,49
32,198.18.0.1,60444,198.18.0.33,443,192.168.5.2,60445,221.5.100.174,2011,198.18.0.1,60444,198.18.0.33,443,190,131965,49,7.902585,30.41468,15,lh3.googleusercontent.com,192.168.5.2,60445,221.5.100.174,2011,132,104341,38,7.687501,30.45319,15
33,198.18.0.1,60446,198.18.0.34,443,192.168.5.2,60447,221.5.100.174,2011,198.18.0.1,60446,198.18.0.34,443,387,278577,50,7.925547,30.39277,15,fonts.gstatic.com,192.168.5.2,60447,221.5.100.174,2011,160,151741,39,7.710358,30.430080000000004,15
34,198.18.0.1,60448,198.18.0.32,443,192.168.5.2,60449,221.5.100.174,2011,198.18.0.1,60448,198.18.0.32,443,704,491765,51,7.939864,30.378515,45,ssl.gstatic.com,192.168.5.2,60449,221.5.100.174,2011,387,327652,40,7.724692,30.415184,45
36,198.18.0.1,60452,198.18.0.11,443,192.168.5.2,60453,221.5.100.174,2011,198.18.0.1,60452,198.18.0.11,443,92,49977,54,8.543481,29.774814,13,www.google.com,192.168.5.2,60453,221.5.100.174,2011,69,48278,42,8.329167,29.811335,13
37,198.18.0.1,60455,198.18.0.41,443,192.168.5.2,60457,221.5.100.174,2011,198.18.0.1,60455,198.18.0.41,443,10,2293,57,10.091961,0.1001480000000007,1,play.google.com,192.168.5.2,60457,221.5.100.174,2011,21,11999,43,9.876839,0.0993149999999989,2
38,198.18.0.1,60454,198.18.0.41,443,192.168.5.2,60456,221.5.100.174,2011,198.18.0.1,60454,198.18.0.41,443,338,187161,56,10.091671,28.225952,53,play.google.com,192.168.5.2,60456,221.5.100.174,2011,391,223874,44,9.87684,28.264874,51
39,198.18.0.1,60458,198.18.0.36,443,192.168.5.2,60459,221.5.100.174,2011,198.18.0.1,60458,198.18.0.36,443,2268,1748019,58,10.11347,28.205861,53,www.gstatic.com,192.168.5.2,60459,221.5.100.174,2011,931,967502,45,9.9027,28.238056000000004,51
40,198.18.0.1,60460,198.18.0.38,443,192.168.5.2,60461,221.5.100.174,2011,198.18.0.1,60460,198.18.0.38,443,79,23229,60,10.421942,27.895769,21,content-autofill.googleapis.com,192.168.5.2,60461,221.5.100.174,2011,72,34539,46,10.206829,27.934861,21
41,198.18.0.1,60462,198.18.0.19,443,192.168.5.2,60463,221.5.100.174,2011,198.18.0.1,60462,198.18.0.19,443,71,33737,61,10.544106,27.775565,11,clients4.google.com,192.168.5.2,60463,221.5.100.174,2011,74,39107,47,10.329158,27.814937,11
42,198.18.0.1,60464,198.18.0.41,443,192.168.5.2,60465,221.5.100.174,2011,198.18.0.1,60464,198.18.0.41,443,53,18010,62,10.840773,27.478444000000003,11,play.google.com,192.168.5.2,60465,221.5.100.174,2011,45,21266,48,10.625551,27.515112,11
43,198.18.0.1,60470,198.18.0.16,443,192.168.5.2,60472,221.5.100.174,2011,198.18.0.1,60470,198.18.0.16,443,44,10684,65,14.329914,23.989386,9,www.googleapis.com,192.168.5.2,60472,221.5.100.174,2011,43,15420,51,14.114581,24.026881,9
44,198.18.0.1,60471,198.18.0.80,443,192.168.5.2,60473,221.5.100.174,2011,198.18.0.1,60471,198.18.0.80,443,29,13177,66,14.330583,23.990417,4,accountcapabilities-pa.googleapis.com,192.168.5.2,60473,221.5.100.174,2011,26,12374,52,14.114962,24.03145,4
46,198.18.0.1,60476,198.18.0.85,443,192.168.5.2,60477,221.5.100.174,2011,198.18.0.1,60476,198.18.0.85,443,40,18808,69,14.773647,23.545894,7,accounts.google.com.hk,192.168.5.2,60477,221.5.100.174,2011,38,19695,54,14.558364,23.58337,7
47,198.18.0.1,60479,198.18.0.30,443,192.168.5.2,60481,120.232.217.159,2011,198.18.0.1,60479,198.18.0.30,443,512,383693,72,16.16125,22.157562,17,apis.google.com,192.168.5.2,60481,120.232.217.159,2011,224,210945,57,15.945888,22.192076,17
49,198.18.0.1,60483,198.18.0.86,443,192.168.5.2,60485,120.232.217.159,2011,198.18.0.1,60483,198.18.0.86,443,63,26412,74,16.377435,21.939891000000003,9,drive-thirdparty.googleusercontent.com,192.168.5.2,60485,120.232.217.159,2011,50,28045,59,16.161934,21.974213,9
50,198.18.0.1,60482,198.18.0.86,443,192.168.5.2,60484,120.232.217.159,2011,198.18.0.1,60482,198.18.0.86,443,10,2380,73,16.377226,0.0886519999999997,1,drive-thirdparty.googleusercontent.com,192.168.5.2,60484,120.232.217.159,2011,24,15967,58,16.161879,0.0906350000000024,2
51,198.18.0.1,60486,198.18.0.35,443,192.168.5.2,60487,120.232.217.159,2011,198.18.0.1,60486,198.18.0.35,443,72,20380,75,16.528277,21.790703000000004,23,clients6.google.com,192.168.5.2,60487,120.232.217.159,2011,79,32342,60,16.313585,21.824951,23
52,198.18.0.1,60489,198.18.0.37,443,192.168.5.2,60490,120.232.217.159,2011,198.18.0.1,60489,198.18.0.37,443,116,32504,77,16.587632,21.731401,26,drivefrontend-pa.clients6.google.com,192.168.5.2,60490,120.232.217.159,2011,113,48350,61,16.372453,21.76613,24
53,198.18.0.1,60488,198.18.0.37,443,192.168.5.2,60491,120.232.217.159,2011,198.18.0.1,60488,198.18.0.37,443,35,19892,76,16.58748,0.1291060000000001,3,drivefrontend-pa.clients6.google.com,192.168.5.2,60491,120.232.217.159,2011,27,16968,62,16.372746,0.1668599999999998,3
54,198.18.0.1,60492,198.18.0.37,443,192.168.5.2,60493,120.232.217.159,2011,198.18.0.1,60492,198.18.0.37,443,37,19612,78,16.620935,21.700119,4,drivefrontend-pa.clients6.google.com,192.168.5.2,60493,120.232.217.159,2011,33,19114,63,16.406321,21.739311,4
55,198.18.0.1,60494,198.18.0.39,443,192.168.5.2,60495,120.232.217.159,2011,198.18.0.1,60494,198.18.0.39,443,44,17285,79,16.841057,21.477587,9,ogads-pa.clients6.google.com,192.168.5.2,60495,120.232.217.159,2011,42,26302,64,16.625868,21.514543,9
56,198.18.0.1,60496,198.18.0.40,443,192.168.5.2,60497,120.232.217.159,2011,198.18.0.1,60496,198.18.0.40,443,53,24592,80,16.842831,21.475582,9,waa-pa.clients6.google.com,192.168.5.2,60497,120.232.217.159,2011,45,25094,65,16.62737,21.512431,9
57,198.18.0.1,60498,198.18.0.35,443,192.168.5.2,60499,120.232.217.159,2011,198.18.0.1,60498,198.18.0.35,443,28298,23404638,81,16.87343,21.445039,143,clients6.google.com,192.168.5.2,60499,120.232.217.159,2011,23311,23605009,66,16.658978,21.47489,145
58,198.18.0.1,60500,198.18.0.37,443,192.168.5.2,60501,120.232.217.159,2011,198.18.0.1,60500,198.18.0.37,443,247,149100,82,16.95844,21.361769,43,drivefrontend-pa.clients6.google.com,192.168.5.2,60501,120.232.217.159,2011,287,167720,67,16.743148,21.405482,43
