,inRemoteIP,inRemotePort,inLocIP,inLocPort,outLocIP,outLocPort,outRemoteIP,outRemotePort,M Address A,M Port A,M Address B,M Port B,M Packets,M Bytes,M Stream ID,M Rel Start,M Duration,M Flows,Server Name,W Address A,W Port A,W Address B,W Port B,W Packets,W Bytes,W Stream ID,W Rel Start,W Duration,W Flows
30,198.18.0.1,60839,198.18.0.81,443,192.168.5.2,60842,221.5.100.174,2011,198.18.0.1,60839,198.18.0.81,443,116,42510,44,10.684825,237.563905,8,open.spotify.com,192.168.5.2,60842,221.5.100.174,2011,97,43163,38,10.801903,237.60288,8
31,198.18.0.1,60840,198.18.0.81,443,192.168.5.2,60841,221.5.100.174,2011,198.18.0.1,60840,198.18.0.81,443,28,7041,45,10.684968,65.318701,3,open.spotify.com,192.168.5.2,60841,221.5.100.174,2011,29,9644,37,10.801898,65.355185,3
32,198.18.0.1,60847,198.18.0.85,443,192.168.5.2,60851,221.5.100.174,2011,198.18.0.1,60847,198.18.0.85,443,79,12578,48,11.261058,236.987088,11,apresolve.spotify.com,192.168.5.2,60851,221.5.100.174,2011,71,22095,41,11.37965,237.025543,11
33,198.18.0.1,60848,198.18.0.86,443,192.168.5.2,60856,221.5.100.174,2011,198.18.0.1,60848,198.18.0.86,443,265,74969,49,11.262653,236.985416,69,api-partner.spotify.com,192.168.5.2,60856,221.5.100.174,2011,238,115020,42,11.381241,237.023908,69
34,198.18.0.1,60849,198.18.0.87,443,192.168.5.2,60857,221.5.100.174,2011,198.18.0.1,60849,198.18.0.87,443,77,12659,50,11.262957,236.985037,9,clienttoken.spotify.com,192.168.5.2,60857,221.5.100.174,2011,66,20193,43,11.381378,237.023517,9
35,198.18.0.1,60852,198.18.0.83,443,192.168.5.2,60859,221.5.100.174,2011,198.18.0.1,60852,198.18.0.83,443,1555,1230480,52,11.265029,120.172649,6,encore.scdn.co,192.168.5.2,60859,221.5.100.174,2011,593,610380,45,11.382266,120.521204,6
36,198.18.0.1,60850,198.18.0.83,443,192.168.5.2,60858,221.5.100.174,2011,198.18.0.1,60850,198.18.0.83,443,18,7284,51,11.264234,0.0927980000000001,3,encore.scdn.co,192.168.5.2,60858,221.5.100.174,2011,21,8174,44,11.381898,0.1289490000000004,3
37,198.18.0.1,60854,198.18.0.83,443,192.168.5.2,60862,221.5.100.174,2011,198.18.0.1,60854,198.18.0.83,443,18,7222,54,11.265472,0.0919369999999997,3,encore.scdn.co,192.168.5.2,60862,221.5.100.174,2011,22,9712,48,11.383135,0.1287720000000014,4
38,198.18.0.1,60853,198.18.0.83,443,192.168.5.2,60860,221.5.100.174,2011,198.18.0.1,60853,198.18.0.83,443,14,6910,53,11.265267,0.0919410000000002,2,encore.scdn.co,192.168.5.2,60860,221.5.100.174,2011,20,8141,46,11.383079,0.1288539999999987,2
39,198.18.0.1,60855,198.18.0.83,443,192.168.5.2,60861,221.5.100.174,2011,198.18.0.1,60855,198.18.0.83,443,26,8339,55,11.265732,57.808388,4,encore.scdn.co,192.168.5.2,60861,221.5.100.174,2011,27,10984,47,11.383125,12.840414,4
