,Time,Direction,StreamID
0,6.486124,1,30.0
1,6.489169,0,30.0
2,6.529522,1,30.0
3,6.529984,0,30.0
4,6.530807,1,30.0
5,6.572203,0,30.0
6,18.717692,1,91.0
7,18.718792,0,91.0
8,18.759487,1,91.0
9,18.759997,0,91.0
10,18.760292,1,91.0
11,25.501171,0,91.0
12,25.512048,1,91.0
13,25.512753,0,91.0
14,34.234042,1,91.0
15,34.23755,0,91.0
16,34.237584,1,91.0
17,34.739967,0,91.0
18,34.740227,1,91.0
19,35.026403,0,91.0
20,35.026475,1,91.0
21,35.171711,0,91.0
22,35.171747,1,91.0
23,35.315836,0,91.0
24,35.315916,1,91.0
25,35.604139,0,91.0
26,35.604948,1,91.0
27,35.908933,0,91.0
28,35.909173,1,91.0
29,35.910356,0,91.0
30,35.910438,1,91.0
31,36.217877,0,91.0
32,36.21792,1,91.0
33,36.53753,0,91.0
34,36.537718,1,91.0
35,36.647397,0,91.0
36,36.647515,1,91.0
37,36.801765,0,91.0
38,11.695759,1,46.0
39,11.697671,0,46.0
40,11.7363,1,46.0
41,11.737485,0,46.0
42,11.875779,1,46.0
43,3.839069,1,23.0
44,3.845282,0,23.0
45,3.888626,1,23.0
46,3.889104,0,23.0
47,3.921594,1,23.0
48,3.922614,0,23.0
49,9.248166,1,39.0
50,9.250212,0,39.0
51,9.288505,1,39.0
52,9.288869,0,39.0
53,9.504585,1,39.0
54,9.505456,0,39.0
55,9.792492,1,39.0
56,9.793463,0,39.0
57,14.547101,1,72.0
58,14.548922,0,72.0
59,14.546139,1,71.0
60,14.548664,0,71.0
61,14.587316,1,71.0
62,14.58775,0,71.0
63,14.587974,1,71.0
64,14.693739,0,71.0
65,14.784953,1,71.0
66,14.785495,0,71.0
67,14.793403,1,71.0
68,14.928831,0,71.0
69,14.934292,1,71.0
70,14.935813,0,71.0
71,14.940079,1,71.0
72,15.683343,0,71.0
73,15.924513,1,71.0
74,15.925911,0,71.0
75,19.482998,1,71.0
76,19.483722,0,71.0
77,20.085502,1,71.0
78,20.086148,0,71.0
79,3.626846,1,20.0
80,3.627848,0,20.0
81,3.678797,1,20.0
82,3.67909,0,20.0
83,3.693333,1,20.0
84,3.694855,0,20.0
85,8.544282,1,35.0
86,11.62236,1,44.0
87,11.922986,1,51.0
88,11.924576,0,51.0
89,11.963374,1,51.0
90,26.981151,0,51.0
91,18.364642,1,87.0
92,18.366583,0,87.0
93,18.406062,1,87.0
94,18.40657,0,87.0
95,18.616404,1,87.0
96,18.616893,0,87.0
97,5.547758,1,28.0
98,5.549392,0,28.0
99,5.588407,1,28.0
100,5.588651,0,28.0
101,5.905771,1,28.0
102,5.90644,0,28.0
103,15.455823,1,82.0
104,15.456562,0,82.0
105,15.495731,1,82.0
106,15.496031,0,82.0
107,15.496239,1,82.0
108,15.510944,0,82.0
109,14.088224,1,60.0
110,14.089727,0,60.0
111,14.129465,1,60.0
112,14.129708,0,60.0
113,14.15048,1,60.0
114,14.150766,0,60.0
115,15.571353,1,60.0
116,15.57194,0,60.0
117,15.850528,1,60.0
118,15.851467,0,60.0
119,16.105814,1,60.0
120,16.106792,0,60.0
121,16.111991,1,60.0
122,16.765784,0,60.0
123,16.847743,1,60.0
124,16.848338,0,60.0
125,17.419196,1,60.0
126,17.419921,0,60.0
127,17.449045,1,60.0
128,18.483205,0,60.0
129,18.540741,1,60.0
130,18.541937,0,60.0
131,20.456046,1,60.0
132,20.456543,0,60.0
133,23.466837,1,60.0
134,23.467507,0,60.0
135,26.320485,1,60.0
136,26.321126,0,60.0
137,41.21716,1,60.0
138,41.240599,0,60.0
139,41.240639,1,60.0
140,41.256896,0,60.0
141,41.262363,1,60.0
142,14.505644,1,69.0
143,14.510591,0,69.0
144,14.550419,1,69.0
145,14.550667,0,69.0
146,14.551922,1,69.0
147,14.554457,0,69.0
148,14.581753,1,69.0
149,14.760397,0,69.0
150,14.801055,1,69.0
151,14.819033,0,69.0
152,15.229512,1,69.0
153,15.231887,0,69.0
154,15.409492,1,69.0
155,15.411815,0,69.0
156,15.967146,1,69.0
157,15.969601,0,69.0
158,16.018432,1,69.0
159,16.019178,0,69.0
160,16.03402,1,69.0
161,16.25805,0,69.0
162,16.299466,1,69.0
163,16.299971,0,69.0
164,18.495055,1,69.0
165,18.504905,0,69.0
166,19.11701,1,69.0
167,19.149192,0,69.0
168,19.336333,1,69.0
169,19.369691,0,69.0
170,19.443995,1,69.0
171,19.445914,0,69.0
172,19.465429,1,69.0
173,19.539785,0,69.0
174,19.581346,1,69.0
175,19.581801,0,69.0
176,14.529608,1,70.0
177,14.531567,0,70.0
178,14.581753,1,70.0
179,14.583687,0,70.0
180,14.615856,1,70.0
181,14.616519,0,70.0
182,14.619006,1,70.0
183,18.553134,0,70.0
184,18.592064,1,70.0
185,18.598398,0,70.0
186,9.263799,1,40.0
187,9.265141,0,40.0
188,9.304636,1,40.0
189,9.305023,0,40.0
190,9.305295,1,40.0
191,9.318802,0,40.0
192,6.500227,1,31.0
193,6.502929,0,31.0
194,6.549845,1,31.0
195,6.550585,0,31.0
196,6.551002,1,31.0
197,6.615367,0,31.0
198,11.842092,1,49.0
199,11.84412,0,49.0
200,11.885312,1,49.0
201,11.885699,0,49.0
202,11.903137,1,49.0
203,11.904009,0,49.0
204,36.564807,1,49.0
205,36.584377,0,49.0
206,15.480401,1,83.0
207,15.483264,0,83.0
208,15.522293,1,83.0
209,15.522629,0,83.0
210,15.558216,1,83.0
211,15.559126,0,83.0
212,21.471204,1,83.0
213,21.471846,0,83.0
214,18.722334,1,92.0
215,18.724144,0,92.0
216,18.762941,1,92.0
217,18.763216,0,92.0
218,18.8262,1,92.0
219,18.833896,0,92.0
220,18.884746,1,92.0
221,18.947376,0,92.0
222,19.007873,1,92.0
223,19.078534,0,92.0
224,19.285265,1,92.0
225,19.285936,0,92.0
226,19.400389,1,92.0
227,19.40098,0,92.0
228,14.884117,1,78.0
229,14.885578,0,78.0
230,14.924426,1,78.0
231,14.925332,0,78.0
232,14.926235,1,78.0
233,15.240099,0,78.0
234,15.26078,1,78.0
235,15.61935,0,78.0
236,15.953424,1,78.0
237,15.954006,0,78.0
238,16.271889,1,78.0
239,16.272463,0,78.0
240,16.319409,1,78.0
241,16.319912,0,78.0
242,16.637301,1,78.0
243,16.637811,0,78.0
244,19.816101,1,78.0
245,19.816657,0,78.0
246,21.376933,1,78.0
247,21.377745,0,78.0
248,21.377886,1,78.0
249,21.380469,0,78.0
250,21.760101,1,78.0
251,21.760741,0,78.0
252,21.781736,1,78.0
253,21.913195,0,78.0
254,21.968155,1,78.0
255,21.96872,0,78.0
256,22.088566,1,78.0
257,22.090069,0,78.0
258,22.179056,1,78.0
259,22.180765,0,78.0
260,22.231644,1,78.0
261,22.233169,0,78.0
262,5.54468,1,27.0
263,5.546399,0,27.0
264,5.585632,1,27.0
265,5.586082,0,27.0
266,5.679323,1,27.0
267,5.685181,0,27.0
268,6.036834,1,27.0
269,6.044427,0,27.0
270,6.104739,1,27.0
271,6.10588,0,27.0
272,6.843053,1,27.0
273,6.843802,0,27.0
274,6.844181,1,27.0
275,8.252589,0,27.0
276,8.377637,1,27.0
277,8.37884,0,27.0
278,18.572521,1,88.0
279,18.574011,0,88.0
280,18.612955,1,88.0
281,18.61336,0,88.0
282,18.613645,1,88.0
283,18.640205,0,88.0
284,18.683337,1,88.0
285,18.689433,0,88.0
286,11.924192,1,52.0
287,11.925504,0,52.0
288,11.96513,1,52.0
289,11.965566,0,52.0
290,11.966373,1,52.0
291,12.0108,0,52.0
292,12.086578,1,52.0
293,12.087476,0,52.0
294,11.932562,1,50.0
295,11.934014,0,50.0
296,11.985389,1,50.0
297,11.985807,0,50.0
298,12.000446,1,50.0
299,12.001642,0,50.0
300,12.02737,1,50.0
301,12.068798,0,50.0
302,15.173617,1,50.0
303,15.174246,0,50.0
304,16.28183,1,50.0
305,16.282429,0,50.0
306,19.05124,1,50.0
307,19.051796,0,50.0
308,5.555766,1,29.0
309,5.556653,0,29.0
310,5.597209,1,29.0
311,12.130368,1,54.0
312,12.132047,0,54.0
313,12.172091,1,54.0
314,12.172474,0,54.0
315,12.212678,1,54.0
316,12.213288,0,54.0
317,13.108459,1,54.0
318,13.109033,0,54.0
319,13.940773,1,54.0
320,13.987958,0,54.0
321,13.990009,1,54.0
322,14.076296,0,54.0
323,14.076387,1,54.0
324,14.076389,0,54.0
325,14.078655,1,54.0
326,14.169947,0,54.0
327,14.170673,1,54.0
328,14.355804,0,54.0
329,14.396483,1,54.0
330,14.396884,0,54.0
331,14.407049,1,54.0
332,14.484012,0,54.0
333,14.493838,1,54.0
334,14.513511,0,54.0
335,14.525023,1,54.0
336,14.529007,0,54.0
337,14.581753,1,54.0
338,14.618191,0,54.0
339,14.626174,1,54.0
340,14.661745,0,54.0
341,14.662706,1,54.0
342,14.676712,0,54.0
343,14.713773,1,54.0
344,14.714592,0,54.0
345,14.718897,1,54.0
346,14.786984,0,54.0
347,14.827341,1,54.0
348,14.827897,0,54.0
349,14.855462,1,54.0
350,14.855856,0,54.0
351,14.85775,1,54.0
352,14.858347,0,54.0
353,14.864956,1,54.0
354,14.870331,0,54.0
355,14.872732,1,54.0
356,14.873323,0,54.0
357,14.892344,1,54.0
358,14.936051,0,54.0
359,14.977724,1,54.0
360,14.977776,0,54.0
361,14.981982,1,54.0
362,14.986221,0,54.0
363,15.018718,1,54.0
364,15.019318,0,54.0
365,15.026198,1,54.0
366,15.051669,0,54.0
367,15.093367,1,54.0
368,15.094217,0,54.0
369,15.098402,1,54.0
370,15.305023,0,54.0
371,15.345351,1,54.0
372,15.348823,0,54.0
373,15.389107,1,54.0
374,15.390451,0,54.0
375,15.393496,1,54.0
376,15.409411,0,54.0
377,15.409492,1,54.0
378,15.438729,0,54.0
379,15.453057,1,54.0
380,15.454187,0,54.0
381,15.482313,1,54.0
382,15.486155,0,54.0
383,15.490593,1,54.0
384,15.495587,0,54.0
385,15.51872,1,54.0
386,15.519842,0,54.0
387,15.528212,1,54.0
388,15.562098,0,54.0
389,15.701404,1,54.0
390,15.701976,0,54.0
391,15.72517,1,54.0
392,15.753507,0,54.0
393,15.793172,1,54.0
394,15.793844,0,54.0
395,15.904149,1,54.0
396,15.904507,0,54.0
397,16.865475,1,54.0
398,16.866185,0,54.0
399,18.262714,1,54.0
400,18.264839,0,54.0
401,18.395205,1,54.0
402,18.395834,0,54.0
403,18.395991,1,54.0
404,18.475874,0,54.0
405,18.739459,1,54.0
406,18.74011,0,54.0
407,19.308454,1,54.0
408,19.313413,0,54.0
409,41.223914,1,54.0
410,41.277333,0,54.0
411,14.174414,1,61.0
412,14.175955,0,61.0
413,14.221236,1,61.0
414,14.222154,0,61.0
415,14.319408,1,61.0
416,14.320015,0,61.0
417,14.452701,1,61.0
418,14.453205,0,61.0
419,15.425285,1,61.0
420,15.426037,0,61.0
421,15.426191,1,61.0
422,15.921768,0,61.0
423,15.963329,1,61.0
424,15.963915,0,61.0
425,18.547753,1,61.0
426,18.556911,0,61.0
427,18.557277,1,61.0
428,18.607616,0,61.0
429,18.61317,1,61.0
430,19.136844,0,61.0
431,19.178826,1,61.0
432,19.182343,0,61.0
433,19.183077,1,61.0
434,19.244046,0,61.0
435,39.576084,1,61.0
436,39.590253,0,61.0
437,3.434287,1,9.0
438,3.436015,0,9.0
439,3.475245,1,9.0
440,3.475869,0,9.0
441,3.501338,1,9.0
