Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Rel Start,Duration,Bits/s A to B,Bits/s B to A,Flows
192.168.5.2,61975,221.5.100.174,2064,33,13576,25,15,6523,18,7053,3.776334,1.918689,27197,29407,6
192.168.5.2,61992,121.43.167.86,443,37,14263,32,18,4515,19,9748,4.260758,1.2424020000000002,29072,62768,6
192.168.5.2,62050,52.167.17.97,443,23,7756,53,12,2709,11,5047,7.708571,1.5352439999999996,14116,26299,6
192.168.5.2,62154,119.188.204.71,443,122,70369,96,48,5666,74,64703,13.81276,270.455499,167,1913,6
192.168.5.2,62167,119.188.204.71,443,61,15896,101,29,4449,32,11447,15.454194,255.790208,139,358,6
192.168.5.2,62211,20.213.196.214,443,28,7591,114,14,1864,14,5727,63.089242,75.022789,198,610,6
192.168.5.2,62231,103.166.52.49,2064,34,14099,123,16,7750,18,6349,75.765025,6.173675000000003,10042,8227,6
192.168.5.2,62233,103.166.52.49,2064,32,14628,124,15,8306,17,6322,75.775768,6.635729999999995,10013,7621,6
192.168.5.2,62237,103.166.52.49,2064,32,13277,126,14,6937,18,6340,77.965601,5.901474999999991,9403,8594,6
192.168.5.2,62241,103.166.52.49,2064,33,15470,128,15,9121,18,6349,79.613647,6.241035999999994,11691,8138,6
192.168.5.2,62319,112.83.75.1,443,31,9488,154,15,1900,16,7588,198.227131,75.050128,202,808,6
192.168.5.2,62323,1.92.89.108,443,25,6584,155,13,1957,12,4627,198.459883,75.117974,208,492,6
192.168.5.2,62325,124.236.26.167,80,26,6358,156,11,5132,15,1226,198.489292,15.152124999999984,2709,647,6
192.168.5.2,61913,23.218.210.69,443,26,10983,3,13,3085,13,7898,0.493186,0.997527,24741,63340,5
192.168.5.2,61923,23.218.210.69,443,25,10905,9,12,3027,13,7878,1.330805,0.9659799999999998,25068,65243,5
192.168.5.2,61935,23.218.210.69,443,24,11095,13,12,3271,12,7824,2.141163,1.006827,25990,62167,5
192.168.5.2,61980,23.218.210.69,443,25,10921,28,11,2965,14,7956,3.859676,1.0244620000000002,23153,62128,5
192.168.5.2,62005,23.218.210.69,443,28,11123,37,13,3105,15,8018,4.71978,1.0999309999999998,22583,58316,5
192.168.5.2,62039,23.218.210.69,443,40,14079,47,22,5851,18,8228,5.64125,16.929924,2764,3888,5
192.168.5.2,62074,23.218.210.69,443,25,11161,66,12,3271,13,7890,9.562173,1.0876610000000009,24058,58032,5
192.168.5.2,62427,120.232.217.159,2064,32,11221,184,15,6665,17,4556,278.058838,0.6211720000000014,85837,58676,5
23.218.210.69,443,192.168.5.2,61907,38,11984,0,19,8286,19,3698,0.0,17.026736,3893,1737,4
192.168.5.2,61963,122.192.189.41,443,23,8836,19,10,2477,13,6359,3.585369,0.0422739999999999,468751,1203387,4
192.168.5.2,61969,122.192.189.41,443,22,8686,21,10,2381,12,6305,3.585732,0.0418669999999998,454964,1204767,4
192.168.5.2,61971,122.192.189.41,443,22,8718,22,10,2413,12,6305,3.58576,0.0417999999999998,461818,1206698,4
192.168.5.2,61977,101.69.128.55,443,17,8177,27,9,2535,8,5642,3.777682,0.0570460000000001,355502,791221,4
192.168.5.2,62035,221.5.100.174,2064,67,19082,45,31,7936,36,11146,5.606028,271.826185,233,328,4
192.168.5.2,62055,221.5.100.174,2064,36,15657,55,16,5288,20,10369,7.863562,61.078569,692,1358,4
192.168.5.2,62065,221.5.100.174,2064,42,14365,60,20,7317,22,7048,8.755456,122.152817,479,461,4
192.168.5.2,62066,221.5.100.174,2064,42,13029,61,20,5979,22,7050,8.755485,122.15484600000002,391,461,4
192.168.5.2,62085,221.5.100.174,2064,735,509977,70,242,25035,493,484942,10.26442,131.064781,1528,29600,4
192.168.5.2,62094,221.5.100.174,2064,33,14263,74,15,7044,18,7219,10.706182,0.7862270000000002,71673,73454,4
192.168.5.2,62135,221.5.100.174,2064,26,11127,90,13,8660,13,2467,12.352111,0.777844,89066,25372,4
192.168.5.2,62324,124.236.26.167,80,18,4189,157,9,3447,9,742,198.489295,11.144049999999991,2474,532,4
192.168.5.2,62361,120.232.217.159,2064,603,530410,177,181,20906,422,509504,254.046709,31.68713,5278,128633,4
192.168.5.2,62059,221.5.100.174,2064,22,11080,58,10,4283,12,6797,8.571173,0.6019109999999994,56925,90338,3
192.168.5.2,62095,221.5.100.174,2064,32,16092,73,15,8938,17,7154,10.706182,0.7869170000000008,90865,72729,3
192.168.5.2,62122,221.5.100.174,2064,26,9758,86,13,7291,13,2467,11.464695,0.7908019999999993,73758,24956,3
192.168.5.2,62123,221.5.100.174,2064,28,10345,87,14,7812,14,2533,11.465185,0.8367590000000007,74688,24217,3
192.168.5.2,62133,221.5.100.174,2064,25,11129,89,14,8794,11,2335,12.217826,0.7977489999999996,88188,23415,3
192.168.5.2,62144,221.5.100.174,2064,33,14428,93,16,7273,17,7155,13.063478,0.7844259999999998,74173,72970,3
192.168.5.2,62145,221.5.100.174,2064,33,13963,94,16,6808,17,7155,13.063479,0.7865510000000011,69244,72773,3
192.168.5.2,62157,221.5.100.174,2064,28,10108,97,14,7575,14,2533,13.832002,0.7831299999999999,77381,25875,3
192.168.5.2,62158,221.5.100.174,2064,28,10909,98,14,8376,14,2533,13.832038,0.7544240000000002,88820,26860,3
192.168.5.2,62162,221.5.100.174,2064,28,9707,99,14,7174,14,2533,14.556106,0.7880450000000003,72828,25714,3
192.168.5.2,62164,221.5.100.174,2064,28,10379,100,14,7846,14,2533,14.58306,0.7753449999999997,80954,26135,3
192.168.5.2,62215,27.212.119.142,6881,9,1610,116,5,1058,4,552,64.104087,0.0903599999999897,93669,48871,3
192.168.5.2,62265,58.192.113.12,7680,14,1056,136,7,532,7,524,122.482273,0.0094349999999963,451086,444303,3
192.168.5.2,62289,121.248.54.219,7680,12,948,143,7,532,5,416,162.77142,0.0354339999999808,120110,93921,3
192.168.5.2,62304,27.212.119.142,6881,12,2171,146,7,1253,5,918,184.39961,0.103695000000016,96668,70823,3
192.168.5.2,61966,122.192.189.41,443,16,7614,17,8,2193,8,5421,3.585302,0.0445419999999998,393875,973642,2
192.168.5.2,61967,122.192.189.41,443,16,7614,20,8,2193,8,5421,3.585516,0.0443939999999996,395188,976888,2
192.168.5.2,61993,121.43.167.86,443,13,6615,31,7,2202,6,4413,4.260758,0.055422,317852,637003,2
192.168.5.2,62012,221.5.100.174,2064,22,13830,38,9,4935,13,8895,5.18199,0.4173309999999999,94601,170512,2
192.168.5.2,62105,221.5.100.174,2064,18,9787,78,9,3612,9,6175,11.036146,0.4469829999999994,64646,110518,2
192.168.5.2,62116,221.5.100.174,2064,21,13101,83,9,4441,12,8660,11.462574,0.4362720000000006,81435,158800,2
192.168.5.2,51254,103.212.12.52,3000,3,200,110,2,133,1,67,47.824683,0.0776910000000015,13695,6899,2
192.168.5.2,61895,23.218.210.69,443,6,497,1,5,443,1,54,0.159346,14.704076,241,29,1
192.168.5.2,61819,59.24.3.174,443,8,4756,2,8,4756,0,0,0.410653,164.270451,231,0,1
192.168.5.2,61867,23.218.210.69,443,4,303,4,3,249,1,54,0.559382,11.534775,172,37,1
192.168.5.2,61985,221.5.100.174,2064,17,4854,29,9,4318,8,536,3.972064,0.3980700000000001,86778,10771,1
192.168.5.2,61991,27.212.119.142,6881,8,612,30,5,406,3,206,4.064038,0.0458579999999999,70827,35937,1
192.168.5.2,62002,121.43.167.86,443,16,6901,36,8,2332,8,4569,4.462911,0.032515,573765,1124158,1
192.168.5.2,62030,221.5.100.174,2064,17,4007,40,9,3471,8,536,5.576606,0.4116230000000005,67459,10417,1
192.168.5.2,62031,221.5.100.174,2064,17,4483,41,9,3947,8,536,5.576606,0.4059309999999998,77786,10563,1
192.168.5.2,62033,221.5.100.174,2064,17,4257,42,9,3661,8,596,5.589431,0.4151389999999999,70549,11485,1
