Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Rel Start,Duration,Bits/s A to B,Bits/s B to A,Flows
198.18.0.1,61995,198.18.0.11,443,36,14987,31,17,3252,19,11735,4.268261,1.2183029999999997,21354.0,77058.0,7
198.18.0.1,61948,198.18.0.12,443,37,14406,13,17,3493,20,10913,3.490621,1.99555,14003.0,43749.0,7
198.18.0.1,62212,198.18.0.18,443,85,28784,145,43,13639,42,15145,63.094412,210.714323,517.0,574.0,7
198.18.0.1,61997,198.18.0.19,443,37,14678,33,17,3499,20,11179,4.296894,1.189566,23531.0,75180.0,7
198.18.0.1,62208,198.18.0.24,443,82,24828,143,40,13776,42,11052,61.916436,210.6728,523.0,419.0,7
198.18.0.1,62426,198.18.0.42,443,25,7719,254,12,3833,13,3886,278.055992,0.5874210000000062,52201.0,52922.0,7
198.18.0.1,62278,198.18.0.63,443,55,16595,171,26,4251,29,12344,139.563336,135.641976,250.0,728.0,7
198.18.0.4,443,198.18.0.1,61905,42,12728,0,23,9550,19,3178,0.0,45.489424,1679.0,558.0,7
198.18.0.1,61918,198.18.0.6,443,39,14401,3,19,6482,20,7919,0.972088,6.05851,8559.0,10456.0,6
198.18.0.1,61927,198.18.0.7,443,71,13451,5,35,3792,36,9659,1.601682,225.670628,134.0,342.0,6
198.18.0.1,61946,198.18.0.10,443,28,10116,11,13,3562,15,6554,3.48336,2.001821,14235.0,26192.0,6
198.18.0.1,61989,198.18.0.17,443,49,15015,28,23,4547,26,10468,4.05598,1.4458010000000003,25159.0,57922.0,6
198.18.0.1,62049,198.18.0.27,443,31,8780,55,14,2657,17,6123,7.531258,1.7111270000000005,12422.0,28626.0,6
198.18.0.1,62152,198.18.0.51,443,176,90334,116,75,6734,101,83600,13.779697,270.156357,199.0,2475.0,6
198.18.0.1,62165,198.18.0.52,443,78,17320,125,37,4627,41,12693,15.422091,255.532723,144.0,397.0,6
198.18.0.1,62210,198.18.0.54,443,39,9349,144,18,1968,21,7381,62.923146,75.18777599999999,209.0,785.0,6
198.18.0.1,62230,198.18.0.56,443,35,11187,152,17,3417,18,7770,75.762118,5.969577000000001,4579.0,10412.0,6
198.18.0.1,62232,198.18.0.57,443,33,11104,153,16,3338,17,7766,75.772847,6.447050000000004,4142.0,9636.0,6
198.18.0.1,62236,198.18.0.59,443,32,11129,155,16,3463,16,7666,77.962605,5.686855000000008,4871.0,10784.0,6
198.18.0.1,62240,198.18.0.61,443,33,11085,157,16,3367,17,7718,79.610752,6.049194999999997,4452.0,10206.0,6
198.18.0.1,62318,198.18.0.65,443,35,9618,183,16,1918,19,7700,198.095045,75.18094199999999,204.0,819.0,6
198.18.0.1,62321,198.18.0.66,80,24,5890,185,12,5030,12,860,198.257514,60.352833,666.0,113.0,6
198.18.0.1,62322,198.18.0.67,443,29,7328,186,13,1927,16,5401,198.327267,75.23784699999999,204.0,574.0,6
198.18.0.1,62264,58.192.113.12,7680,16,1116,165,6,454,10,662,122.479007,45.01024699999999,80.0,117.0,4
198.18.0.1,62288,121.248.54.219,7680,16,1116,174,6,454,10,662,162.768305,45.03310099999999,80.0,117.0,4
198.18.0.1,61952,198.18.0.13,443,20,9810,17,10,2381,10,7429,3.492958,0.1330220000000004,143194.0,446783.0,4
198.18.0.1,61953,198.18.0.13,443,20,9778,18,10,2349,10,7429,3.493207,0.1326869999999997,141626.0,447911.0,4
198.18.0.1,61954,198.18.0.13,443,18,8502,19,9,2381,9,6121,3.49345,0.132498,143760.0,369575.0,4
198.18.0.1,61957,198.18.0.15,443,21,8163,22,10,2461,11,5702,3.544233,0.2884399999999996,68256.0,158147.0,4
198.18.0.1,62020,198.18.0.25,5228,72,15360,46,34,3694,38,11666,5.5034600000000005,271.135944,108.0,344.0,4
198.18.0.1,62053,198.18.0.29,443,37,16232,57,18,2864,19,13368,7.860887,60.881491,376.0,1756.0,4
198.18.0.1,62062,198.18.0.32,443,45,12278,63,21,3930,24,8348,8.752948,167.116304,188.0,399.0,4
198.18.0.1,62063,198.18.0.32,443,45,12320,64,21,3968,24,8352,8.753079,167.11670600000002,189.0,399.0,4
198.18.0.1,62084,198.18.0.36,443,1076,865461,71,455,32812,621,832649,10.261503,176.0339,1491.0,37840.0,4
198.18.0.1,62092,198.18.0.39,443,29,12935,76,13,4482,16,8453,10.701956,45.757111,783.0,1477.0,4
198.18.0.1,62093,198.18.0.39,443,25,10940,77,11,4378,14,6562,10.70231,45.756734,765.0,1147.0,4
198.18.0.1,62119,198.18.0.39,443,21,6585,92,9,4549,12,2036,11.462034,45.751165,795.0,356.0,4
198.18.0.1,62121,198.18.0.39,443,21,6529,93,9,4493,12,2036,11.462632,45.79402,784.0,355.0,4
198.18.0.1,62132,198.18.0.39,443,20,6501,102,9,4517,11,1984,12.214678,45.760497,789.0,346.0,4
198.18.0.1,62134,198.18.0.39,443,21,6529,103,9,4493,12,2036,12.341316,45.754096,785.0,355.0,4
198.18.0.1,62142,198.18.0.50,443,29,13033,109,13,4578,16,8455,13.060249,45.756131,800.0,1478.0,4
198.18.0.1,62143,198.18.0.50,443,25,10942,110,11,4378,14,6564,13.06049,45.752376,765.0,1147.0,4
198.18.0.1,62155,198.18.0.50,443,21,6529,117,9,4493,12,2036,13.828579,45.750846,785.0,356.0,4
198.18.0.1,62156,198.18.0.50,443,20,6533,118,9,4549,11,1984,13.828976,45.723953,795.0,347.0,4
198.18.0.1,62161,198.18.0.50,443,21,6521,122,9,4485,12,2036,14.553233,45.757078,784.0,355.0,4
198.18.0.1,62163,198.18.0.50,443,21,6529,123,9,4493,12,2036,14.580131,60.743068,591.0,268.0,4
198.18.0.1,62320,198.18.0.66,80,21,4105,184,9,3321,12,784,198.257373,56.3406,471.0,111.0,4
198.18.0.1,62360,198.18.0.68,443,1036,864784,201,431,31306,605,833478,254.043468,31.60014300000003,7925.0,211006.0,4
198.18.0.1,62214,27.212.119.142,6881,17,1912,146,7,1092,10,820,64.100361,45.092947,193.0,145.0,3
198.18.0.1,62302,27.212.119.142,6881,17,2263,177,7,1155,10,1108,184.396228,45.09096299999999,204.0,196.0,3
198.18.0.1,62058,198.18.0.30,443,25,11925,60,12,2463,13,9462,8.568382,0.409554,48110.0,184825.0,3
198.18.0.1,61950,198.18.0.13,443,17,8874,15,9,2217,8,6657,3.492375,0.1226039999999999,144660.0,434374.0,2
198.18.0.1,61951,198.18.0.13,443,15,7502,16,8,2153,7,5349,3.492683,0.1224060000000002,140712.0,349590.0,2
198.18.0.1,61988,198.18.0.17,443,12,6369,27,6,2040,6,4329,4.024268,0.2737850000000001,59608.0,126493.0,2
198.18.0.1,61994,198.18.0.17,443,12,5280,30,6,2104,6,3176,4.259556,0.2341740000000003,71878.0,108500.0,2
198.18.0.1,62190,10.201.205.213,7680,12,715,138,5,343,7,372,42.008657,50.002318,54.0,59.0,1
198.18.0.1,62430,10.203.154.37,7680,5,351,257,3,239,2,112,283.478406,0.0004660000000171,,,1
198.18.0.1,62344,10.203.247.218,7680,11,663,192,5,343,6,320,243.265894,35.00075499999997,78.0,73.0,1
198.18.0.1,61929,10.208.44.70,7680,12,715,6,5,343,7,372,1.928935,50.00251,54.0,59.0,1
198.18.0.1,62326,10.208.44.70,7680,12,715,187,5,343,7,372,203.017519,50.001694000000015,54.0,59.0,1
198.18.0.1,62244,10.208.151.193,7680,12,715,159,5,343,7,372,82.23551,50.00267600000001,54.0,59.0,1
198.18.0.1,61990,27.212.119.142,6881,12,708,29,5,336,7,372,4.060437,45.034809,59.0,66.0,1
198.18.0.1,62266,27.212.119.142,6881,12,708,166,5,336,7,372,124.248722,45.03552799999999,59.0,66.0,1
198.18.0.1,62348,27.212.119.142,6881,11,656,195,5,336,6,320,244.478214,30.036404999999974,89.0,85.0,1
198.18.0.1,62192,119.145.128.139,6881,6,641,139,4,529,2,112,43.72352,10.185842999999998,415.0,87.0,1
198.18.0.1,62258,119.145.128.139,6881,6,384,163,4,272,2,112,114.054954,10.193257000000004,213.0,87.0,1
198.18.0.1,62303,119.145.128.139,6881,6,427,178,4,315,2,112,184.396412,10.167697000000004,247.0,88.0,1
198.18.0.1,62362,119.145.128.139,6881,6,384,202,4,272,2,112,254.679969,10.175010000000016,213.0,88.0,1
