Name,Packets,Packets Rate,Bytes,Bytes Rate,Rel Start,Rel Start Rate,Duration,Duration Rate,Flows,Flows Rate,Average Packets Rate,Average Bytes Rate,Average Flows Rate
24-11-07--10-19-16,4187.8571,0.2515,2904615.667,0.2667,0.0246,0.0022,0.0348,0.0353,0.4286,0.0193,0.2631 ,0.3211 ,0.2298 
24-11-07--10-25-29,4200.2222,0.2701,2939480.444,0.2342,0.1261,0.0137,7.5222,0.0845,0,0,,,
24-11-07--10-32-20,3201.6087,0.2678,2276629.522,0.4624,0.2254,0.0262,28.0383,0.5384,0.2609,0.0768,,,
24-11-07--11-08-34,575.3902,0.312,368447.7317,0.7974,0.0036,0.0004,3.6869,0.0674,0.2195,0.1829,0.2969 ,0.6966 ,0.1851 
24-11-07--11-24-21,473.5192,0.2813,305374.2308,0.5934,0.0508,0.0067,0.9005,0.1186,0.1731,0.0643,,,
24-11-07--11-31-59,514,0.2973,327603.2791,0.6991,0.1173,0.0096,4.2209,0.1189,0.1628,0.1274,,,
24-11-07--15-15-47,243,0.2519,115819.9016,0.5304,0.0017,0.0003,0.0357,0.0372,0.2459,0.075,0.2606 ,0.5130 ,0.2430 
24-11-07--15-36-37,160.4038,0.2523,97692.0577,0.4498,0.0034,0.0006,0.04,0.0616,0.1923,0.041,,,
24-11-07--15-38-38,264.2364,0.2775,107061.6,0.5589,0.2146,0.025,0.0337,0.0582,0.2909,0.0765,,,
24-11-07--15-41-25,140.0312,0.3071,90773.9062,0.81,0.0045,0.0011,0.0355,0.0599,0.2031,0.1286,0.3005 ,0.7206 ,0.2491 
24-11-07--15-42-58,840.5672,0.277,593722.6269,0.6501,0.0457,0.0048,0.0337,0.0304,0.2985,0.1013,,,
24-11-07--15-46-14,827.7018,0.3174,600588.1404,0.7018,0.0017,0.0003,0.036,0.0871,0.2456,0.0947,,,
24-11-07--15-52-05,4319.1538,0.2971,2822485.923,0.4517,1.7093,0.1493,6.947,0.0477,0.3846,0.0778,0.2985 ,0.3905 ,0.2199 
24-11-07--15-58-43,3168.3125,0.3193,2082023.188,0.3216,0.0019,0.0002,2.8452,0.0414,0.125,0.0017,,,
24-11-07--16-04-47,2936.8,0.2792,1918532.75,0.3982,0.0022,0.0003,0.0497,0.0239,0.15,0.0511,,,
24-11-07--16-55-07,260.026,0.1958,120490.2727,0.3099,0.0027,0.0003,0.0363,0.0132,0.0649,0.0131,0.1765 ,0.2900 ,0.2191 
24-11-07--17-01-16,169.0476,0.1414,26289.4524,0.2189,0.0019,0.0004,0.0415,0.0185,0.381,0.0057,,,
24-11-07--17-06-23,260.3521,0.1922,126075.3099,0.3412,0.0028,0.0002,0.0401,0.0166,0.2113,0.0156,,,
