Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Rel Start,Duration,Bits/s A to B,Bits/s B to A,Flows
198.18.0.1,57435,198.18.0.182,443,9902,7689106,41,4361,378489,5541,7310617,6.662461,238.6346,12688.0,245081.0,117
198.18.0.1,57452,198.18.0.206,443,108758,87381483,49,47548,2985618,61210,84395865,7.692398,237.606867,100522.0,2841529.0,52
198.18.0.1,57439,198.18.0.183,443,1997,1531095,43,855,56633,1142,1474462,6.888302,238.409701,1900.0,49476.0,43
198.18.0.1,57448,198.18.0.27,443,569,287129,47,254,25708,315,261421,7.19779,238.098693,863.0,8783.0,29
198.18.0.1,57559,198.18.0.42,443,152,27499,105,74,15046,78,12453,68.874611,176.42377399999998,682.0,564.0,29
198.18.0.1,57375,198.18.0.176,443,1627,1253048,13,701,48708,926,1204340,3.572287,2.625864,148394.0,3669161.0,20
198.18.0.1,57488,198.18.0.20,443,138,36610,73,71,16214,67,20396,9.772671,235.525247,550.0,692.0,19
198.18.0.1,57545,198.18.0.175,443,267,182363,98,160,171852,107,10511,61.028769,184.2783,7460.0,456.0,19
198.18.0.1,57464,198.18.0.12,443,229,131286,58,100,9249,129,122037,8.38346,236.914,312.0,4120.0,17
198.18.0.1,57478,198.18.0.12,443,138,38408,68,65,8183,73,30225,9.541567,235.756899,277.0,1025.0,16
198.18.0.1,57428,198.18.0.181,443,111,23917,37,55,6132,56,17785,6.284677,239.012104,205.0,595.0,13
198.18.0.1,57474,198.18.0.191,443,205,105610,65,91,9421,114,96189,9.197733,236.10011,319.0,3259.0,13
198.18.0.1,57455,198.18.0.19,443,91,23899,51,43,6402,48,17497,7.799663,237.497707,215.0,589.0,11
198.18.0.1,57484,198.18.0.190,443,155,78782,71,68,6978,87,71804,9.625312,235.673364,236.0,2437.0,11
198.18.0.1,57406,198.18.0.9,443,38,14269,25,18,3982,20,10287,3.874429,2.320454,13728.0,35465.0,10
198.18.0.1,57442,198.18.0.36,443,119,48645,44,54,5971,65,42674,6.979249,238.317357,200.0,1432.0,10
198.18.0.1,57395,198.18.0.177,443,223,135697,19,96,9436,127,126261,3.57669,2.623139,28777.0,385068.0,10
198.18.0.1,57432,198.18.0.11,443,117,38067,39,55,6762,62,31305,6.65691,238.640295,226.0,1049.0,9
198.18.0.1,57504,198.18.0.19,443,84,16838,82,41,6780,43,10058,10.774916,234.521818,231.0,343.0,9
198.18.0.1,57556,198.18.0.19,443,74,17176,102,36,5400,38,11776,68.874143,176.424202,244.0,533.0,9
198.18.0.1,57606,198.18.0.19,443,57,15273,119,27,4085,30,11188,131.644589,113.653661,287.0,787.0,9
198.18.0.1,57520,198.18.0.78,443,88,25422,90,43,7761,45,17661,21.884301,223.412651,277.0,632.0,9
198.18.0.1,57486,198.18.0.6,443,106,44046,72,48,5592,58,38454,9.754811,235.543318,189.0,1306.0,8
198.18.0.1,57482,198.18.0.20,443,84,19253,70,40,4576,44,14677,9.621016,235.677056,155.0,498.0,8
198.18.0.1,57454,198.18.0.215,443,38,6481,50,18,2331,20,4150,7.740061,86.771184,214.0,382.0,8
198.18.0.1,57378,198.18.0.6,443,34,14161,16,17,3404,17,10757,3.573021,2.606834,10446.0,33011.0,7
198.18.0.1,57377,198.18.0.19,443,34,12601,15,16,3456,18,9145,3.572781,2.6069760000000004,10605.0,28063.0,7
198.18.0.1,57402,198.18.0.19,443,37,15268,22,17,3168,20,12100,3.767601,2.411994,10507.0,40132.0,7
198.18.0.1,57466,198.18.0.26,443,77,17203,59,37,4503,40,12700,8.395704,236.901894,152.0,428.0,7
198.18.0.1,57468,198.18.0.27,443,74,16497,62,36,4666,38,11831,8.901427,236.39608,157.0,400.0,7
198.18.0.1,57616,198.18.0.42,443,64,13945,123,31,5095,33,8850,137.753571,107.54332100000002,379.0,658.0,7
198.18.0.1,57550,198.18.0.78,443,77,22923,100,38,7640,39,15283,62.671202,182.635938,334.0,669.0,7
198.18.0.1,57400,198.18.0.157,443,35,12312,20,16,3442,19,8870,3.668669,2.510813,10966.0,28261.0,7
198.18.0.1,57408,198.18.0.161,443,44,18990,26,20,3446,24,15544,3.94413,2.23528,12333.0,55631.0,7
198.18.0.1,57363,198.18.0.175,443,39,14719,5,18,3419,21,11300,1.389526,4.786669,5714.0,18885.0,7
198.18.0.1,57450,198.18.0.180,443,70,11075,48,34,5855,36,5220,7.602723,237.693731,197.0,175.0,7
198.18.0.1,57547,198.18.0.180,443,81,27244,99,40,13517,41,13727,61.264493,184.042721,587.0,596.0,7
198.18.0.1,57490,198.18.0.193,443,74,16522,74,36,4857,38,11665,9.862854,235.434894,165.0,396.0,7
198.18.0.1,57496,198.18.0.194,443,82,20757,77,39,4770,43,15987,10.199753,235.09881700000005,162.0,544.0,7
198.18.0.1,57618,198.18.0.197,443,57,17301,124,27,4314,30,12987,138.84425,106.46286,324.0,975.0,7
198.18.0.1,57430,198.18.0.213,443,356,251899,38,151,10876,205,241023,6.481454,238.815828,364.0,8073.0,7
198.18.0.1,57369,198.18.0.7,443,28,9978,8,13,3550,15,6428,3.556343,2.6225370000000003,10829.0,19608.0,6
198.18.0.1,57535,198.18.0.173,443,34,9024,94,16,1840,18,7184,43.377953,75.19477499999999,195.0,764.0,6
198.18.0.1,57394,198.18.0.178,443,177,88585,18,74,7508,103,81077,3.576478,2.618602,22937.0,247695.0,6
