Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Rel Start,Duration,Bits/s A to B,Bits/s B to A,Flows
198.18.0.1,61407,198.18.0.28,443,7659,6023136,44,3346,317085,4313,5706051,10.120699,28.402307,89312,1607207,93
198.18.0.1,61447,198.18.0.37,443,233,129092,68,113,65153,120,63939,13.010549,25.513967,20428,20048,34
198.18.0.1,61331,198.18.0.12,443,1388,1077768,3,583,41180,805,1036588,2.457833,2.6660010000000005,123570,3110540,32
198.18.0.1,61431,198.18.0.36,443,955,712676,58,410,32982,545,679694,12.603315,25.919270999999995,10179,209787,31
198.18.0.1,61459,198.18.0.41,443,241,135036,74,132,102440,109,32596,13.739941,24.783846,33066,10521,30
198.18.0.1,61418,198.18.0.32,443,659,487085,50,290,20960,369,466125,12.322581,26.20114,6399,142322,25
198.18.0.1,61433,198.18.0.37,443,92,25284,59,41,8968,51,16316,12.645106,25.879037000000004,2772,5043,23
198.18.0.1,61445,198.18.0.35,443,629,501296,67,260,34432,369,466864,12.944753,25.580165,10768,146008,19
198.18.0.1,61477,198.18.0.108,443,66750,53300936,84,29391,1790070,37359,51510866,16.566702,21.958513000000004,652164,18766613,19
198.18.0.1,61403,198.18.0.10,443,78,32996,42,37,16020,41,16976,9.64465,28.877547,4438,4702,17
198.18.0.1,61405,198.18.0.27,443,147,91214,43,65,9257,82,81957,10.116631,28.406105000000004,2607,23081,17
198.18.0.1,61429,198.18.0.35,443,53,16468,57,23,5095,30,11373,12.593028,25.931141,1571,3508,17
198.18.0.1,61413,198.18.0.30,443,496,375106,47,215,19460,281,355646,12.143857,26.380042,5901,107853,16
198.18.0.1,61417,198.18.0.33,443,135,86840,49,58,6507,77,80333,12.322421,26.200484000000003,1986,24528,15
198.18.0.1,61485,198.18.0.47,443,1208,937382,88,542,42333,666,895049,16.905751,21.618903,15665,331209,15
198.18.0.1,61483,198.18.0.46,443,323,233235,87,141,15816,182,217419,16.847322,21.676248,5837,80242,13
198.18.0.1,61453,198.18.0.11,443,121,71007,71,55,8421,66,62586,13.270177,25.254896,2667,19825,11
198.18.0.1,61415,198.18.0.34,443,335,249494,48,144,11341,191,238153,12.256326,26.26769,3453,72531,11
198.18.0.1,61489,198.18.0.48,443,67,26283,90,31,4996,36,21287,17.46357,21.06178,1897,8085,11
198.18.0.1,61491,198.18.0.48,443,66,27135,91,31,6818,35,20317,17.73716,20.78832,2623,7818,11
198.18.0.1,61357,198.18.0.13,443,267,148287,14,118,10697,149,137590,2.464435,2.677983,31955,411025,10
198.18.0.1,61371,198.18.0.18,443,36,13735,20,17,3822,19,9913,2.786019,2.3475810000000004,13024,33781,10
198.18.0.1,61497,198.18.0.19,443,52,24611,93,25,7844,27,16767,27.008929,11.515913,5449,11647,9
198.18.0.1,61393,198.18.0.24,443,59,19360,36,27,4171,32,15189,5.197331,33.325098000000004,1001,3646,9
198.18.0.1,61411,198.18.0.31,443,51,17907,46,23,3920,28,13987,12.093224,26.430522000000003,1186,4233,9
198.18.0.1,61439,198.18.0.38,443,42,15235,62,19,3732,23,11503,12.739237,25.78414,1157,3569,9
198.18.0.1,61443,198.18.0.40,443,58,22057,66,26,3968,32,18089,12.924322,25.599011,1240,5653,9
198.18.0.1,61449,198.18.0.40,443,116,71495,69,51,9159,65,62336,13.079392,25.445288000000005,2879,19598,9
198.18.0.1,61457,198.18.0.42,443,62,31229,73,30,7886,32,23343,13.594539,24.930554,2530,7490,9
198.18.0.1,61481,198.18.0.45,443,78,38467,86,35,4646,43,33821,16.762041,21.762225,1707,12432,9
198.18.0.1,61424,198.18.0.86,443,54,25146,54,25,4187,29,20959,12.373723,26.148391000000004,1280,6412,8
198.18.0.1,61329,198.18.0.9,443,39,14713,2,18,3379,21,11334,0.599092,4.5165370000000005,5985,20075,7
198.18.0.1,61336,198.18.0.10,443,41,15729,8,19,3717,22,12012,2.45917,2.658052,11187,36152,7
198.18.0.1,61367,198.18.0.10,443,36,15094,17,17,3156,19,11938,2.6303140000000003,2.487063,10151,38400,7
198.18.0.1,61339,198.18.0.11,443,39,14479,11,18,3443,21,11036,2.459938,2.657227,10365,33225,7
198.18.0.1,61365,198.18.0.16,443,39,15397,16,18,3602,21,11795,2.590043,2.527257,11402,37336,7
198.18.0.1,61394,198.18.0.21,443,46,18489,37,21,3695,25,14794,5.197547,33.324977,887,3551,7
198.18.0.1,61395,198.18.0.22,443,46,16937,38,21,7381,25,9556,5.197729,33.32441,1771,2294,7
198.18.0.1,61479,198.18.0.32,443,38,14603,85,18,3548,20,11055,16.698876,21.825337000000005,1300,4052,7
198.18.0.1,61465,198.18.0.34,443,37,14172,79,18,3537,19,10635,14.577014,23.945346,1181,3553,7
198.18.0.1,61441,198.18.0.39,443,50,24192,65,22,3680,28,20512,12.92148,25.601823,1149,6409,7
198.18.0.1,61451,198.18.0.39,443,53,23580,70,24,5348,29,18232,13.108817,25.415614999999995,1683,5738,7
198.18.0.1,61455,198.18.0.41,443,44,16923,72,20,3446,24,13477,13.575349,24.949451,1104,4321,7
198.18.0.1,61461,198.18.0.43,443,49,22692,77,22,3729,27,18963,13.884796,24.638656,1210,6157,7
198.18.0.1,61463,198.18.0.43,443,50,23735,78,23,5197,27,18538,14.197571,24.326194,1709,6096,7
198.18.0.1,61487,198.18.0.44,443,73,44981,89,32,5898,41,39083,16.924623,21.599736,2184,14475,7
198.18.0.1,61375,198.18.0.72,443,42,18827,23,19,3380,23,15447,2.816401,2.301095,11750,53703,7
198.18.0.1,61467,198.18.0.107,443,48,24582,80,22,3815,26,20767,15.192636,23.331246,1308,7120,7
198.18.0.1,61475,198.18.0.108,443,36,14268,83,17,3326,19,10942,16.212656,22.311258,1192,3923,7
198.18.0.1,61355,198.18.0.14,443,167,80754,12,68,7052,99,73702,2.464013,2.675049,21089,220413,6
198.18.0.1,61337,198.18.0.15,443,29,10102,9,13,3498,16,6604,2.459399,2.657074,10531,19883,6
198.18.0.1,61332,198.18.0.12,443,20,9810,4,10,2381,10,7429,2.4581,0.029166,653089,2037715,4
198.18.0.1,61333,198.18.0.12,443,21,9497,5,10,2381,11,7116,2.458378,0.0277029999999998,687578,2054939,4
198.18.0.1,61334,198.18.0.12,443,20,9842,6,10,2413,10,7429,2.458651,0.0286459999999997,673881,2074705,4
198.18.0.1,61362,198.18.0.12,443,23,9978,15,11,2445,12,7533,2.481007,2.644164,7397,22791,4
198.18.0.1,61356,198.18.0.14,443,87,43405,13,36,4582,51,38823,2.464223,2.672882,13714,116198,4
198.18.0.1,61389,198.18.0.23,5228,38,15837,34,18,2984,20,12853,5.146969,33.346232,715,3083,4
198.18.0.1,61408,198.18.0.28,443,25,12010,45,12,2528,13,9482,10.120837,28.404751999999995,711,2670,4
198.18.0.1,60074,198.18.0.7,443,15,3360,0,8,2857,7,503,0.0,30.362277,752,132,3
198.18.0.1,61423,198.18.0.86,443,30,17741,53,14,2690,16,15051,12.373574,0.1046500000000012,205637,1150578,3
198.18.0.1,61335,198.18.0.12,443,12,6465,7,6,2049,6,4416,2.458942,0.023041,711427,1533266,2
198.18.0.1,61338,198.18.0.12,443,18,8990,10,9,2281,9,6709,2.459697,0.0208949999999998,873318,2568652,2
198.18.0.1,61473,121.248.49.141,7680,10,611,82,5,343,5,268,15.886833,15.008397000000002,182,142,1
198.18.0.1,61327,198.18.0.7,443,12,580,1,6,268,6,312,0.155876,4.250772,504,587,1
198.18.0.1,61369,198.18.0.17,443,12,2470,18,6,2150,6,320,2.767502,30.002064,573,85,1
