Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Rel Start,Duration,Bits/s A to B,Bits/s B to A,Flows
198.18.0.1,60148,198.18.0.28,443,7733,6065138,46,3371,321769,4362,5743369,10.455665,58.294087000000005,44158,788192,97
198.18.0.1,60169,198.18.0.41,443,339,182317,56,183,137280,156,45037,14.433286,54.317356,20218,6633,51
198.18.0.1,60156,198.18.0.32,443,641,454357,50,267,21622,374,432735,11.526276,57.223586,3022,60497,47
198.18.0.1,60200,198.18.0.37,443,274,144185,71,134,75288,140,68897,15.778496,52.971976,11370,10405,43
198.18.0.1,60180,198.18.0.36,443,890,657908,61,376,30721,514,627187,15.092589,53.657741,4580,93509,37
198.18.0.1,60182,198.18.0.37,443,128,35256,62,57,11913,71,23343,15.12959,53.619465,1777,3482,34
198.18.0.1,60150,198.18.0.10,443,2306,1710445,47,989,88388,1317,1622057,10.908486,57.841094,12224,224346,31
198.18.0.1,60144,198.18.0.27,443,169,88250,44,76,11747,93,76503,10.450924,58.299165,1611,10497,25
198.18.0.1,60083,198.18.0.12,443,1404,1108512,6,591,41752,813,1066760,3.487247,2.736871,122043,3118188,22
198.18.0.1,60192,198.18.0.38,443,71,20843,67,32,5103,39,15740,15.212712,53.537802,762,2351,17
198.18.0.1,60154,198.18.0.34,443,317,225030,49,135,10877,182,214153,11.510978,57.238382,1520,29931,15
198.18.0.1,60225,198.18.0.46,443,261,190894,83,110,13820,151,177074,19.670701,49.078185,2252,28863,15
198.18.0.1,60263,198.18.0.9,443,49,15329,95,24,10182,25,5147,61.147807,7.6082329999999985,10706,5412,13
198.18.0.1,60164,198.18.0.11,443,105,56342,53,47,8480,58,47862,12.436691,56.311823,1204,6799,13
198.18.0.1,60227,198.18.0.47,443,748,610912,84,313,25514,435,585398,19.937769,48.811026,4181,95945,13
198.18.0.1,60229,198.18.0.48,443,67,19791,85,31,5045,36,14746,20.251818,48.496831,832,2432,13
198.18.0.1,60231,198.18.0.48,443,85,30765,86,39,7418,46,23347,20.822633,47.928358,1238,3896,13
198.18.0.1,60090,198.18.0.13,443,266,144393,13,116,10628,150,133765,3.493148,2.729815,31146,392011,10
